eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,28672,0.017082346079405397,0.03823242336511612,0.043212890625,0.04667968675494194,0.03837890550494194,0.0416259765625,17.07132443189621,0.4866309789242223,14,0.00029200819672131145,87.26086956521739,193.3525373148345,23,-0.08643424051988405,56.85392024815083,31.468694925308228
nan,nan,30720,0.03240999225381529,0.09248046576976776,0.10454101860523224,0.097900390625,0.10634765774011612,0.1003173828125,17.186391401290894,0.37014442081563176,15,0.0002913934426229508,95.86363636363636,217.1325768562606,22,-0.014518151810625568,3.3134823240339757,33.699362993240356
227.15263167772014,2.0401910107614967,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.09576106071472
nan,nan,32768,0.016524175937956898,0.03164062649011612,0.04082031175494194,0.04702148586511612,0.03510742262005806,0.0386474609375,17.06717967391014,0.48950719512067736,16,0.00029077868852459015,81.16,174.16645453207792,25,-0.05736209816823248,81.28245034217835,36.375580072402954
nan,nan,34816,0.018533169114380143,0.04985351487994194,0.05180663987994194,0.05039062350988388,0.04599609225988388,0.04951171875,17.204679834842683,0.40031220477540047,17,0.00029016393442622945,97.28571428571429,219.27535899275102,21,-0.03091936016571708,6.766272491216659,38.65623497962952
nan,nan,36864,0.03779687497226405,0.11342773586511612,0.11874999850988388,0.12211914360523224,0.11103515326976776,0.1163330078125,17.150455909967423,0.27501528135035186,18,0.00028954918032786885,98.76190476190476,222.24484976740192,21,-0.01534176585264504,1.3869926519691944,40.96257710456848
nan,nan,38912,0.03035989450654597,0.07705078274011612,0.09311523288488388,0.10087890923023224,0.08876953274011612,0.08995361328125,17.090210980176927,0.2340221278136596,19,0.0002889344262295082,96.66666666666667,219.53470054889195,21,-0.01631831380145741,0.5591645611450076,43.25558805465698
nan,nan,40960,0.013306904226192273,0.02666015550494194,0.03125,0.023193359375,0.02128906175494194,0.02559814453125,17.186516892910003,0.5017135114292615,20,0.00028831967213114755,98.0,218.06763116342626,21,-0.06984488817979581,10.418039374426007,45.486225843429565
223.19417895008692,1.7269058371588821,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.87543082237244
nan,nan,43008,0.024336142725223907,0.06621094048023224,0.06889648735523224,0.08046875149011612,0.06674804538488388,0.0705810546875,17.117622482776643,0.4249861568212509,21,0.00028770491803278684,98.19047619047619,222.29736716937757,21,-0.006422785608447157,0.7496816825121642,48.13500475883484
nan,nan,45056,0.024084449919610052,0.0615234375,0.06552734225988388,0.074462890625,0.07109375298023224,0.06815185546875,17.13049669265747,0.43954597506672144,22,0.0002870901639344262,97.0,220.00831350438932,21,-0.020008977281395345,0.6368316987529397,50.4072380065918
nan,nan,47104,0.0290582870846265,0.07158203423023224,0.08657226711511612,0.09619140625,0.08808593451976776,0.08560791015625,17.11113982796669,0.32438253234140574,23,0.00028647540983606554,99.2,222.6497261989175,20,-0.023181243857834488,0.42645511804148556,52.74762678146362
nan,nan,49152,0.02208602425744175,0.06166992336511612,0.06303711235523224,0.06166992336511612,0.05161132663488388,0.0594970703125,17.083624505996703,0.42407460645772516,24,0.0002858606557377049,100.61904761904762,226.00550258193505,21,-0.014853563107317313,0.39594321479089556,55.039612770080566
nan,nan,51200,0.00952847201260738,0.01430664025247097,0.01567382737994194,0.01416015625,0.010205077938735485,0.01358642578125,17.05191659927368,0.5111716489540413,25,0.00028524590163934424,90.68181818181819,201.99255224608294,22,-0.06317593648273032,36.03743654042482,57.27195882797241
