eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.017652017065847757,0.04335937649011612,0.051025390625,0.04384765774011612,0.04677734524011612,0.04625244140625,34.10153571367264,0.47501984387636187,1,0.0003,1000.0,-415.40727657518767,2,-0.036014598923611627,11.1176914639771,2.0637431144714355
,,4096,0.01942332581966184,0.04409179836511612,0.051513671875,0.05219726637005806,0.04829101637005806,0.0490234375,34.14493013620377,0.5016727786976845,2,0.0002993852459016393,1000.0,-475.44401655117997,2,-0.06028176391555462,17.120091718435287,4.1369969844818115
,,6144,0.021859088537166827,0.05527343600988388,0.06440429389476776,0.06064452975988388,0.05698242038488388,0.059326171875,34.09429588317871,0.4555551385972649,3,0.00029877049180327867,1000.0,-395.0061396425335,2,-0.040227440930902955,10.160518380999566,6.2585649490356445
,,8192,0.02867328647625982,0.07949218899011612,0.08774413913488388,0.0908203125,0.08525390923023224,0.08582763671875,34.29511061906815,0.4256486710626632,4,0.000298155737704918,1000.0,-407.92083753308793,2,-0.02460879514401313,11.69057357609272,8.390163898468018
,,10240,0.028979757393244654,0.084228515625,0.09013672173023224,0.09218750149011612,0.08071289211511612,0.08681640625,34.13415417671204,0.4399052044376731,5,0.00029754098360655737,1000.0,-460.6128808695825,2,-0.03147171285818331,16.679011419415474,10.526126861572266
-299.43080858820645,43.84491883610158,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.908844947814941
nan,nan,12288,0.02201872401201399,0.06196289137005806,0.06171875074505806,0.06411132961511612,0.0556640625,0.0608642578125,34.13646408319473,0.3828811359358951,6,0.0002969262295081967,1000.0,-484.2606580594381,2,-0.028901787419454195,20.86840124130249,16.06675696372986
nan,nan,14336,0.03336378888125182,0.10249023139476776,0.115234375,0.10405273735523224,0.09501953423023224,0.10419921875,33.95305302143097,0.4236546281725168,7,0.00029631147540983607,1000.0,-424.4753507166722,2,-0.03821007418446243,17.89790183156729,18.23962712287903
nan,nan,16384,0.04678523952607065,0.152099609375,0.15478515625,0.151611328125,0.14238281548023224,0.1502197265625,34.22070285081863,0.41695459582842886,8,0.00029569672131147536,1000.0,-432.8345765611591,2,-0.021874327398836612,10.695887286961078,20.418827772140503
nan,nan,18432,0.03361790515773464,0.10297851264476776,0.10502929985523224,0.109130859375,0.099365234375,0.1041259765625,34.1215882062912,0.4157749160658568,9,0.0002950819672131147,1000.0,-405.5002291665277,2,-0.026545624985010362,14.57211393415928,22.584866762161255
nan,nan,20480,0.03240692009931081,0.09287109225988388,0.10429687798023224,0.10102538764476776,0.09638671576976776,0.09864501953125,34.13055672645569,0.46595734348520634,10,0.00029446721311475406,1000.0,-320.4850205788937,2,-0.018394596547295805,15.319456915557385,24.74163269996643
-180.33304351161732,40.32430636652651,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.26940083503723
nan,nan,22528,0.03238702952003223,0.09926757961511612,0.11049804836511612,0.09658203274011612,0.08676757663488388,0.09827880859375,34.222722232341766,0.22451236315537243,11,0.0002938524590163934,1000.0,-419.2837935559345,2,-0.0399116898450302,15.8186280682683,30.438028812408447
nan,nan,24576,0.04052699449312058,0.12358398735523224,0.13339844346046448,0.13002929091453552,0.12680664658546448,0.12845458984375,34.184706246852876,0.4240400756709278,12,0.00029323770491803276,1000.0,-349.9950996529657,2,-0.01847445679741213,14.765894123911858,32.59999084472656
nan,nan,26624,0.04032796940591652,0.125244140625,0.133544921875,0.13124999403953552,0.119140625,0.127294921875,34.157400047779085,0.4314574947580695,13,0.0002926229508196721,1000.0,-328.0754332777103,2,-0.02839178556750994,14.370807006955147,34.77627182006836
nan,nan,28672,0.052332135587494125,0.16440430283546448,0.17377929389476776,0.17460937798023224,0.16015625,0.1682373046875,34.17379091978073,0.4403481002431363,14,0.00029200819672131145,1000.0,-350.67517241733333,2,-0.013190302715520375,9.366705683618784,36.97757077217102
nan,nan,30720,0.032016349948389686,0.09555663913488388,0.09829101711511612,0.1044921875,0.101318359375,0.09991455078125,34.25769801139832,0.4419021607842296,15,0.0002913934426229508,1000.0,-402.7121048855731,2,-0.01887025449250359,17.56014388948679,39.09479999542236
-202.7236956322789,37.4282747901517,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.64116096496582
nan,nan,32768,0.04770006081671454,0.14653320610523224,0.15546874701976776,0.16079100966453552,0.146728515625,0.15238037109375,34.363835108280185,0.4096095024608076,16,0.00029077868852459015,1000.0,-317.844722319633,2,-0.036795480432920157,10.406547743082047,44.830726861953735
nan,nan,34816,0.043081205135240455,0.13320311903953552,0.14599609375,0.14316406846046448,0.13554687798023224,0.1394775390625,34.308631896972656,0.4453356130979955,17,0.00029016393442622945,1000.0,-321.4502629372448,2,-0.028100802408880556,10.497258564084769,47.03585600852966
nan,nan,36864,0.04544413230250939,0.13325195014476776,0.14824219048023224,0.157470703125,0.14726562798023224,0.1465576171875,34.18174812793732,0.4550857099238783,18,0.00028954918032786885,1000.0,-359.12747236516043,2,-0.02441418815869838,9.878808765858412,49.27705502510071
nan,nan,38912,0.04070381969722803,0.12221679836511612,0.13364258408546448,0.13300780951976776,0.12514647841453552,0.12850341796875,34.15632922649384,0.45835375976748766,19,0.0002889344262295082,1000.0,-319.20927711413015,2,-0.02373879165679682,11.902936652302742,51.535510778427124
nan,nan,40960,0.0617063491641602,0.189697265625,0.19912108778953552,0.19682617485523224,0.18671874701976776,0.1930908203125,34.33851940631867,0.4219028025865555,20,0.00028831967213114755,1000.0,-360.63104326769366,2,-0.02619818210368976,8.347274377942085,53.648478984832764
-239.74449913723424,42.18547683363405,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.144972801208496
nan,nan,43008,0.050780834703618896,0.15834960341453552,0.1669921875,0.16767577826976776,0.153076171875,0.1615234375,34.109836840629576,0.4425054087303579,21,0.00028770491803278684,1000.0,-352.83021155134134,3,-0.01836775146366563,9.529793993383645,59.422242879867554
nan,nan,45056,0.03830071771590156,0.11440429836511612,0.12919922173023224,0.12939453125,0.115966796875,0.1222412109375,34.291465532779696,0.464152798242867,22,0.0002870901639344262,1000.0,-346.15134587263924,2,-0.03722884587768931,12.07184490710497,61.91383194923401
nan,nan,47104,0.049174751814280174,0.14121094346046448,0.16162109375,0.16098633408546448,0.15834960341453552,0.1555419921875,34.37519637346268,0.45195379708893596,23,0.00028647540983606554,1000.0,-386.4548699630213,2,-0.024291121089481747,9.612993241846562,64.45067882537842
nan,nan,49152,0.046389674965030284,0.13740234076976776,0.15395507216453552,0.16108398139476776,0.14545898139476776,0.14947509765625,34.351474499702455,0.4343894517980516,24,0.0002858606557377049,1000.0,-306.7582833083407,2,-0.03963520143879577,9.41003970876336,66.85621690750122
nan,nan,51200,0.03677899913745932,0.11289062350988388,0.12558594346046448,0.11582031100988388,0.10747070610523224,0.11544189453125,34.27812277078628,0.44250009171664717,25,0.00028524590163934424,1000.0,-309.41605364396105,2,-0.03370322173286695,12.56774589419365,68.95123291015625
-193.84804674021294,25.331879858007873,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.57583904266357
nan,nan,53248,0.049706331424386005,0.15830078721046448,0.16162109375,0.16538086533546448,0.15351562201976776,0.15970458984375,34.11143974065781,0.44369159010238945,26,0.0002846311475409836,1000.0,-348.59642994261003,2,-0.030366475545451976,8.434801661223172,74.99927306175232
nan,nan,55296,0.039668980539863695,0.11728515475988388,0.12875977158546448,0.12832030653953552,0.11928711086511612,0.1234130859375,34.17484134435654,0.46699654082767666,27,0.00028401639344262294,1000.0,-245.93480189685408,2,-0.04409320619015489,11.386988416314125,77.32968401908875
nan,nan,57344,0.06159082405865775,0.18989257514476776,0.19101563096046448,0.20058593153953552,0.19423827528953552,0.19393310546875,34.39229692220688,0.4180251585319638,28,0.0002834016393442623,1000.0,-374.9697416568256,2,-0.04332526239159051,8.308524800091982,79.6179621219635
nan,nan,59392,0.045988307752122634,0.143310546875,0.15507812798023224,0.149658203125,0.14047852158546448,0.14713134765625,34.23147015571594,0.40527873053215446,29,0.00028278688524590163,1000.0,-353.8953990431404,2,-0.03801915474323323,10.574853825569154,81.90555095672607
nan,nan,61440,0.053555627493187784,0.163818359375,0.17851562798023224,0.17558594048023224,0.17324218153953552,0.17279052734375,34.25692789554596,0.45410989904776217,30,0.00028217213114754093,1000.0,-353.01852557091513,2,-0.03685793505283073,9.75062063112855,83.97727084159851
-196.9819946690428,18.88113916293862,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.5751039981842
nan,nan,63488,0.061937828358350086,0.189697265625,0.201416015625,0.20234374701976776,0.18862304091453552,0.19552001953125,34.377100992202756,0.4418076602742076,31,0.0002815573770491803,1000.0,-346.1416695959589,2,-0.04037255317089148,9.002539424598217,89.89103174209595
nan,nan,65536,0.056877866611466744,0.17172852158546448,0.18544921278953552,0.18046875298023224,0.17622070014476776,0.178466796875,34.39099713563919,0.4510520454030484,32,0.0002809426229508196,1000.0,-312.90642908498245,2,-0.03421426355926087,9.322530215978622,92.18034100532532
nan,nan,67584,0.05475016402051551,0.1611328125,0.18735352158546448,0.17768554389476776,0.16909179091453552,0.17381591796875,34.13218134641647,0.44838668587617575,33,0.00028032786885245903,1000.0,-382.2765065783511,2,-0.03763640687247971,8.648974474519491,94.49759602546692
nan,nan,69632,0.05929848301093443,0.1728515625,0.19169922173023224,0.20004883408546448,0.19384765625,0.18961181640625,34.35845894813538,0.45124483038671315,34,0.0002797131147540983,1000.0,-360.2292868474037,2,-0.04133172715373803,8.76890184432268,96.84490299224854
nan,nan,71680,0.04324949939909857,0.13046875596046448,0.140380859375,0.14873047173023224,0.13471679389476776,0.13857421875,34.179062354564664,0.4507579033263028,35,0.00027909836065573767,1000.0,-380.20451253913967,2,-0.04186368792725261,11.648757298290729,98.89677500724792
-177.70342685751277,63.470269851996036,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.44883275032043
nan,nan,73728,0.04093637303230935,0.11801757663488388,0.13916015625,0.136474609375,0.12626953423023224,0.12998046875,34.1917481303215,0.46417721677571533,36,0.000278483606557377,1000.0,-315.2785709586823,2,-0.03771803334529977,11.534779059141874,104.70627784729004
nan,nan,75776,0.045929275733942634,0.13427734375,0.14760741591453552,0.15166015923023224,0.13920898735523224,0.1431884765625,34.233501172065736,0.4712630806490779,37,0.00027786885245901637,1000.0,-280.2589975978332,2,-0.02549988703976851,11.330894766747951,107.03197503089905
nan,nan,77824,0.04805848210453405,0.14077147841453552,0.15375976264476776,0.16743163764476776,0.16015625,0.15552978515625,34.31606596708298,0.4579842100851238,38,0.0002772540983606557,1000.0,-307.09940543838934,2,-0.0360097894561477,10.497758822888136,109.268718957901
nan,nan,79872,0.04524865478233551,0.13686522841453552,0.15937499701976776,0.15175780653953552,0.14199218153953552,0.14749755859375,34.12097986936569,0.4684837002772838,39,0.00027663934426229507,1000.0,-174.71470716731145,2,-0.04690956233243924,12.030046217143536,111.43899202346802
nan,nan,81920,0.07110717335526714,0.19008788466453552,0.21933594346046448,0.22812500596046448,0.21962890028953552,0.21429443359375,34.38219822645188,0.4502347636967897,40,0.0002760245901639344,1000.0,-333.1193638858065,2,-0.024082548910519107,8.435589294880629,113.50153994560242
-111.05134592291502,41.2402706843228,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117.16130495071411
nan,nan,83968,0.044072004699410174,0.13442382216453552,0.14165039360523224,0.14516600966453552,0.13437500596046448,0.13890380859375,34.229955065250394,0.4446929131168872,41,0.00027540983606557377,1000.0,-217.63732400682284,2,-0.05169880437024403,10.24138524979353,119.46819996833801
nan,nan,86016,0.05128434285215917,0.15190429985523224,0.16757813096046448,0.17148438096046448,0.16020508110523224,0.16279296875,34.252820777893064,0.4645272033754736,42,0.0002747950819672131,1000.0,-385.4346653215086,3,-0.019901985442265867,12.72706280350685,121.72922873497009
nan,nan,88064,0.04530034613708267,0.13291016221046448,0.14594726264476776,0.15517577528953552,0.14091797173023224,0.14373779296875,34.32843815088272,0.21097524294164033,43,0.0002741803278688524,1000.0,-361.9962167510664,2,-0.0560552159382496,13.092551498115062,123.89418506622314
