eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_2,train/fisher_eps_step_3,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.016155971751140898,0.20815429091453552,0.21489258110523224,0.21279296278953552,0.23593750596046448,0.2179443359375,34.11240739822388,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,10,0.00029446721311475406,1000.0,-372.5393190510478,2,-0.031049375621660148,13.192928713560104,18.94295573234558
-201.60224070544297,40.96943289512557,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.256232023239136
nan,nan,22528,0.016748471736354985,0.22934570908546448,0.22348633408546448,0.21845702826976776,0.23261718451976776,0.2259765625,34.05646965503693,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,11,0.0002938524590163934,1000.0,-434.7781201428461,2,-0.03069089615892153,11.667659629881381,23.999454021453857
nan,nan,24576,0.016090715637255927,0.21098633110523224,0.21523436903953552,0.20444336533546448,0.21845702826976776,0.2122802734375,34.15137429237366,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,12,0.00029323770491803276,1000.0,-382.37972594807286,2,-0.028737835898937192,11.683900918066502,25.734192848205566
nan,nan,26624,0.01583839315280784,0.19511719048023224,0.21645507216453552,0.21840819716453552,0.22939452528953552,0.21484375,34.19398305416107,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,13,0.0002926229508196721,1000.0,-396.478030236943,2,-0.03310653697699308,11.659517112374306,27.326225996017456
nan,nan,28672,0.0180626861845667,0.23134765028953552,0.23383788764476776,0.23945312201976776,0.24252930283546448,0.2367919921875,34.09680596590042,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,14,0.00029200819672131145,1000.0,-380.0462555714128,2,-0.03263347203610465,11.47682889252901,28.894516944885254
nan,nan,30720,0.018219067429890858,0.22407226264476776,0.22451171278953552,0.24843749403953552,0.2532714903354645,0.2375732421875,34.16929589509964,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,15,0.0002913934426229508,1000.0,-401.15070536934775,2,-0.03174391025095247,11.801621717214584,30.44117784500122
-201.22333364004731,22.774767673672134,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.78437781333923
nan,nan,32768,0.01926647748114192,0.23945312201976776,0.24599608778953552,0.25712889432907104,0.26518553495407104,0.25194091796875,34.02164705991745,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,16,0.00029077868852459015,1000.0,-373.7024431185935,2,-0.0326196556474315,10.78451423496008,35.42582297325134
nan,nan,34816,0.016611921066214563,0.21762695908546448,0.22451171278953552,0.22885742783546448,0.23344726860523224,0.22611083984375,34.10687389373779,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,17,0.00029016393442622945,1000.0,-355.2976759790844,2,-0.03296316452906467,14.630343452095985,37.011661767959595
nan,nan,36864,0.017939280296559446,0.23129883408546448,0.23642578721046448,0.24868163466453552,0.2412109375,0.239404296875,34.31285693645477,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,18,0.00028954918032786885,1000.0,-451.4692482125836,2,-0.03575773517077323,13.749677146971226,38.72718286514282
nan,nan,38912,0.01709081382432487,0.21357421576976776,0.23354491591453552,0.22998046875,0.23564453423023224,0.22818603515625,34.18484619855881,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,19,0.0002889344262295082,1000.0,-358.5699947513999,2,-0.033054542628815395,12.235553069412708,40.35246181488037
nan,nan,40960,0.024891106663562822,0.2757324278354645,0.29438477754592896,0.31083983182907104,0.3223632872104645,0.300830078125,34.195718669891356,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,20,0.00028831967213114755,1000.0,-299.1141245635947,2,-0.036745141670689915,10.253021070361138,41.92408561706543
-115.17540052913448,38.438113065343586,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.32136583328247
nan,nan,43008,0.018574345236265798,0.23012694716453552,0.23330077528953552,0.25244140625,0.26025390625,0.24403076171875,34.081750226020816,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,21,0.00028770491803278684,1000.0,-326.03783716213223,3,-0.03642940704594366,14.377542033046485,46.94345664978027
nan,nan,45056,0.019487588013726055,0.23232421278953552,0.23203125596046448,0.2613281309604645,0.26899415254592896,0.24866943359375,34.0506880402565,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,22,0.0002870901639344262,1000.0,-376.4930113991426,2,-0.03507545595930424,10.520022644102573,48.637131690979004
nan,nan,47104,0.01748365818275488,0.20859375596046448,0.22568359971046448,0.23515625298023224,0.2509765625,0.2301025390625,34.15924471616745,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,23,0.00028647540983606554,1000.0,-291.0128871358395,2,-0.03460576194920577,13.935408721864224,50.28921294212341
nan,nan,49152,0.017960037287411978,0.21425780653953552,0.23017577826976776,0.25346678495407104,0.2550292909145355,0.238232421875,34.051716554164884,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,24,0.0002858606557377049,1000.0,-332.3864789699053,2,-0.03421874913328793,12.125329934805631,52.045939922332764
nan,nan,51200,0.018487122713122518,0.222900390625,0.23051758110523224,0.25849610567092896,0.25712889432907104,0.2422607421875,34.09970053434372,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,25,0.00028524590163934424,1000.0,-266.18196924624397,2,-0.036450138193322344,13.82805548608303,53.87409687042236
-131.98373862980992,43.602940407412504,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.87956476211548
nan,nan,53248,0.027909116063528926,0.29780274629592896,0.31035155057907104,0.32197266817092896,0.33637696504592896,0.3166259765625,34.17036499977112,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,26,0.0002846311475409836,1000.0,-370.80033501529385,2,-0.03419776552764233,9.495507428050042,59.79639506340027
nan,nan,55296,0.027846642305667045,0.29584962129592896,0.3121581971645355,0.3265624940395355,0.34697264432907104,0.3203857421875,34.15472041368484,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,27,0.00028401639344262294,1000.0,-305.05034784640605,2,-0.04029629164433572,8.800739730894566,61.41527986526489
