eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.013090587004262489,0.08818359673023224,0.09565429389476776,0.10195312649011612,0.10483398288488388,0.09765625,17.03987983465195,1,0.0003,17.655172413793103,13.222223857513429,116,-0.01070411441323813,12.419178742915392,1.6986989974975586
,,4096,0.017341733063949503,0.12099609524011612,0.12885741889476776,0.11591796576976776,0.11328125,0.11976318359375,17.107828265428545,2,0.0002993852459016393,25.246913580246915,24.333445613606088,81,-0.013443065126193688,35.94213532805443,3.387888193130493
,,6144,0.007296623520960566,0.05043945461511612,0.05624999850988388,0.05390625074505806,0.05864257737994194,0.0548095703125,17.086097621917723,3,0.00029877049180327867,44.48888888888889,68.91831316411435,45,-0.00995265465171542,105.30125774145127,5.104979991912842
,,8192,0.011056093111255905,0.08950195461511612,0.07416991889476776,0.07045898586511612,0.06943359225988388,0.07589111328125,17.07506264448166,4,0.000298155737704918,64.375,108.8071028711739,32,-0.011527069681324064,119.7961607336998,6.842495918273926
,,10240,0.011686279312561965,0.07333984225988388,0.081298828125,0.08383788913488388,0.08784179389476776,0.08157958984375,17.073730742931367,5,0.00029754098360655737,70.79310344827586,128.31857690509872,29,-0.012466022511944175,147.54355778694153,8.581650972366333
228.6458571679563,9.02702505543908,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.975584983825684
nan,nan,12288,0.008326145655155414,0.06171875074505806,0.06528320163488388,0.06313476711511612,0.05825195461511612,0.06209716796875,17.120597034692764,6,0.0002969262295081967,99.75,206.96429874502692,20,-0.009293514137971215,84.25242900848389,10.739407062530518
nan,nan,14336,0.009153303116181632,0.06284179538488388,0.06621094048023224,0.06547851860523224,0.06816406548023224,0.065673828125,17.0595134973526,7,0.00029631147540983607,97.9047619047619,209.16580598577517,21,-0.008262392503092996,83.38499500751496,12.506623983383179
nan,nan,16384,0.017720900708809495,0.10869140923023224,0.11381836235523224,0.11313476413488388,0.12416992336511612,0.11495361328125,17.085022193193435,8,0.00029569672131147536,91.91304347826087,192.13574373897936,23,-0.014369541863561607,111.49651539325714,14.257462978363037
nan,nan,18432,0.014407595503871561,0.10136719048023224,0.103271484375,0.099853515625,0.09897460788488388,0.10086669921875,17.03598058819771,9,0.0002950819672131147,105.47368421052632,227.78558429086988,19,-0.011284865785273723,33.08936043977737,16.019485235214233
nan,nan,20480,0.009635497454291908,0.06025390699505806,0.06943359225988388,0.07373046875,0.06767578423023224,0.0677734375,17.04866024851799,10,0.00029446721311475406,93.31818181818181,197.59979264529858,22,-0.010404144899803213,114.40979535579682,17.82457208633423
257.62087004901923,27.975960826988683,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.27009105682373
nan,nan,22528,0.009537563003686956,0.06020507961511612,0.071044921875,0.06660155951976776,0.07583007961511612,0.06842041015625,17.063499563932417,11,0.0002938524590163934,95.0909090909091,195.52939863997847,22,-0.010599009215366096,92.68185534477234,20.01521611213684
nan,nan,24576,0.01755349889717763,0.132080078125,0.11630859225988388,0.123046875,0.11933593451976776,0.12269287109375,17.162913793325423,12,0.00029323770491803276,107.89473684210526,230.44299619248727,19,-0.013877321471227333,38.093042173981665,21.824151039123535
nan,nan,26624,0.010753480131097604,0.086181640625,0.07221679389476776,0.07456054538488388,0.07841797173023224,0.07784423828125,17.13953322172165,13,0.0002926229508196721,102.15,226.80940752758778,20,-0.012040374637581407,54.79934781491757,23.568058013916016
nan,nan,28672,0.02103887960984139,0.15297850966453552,0.13364258408546448,0.13325195014476776,0.113037109375,0.1332275390625,17.069546991586684,14,0.00029200819672131145,113.44444444444444,261.6702007195852,18,-0.013296886582975277,12.873457123339175,25.359487056732178
nan,nan,30720,0.019844141564681193,0.14882811903953552,0.13408203423023224,0.12563475966453552,0.118896484375,0.1318603515625,17.044666838645934,15,0.0002913934426229508,120.23529411764706,271.498904452335,17,-0.014819656978943385,17.647504618763925,27.154839038848877
294.3736480278668,20.967342407860205,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.62167000770569
nan,nan,32768,0.008398435715935192,0.06630859524011612,0.05668945237994194,0.0595703125,0.05107421800494194,0.05841064453125,17.044216531515122,16,0.00029077868852459015,112.0,259.78051266489723,18,-0.010181452234974131,58.175812628865245,29.384111166000366
nan,nan,34816,0.013379147848172578,0.109130859375,0.094482421875,0.07783202826976776,0.07958984375,0.0902587890625,17.07219134569168,17,0.00029016393442622945,115.5,271.4049157260781,18,-0.015635681405547074,99.46039559841157,31.20068907737732
nan,nan,36864,0.018794563194387593,0.12539061903953552,0.12407226860523224,0.119140625,0.11440429836511612,0.120751953125,17.080300289392472,18,0.00028954918032786885,129.66666666666666,313.9042834127867,15,-0.010611731564858928,13.478934258967637,33.010315895080566
nan,nan,38912,0.028576615808560746,0.16933593153953552,0.162353515625,0.15541991591453552,0.166748046875,0.16346435546875,17.084474116563797,19,0.0002889344262295082,130.0625,317.2763388158469,16,-0.016427296391339042,5.8776793327182535,34.790040016174316
