eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.02170809221734089,0.05219726637005806,0.05063476413488388,0.06855468451976776,0.07314453274011612,0.076416015625,0.08242187649011612,0.08217773586511612,0.07402344048023224,0.04267578199505806,0.04541015625,0.04868163913488388,0.06137695163488388,0.06069336086511612,0.06806640326976776,0.06440429389476776,0.063232421875,0.0633819580078125,136.39517951011658,0.46129977167584,1,0.0003,1000.0,-518.9943273210756,2,-0.09082152135197248,14.424701641499997,5.628888130187988
,,4096,0.01696431540276535,0.03583984449505806,0.03212890774011612,0.04316406324505806,0.04658203199505806,0.04921875149011612,0.05473632737994194,0.05620117112994194,0.04716796800494194,0.0302734375,0.03496093675494194,0.03291015699505806,0.04501952975988388,0.04633789137005806,0.04389648512005806,0.04799804836511612,0.03896484524011612,0.0428375244140625,136.66047534942626,0.4779645779635757,2,0.0002993852459016393,1000.0,-479.88693430441737,2,-0.10175699813407846,19.014184157550336,11.240503072738647
,,6144,0.011369159384958038,0.02285156212747097,0.02490234375,0.02197265625,0.02558593824505806,0.02387695387005806,0.02241211012005806,0.026611328125,0.022705078125,0.02314453199505806,0.01806640625,0.01938476599752903,0.02504882775247097,0.02763671800494194,0.02241211012005806,0.02695312537252903,0.02041015587747097,0.0233734130859375,136.51281752586365,0.4885796927846968,3,0.00029877049180327867,1000.0,-747.7595664604621,2,-0.07366992728202604,51.60586250424385,16.8173930644989
,,8192,0.02580646502028685,0.06689453125,0.070068359375,0.06484375149011612,0.07675781100988388,0.08310546725988388,0.09077148139476776,0.080810546875,0.08247070014476776,0.07363281399011612,0.06386718899011612,0.06699218600988388,0.07504882663488388,0.08017577975988388,0.07866211235523224,0.06987304985523224,0.07246093451976776,0.0747772216796875,136.40551085472106,0.4267999920528382,4,0.000298155737704918,1000.0,-438.45582254477745,2,-0.10669941316591576,12.971635353565215,22.480955123901367
,,10240,0.019062966393175885,0.04472656175494194,0.05000000074505806,0.04365234449505806,0.04926757887005806,0.05766601487994194,0.05180663987994194,0.04804687574505806,0.05161132663488388,0.04521484300494194,0.04291992262005806,0.04155273362994194,0.04951171949505806,0.04897461086511612,0.05434570461511612,0.04667968675494194,0.05107421800494194,0.048565673828125,136.3458520889282,0.45620983322151004,5,0.00029754098360655737,1000.0,-426.14215300859223,2,-0.08299757712811698,13.053229713439942,28.11301302909851
-364.0699094448924,107.47963979492927,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.61867690086365
nan,nan,12288,0.018500977443909505,0.04184570163488388,0.04345703125,0.04604492336511612,0.048583984375,0.04990234225988388,0.05581054836511612,0.04921875149011612,0.05537109449505806,0.03789062425494194,0.03574218600988388,0.03964843600988388,0.04624023288488388,0.04541015625,0.04389648512005806,0.04550781100988388,0.04584961012005806,0.0456512451171875,136.65562806129455,0.4645538166631013,6,0.0002969262295081967,1000.0,-504.58237269901804,2,-0.07259149897727184,19.945075631141663,45.48685908317566
nan,nan,14336,0.023580408437919687,0.06855468451976776,0.06342773139476776,0.062255859375,0.06748046725988388,0.076171875,0.07221679389476776,0.07470703125,0.06923828274011612,0.06069336086511612,0.05624999850988388,0.06113281100988388,0.06220703199505806,0.06210937350988388,0.068603515625,0.06850586086511612,0.06162109225988388,0.065948486328125,136.34646201133728,0.44043965195305645,7,0.00029631147540983607,1000.0,-439.5171943565532,2,-0.06807451333734207,13.789309692382812,51.114322900772095
nan,nan,16384,0.02318751890506974,0.06113281100988388,0.056884765625,0.06196289137005806,0.06020507961511612,0.07119140774011612,0.077880859375,0.07758788764476776,0.07993163913488388,0.05942382663488388,0.05800781399011612,0.05551757663488388,0.06435547024011612,0.06010742112994194,0.064208984375,0.06074218824505806,0.0703125,0.0649658203125,136.67411489486693,0.42396906497888265,8,0.00029569672131147536,1000.0,-468.13497926095954,2,-0.08601455518219155,24.52081257402897,56.74694800376892
nan,nan,18432,0.019407599794431008,0.04560546949505806,0.04936523362994194,0.04584961012005806,0.04628906399011612,0.056884765625,0.056884765625,0.05546874925494194,0.05146484449505806,0.04521484300494194,0.04775390774011612,0.043701171875,0.04794921725988388,0.04887695237994194,0.046875,0.04609375074505806,0.05068359524011612,0.04906005859375,136.4088653087616,0.41121412478387354,9,0.0002950819672131147,1000.0,-425.43676385262336,2,-0.06772459419735241,32.432298147678374,62.207358837127686
