eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,train/vmpo_eta_step_4,train/vmpo_eta_step_5,train/vmpo_eta_step_6,train/vmpo_eta_step_7,wall_time
,,32768,0.0,0.0,18.231568041443825,0.8867905011400581,1,0.0003,1000.5,-364.86990029373084,32,2.2733143541961907,6.529846742004156,4.424899101257324,4.424899101257324,4.424899101257324,4.424899101257324,4.424899101257324,4.424899101257324,4.424899101257324,4.424899101257324,44.342517614364624
,,65536,0.0,0.0,18.206159847974778,0.8806377203203738,2,0.0002993852459016393,1001.0,-344.7668553631007,32,2.2717703212052585,4.357864440605044,4.84556770324707,4.84556770324707,4.84556770324707,4.84556770324707,4.84556770324707,4.84556770324707,4.84556770324707,4.84556770324707,87.60438108444214
,,98304,0.0,0.0,18.161190727353095,0.8704377255402506,3,0.00029877049180327867,1001.0,-383.27540576376475,32,2.266712161153555,4.396493977308273,4.624526023864746,4.624526023864746,4.624526023864746,4.624526023864746,4.624526023864746,4.624526023864746,4.624526023864746,4.624526023864746,130.220805644989
,,131072,0.0,0.0,18.257045286893845,0.8728193908929824,4,0.000298155737704918,1001.0,-347.6625196432829,32,2.273629480600357,3.9010488275438546,5.171175479888916,5.171175479888916,5.171175479888916,5.171175479888916,5.171175479888916,5.171175479888916,5.171175479888916,5.171175479888916,174.0407292842865
,,163840,0.0,0.0,18.19950186908245,0.8729205667972565,5,0.00029754098360655737,1001.0,-319.62578118679903,32,2.2669313464313747,3.791139506921172,5.873292922973633,5.873292922973633,5.873292922973633,5.873292922973633,5.873292922973633,5.873292922973633,5.873292922973633,5.873292922973633,218.09368658065796
,,196608,0.0,0.0,18.21071798801422,0.8780458928085864,6,0.0002969262295081967,1001.0,-319.2445085142569,32,2.2716513630002737,3.459788190200925,5.70813512802124,5.70813512802124,5.70813512802124,5.70813512802124,5.70813512802124,5.70813512802124,5.70813512802124,5.70813512802124,262.06639552116394
,,229376,0.0,0.0,18.203672099113465,0.8758720559068024,7,0.00029631147540983607,1001.0,-306.63641390127293,32,2.2747079469263554,3.4675080671906473,6.101681232452393,6.101681232452393,6.101681232452393,6.101681232452393,6.101681232452393,6.101681232452393,6.101681232452393,6.101681232452393,306.23467540740967
,,262144,0.0,0.0,18.183159896731375,0.8761030005291104,8,0.00029569672131147536,1001.0,-329.00304639252255,32,2.263780651986599,3.301307862624526,6.3579583168029785,6.3579583168029785,6.3579583168029785,6.3579583168029785,6.3579583168029785,6.3579583168029785,6.3579583168029785,6.3579583168029785,351.5388321876526
,,294912,0.0,0.0,18.20606914460659,0.8689542636275291,9,0.0002950819672131147,1001.0,-306.9997697829499,32,2.263269178569317,3.6223726820200683,6.916360378265381,6.916360378265381,6.916360378265381,6.916360378265381,6.916360378265381,6.916360378265381,6.916360378265381,6.916360378265381,395.75123405456543
,,327680,0.0,0.0,18.24626995027065,0.8691979011520743,10,0.00029446721311475406,1001.0,-294.15669375313234,32,2.2727126013487577,3.4159757755696774,6.847275257110596,6.847275257110596,6.847275257110596,6.847275257110596,6.847275257110596,6.847275257110596,6.847275257110596,6.847275257110596,439.7995035648346
