eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/eps_step_4,train/eps_step_5,train/eps_step_6,train/eps_step_7,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/kl_budget_step_4,train/kl_budget_step_5,train/kl_budget_step_6,train/kl_budget_step_7,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,32768,0.0003639671042947157,0.01893921010196209,0.01921997033059597,0.01975708082318306,0.019012451171875,0.01869506947696209,0.01822509802877903,0.01801757887005806,0.01890258863568306,0.01884613037109375,18.235504695773123,0.06573168933391571,0.06531115621328354,0.06481941789388657,0.06644592434167862,0.06937877088785172,0.07506658136844635,0.07844889163970947,0.07726756483316422,1,0.0021699946373701096,0.0021443217992782593,0.002117554424330592,0.0022229969035834074,0.0024177946615964174,0.002832086058333516,0.0030954484827816486,0.0029998028185218573,0.0003,1000.5,-364.86990029373084,32,-0.000648586585157318,6.529928208887577,37.510398864746094
,,65536,0.00048157373335016017,0.033447265625,0.033905029296875,0.03387451171875,0.03386840969324112,0.0345458984375,0.03417358547449112,0.03449096903204918,0.034088134765625,0.03404922485351562,18.208909323811532,0.06727520376443863,0.06622176617383957,0.06547071784734726,0.06767211109399796,0.07008101791143417,0.07454922050237656,0.07713259756565094,0.07533352822065353,2,0.0022706235758960247,0.0022006153594702482,0.002150610787793994,0.0022974186576902866,0.0024636895395815372,0.0027872954960912466,0.0029843966476619244,0.002845350420102477,0.0002993852459016393,1001.0,-367.6021429431709,32,-0.0011296902848698664,4.057451262325048,74.13606333732605
,,98304,0.0005184706708860176,0.03914184495806694,0.03948974609375,0.03882446512579918,0.03908691555261612,0.04014892503619194,0.03886718675494194,0.03902588039636612,0.03890381008386612,0.03918609619140625,18.16475679576397,0.06849563866853714,0.06644591689109802,0.06619250029325485,0.06775866448879242,0.07173194736242294,0.0749267116189003,0.07494115084409714,0.07360120117664337,3,0.0023542242124676704,0.0022147546987980604,0.002197341760620475,0.002302988665178418,0.0025815898552536964,0.0028150640428066254,0.0028166945558041334,0.0027173415292054415,0.00029877049180327867,1001.0,-337.5273769901156,32,-0.0012608056749741081,3.9597630430012942,110.63475799560547
,,131072,0.0005529929439035186,0.04264526441693306,0.04432983323931694,0.04405517503619194,0.04407348856329918,0.04393310472369194,0.04361572489142418,0.04370727762579918,0.04368286207318306,0.04375534057617188,18.25896802842617,0.07001667469739914,0.06786828488111496,0.06619620323181152,0.06779547780752182,0.07163795083761215,0.07489792257547379,0.07410814613103867,0.07155070453882217,4,0.0024622459895908833,0.0023103912826627493,0.0022002176847308874,0.002309214323759079,0.00257521471939981,0.002816135762259364,0.002756627043709159,0.002569953678175807,0.000298155737704918,1001.0,-349.45105523245627,32,-0.00135134705924429,4.719813960045576,148.6803843975067
,,163840,0.0006189370787978987,0.05353393778204918,0.05338745191693306,0.05408325418829918,0.05404052883386612,0.05346069484949112,0.053314208984375,0.05385742336511612,0.05373535305261612,0.053676605224609375,18.20276572704315,0.06809834390878677,0.06624704599380493,0.06612085551023483,0.0696486234664917,0.07377734780311584,0.07496147602796555,0.0735647976398468,0.0717974305152893,5,0.0023269839584827423,0.0022018374875187874,0.0021922867745161057,0.002432022010907531,0.002729303203523159,0.0028176563791930676,0.002713578287512064,0.002586331916972995,0.00029754098360655737,1001.0,-340.0727397231358,32,-0.0015132684224226979,3.8260089311748744,189.80575466156006
,,196608,0.0006932917068297684,0.06452026218175888,0.06465454399585724,0.06477661430835724,0.06429443508386612,0.064483642578125,0.06483764946460724,0.06443481892347336,0.06389160454273224,0.0644866943359375,18.214361301064493,0.06814506649971008,0.06662949919700623,0.06481299549341202,0.06661833822727203,0.07170156389474869,0.07543142139911652,0.07617689669132233,0.07425250858068466,6,0.0023293958511203527,0.0022283841390162706,0.0021083287429064512,0.0022257601376622915,0.002579208230599761,0.002854159800335765,0.002909522969275713,0.0027652401477098465,0.0002969262295081967,1001.0,-336.0682019547298,32,-0.0017064204155758488,3.5561347089707853,230.05339241027832
,,229376,0.000692960826199851,0.06469116359949112,0.06450195610523224,0.06488647311925888,0.06544189900159836,0.06464844197034836,0.06434936821460724,0.06480713188648224,0.06386108696460724,0.0646484375,18.20679475963116,0.06637420505285263,0.06429746001958847,0.06421812623739243,0.06737156212329865,0.07332669943571091,0.07776518166065216,0.07695146650075912,0.07286882400512695,7,0.002212270861491561,0.0020738074090331793,0.0020708634983748198,0.0022777419071644545,0.0026987679302692413,0.003032062901183963,0.002968527376651764,0.002665957435965538,0.00029631147540983607,1001.0,-305.6958445658447,32,-0.0018158991224481724,4.042513216659427,267.72397541999817
,,262144,0.0007440833285272674,0.07186279445886612,0.07183837890625,0.07189331203699112,0.07181396335363388,0.07291870564222336,0.07206421345472336,0.07152099907398224,0.071807861328125,0.07196502685546875,18.18636935055256,0.06721922010183334,0.0661870464682579,0.06571491062641144,0.06771557778120041,0.07215165346860886,0.07587278634309769,0.0758570060133934,0.07318158447742462,8,0.002266010269522667,0.0021969059016555548,0.00216611847281456,0.0023009642027318478,0.002610148163512349,0.0028863660991191864,0.002886432921513915,0.0026870539877563715,0.00029569672131147536,1001.0,-341.4656431418313,32,-0.0019961437879828735,3.386514513194561,307.0950222015381
,,294912,0.000740710129184663,0.07109985500574112,0.071441650390625,0.07146606594324112,0.07136841118335724,0.071136474609375,0.07036743313074112,0.07093506306409836,0.07183837890625,0.0712066650390625,18.21031202673912,0.06601639837026596,0.06472275406122208,0.06544401496648788,0.06828951090574265,0.07322543859481812,0.0758952721953392,0.07606875151395798,0.07386023551225662,9,0.00218802597373724,0.0021030220668762922,0.002148933708667755,0.002339304657652974,0.002691693138331175,0.002888643881306052,0.002904032589867711,0.002736344002187252,0.0002950819672131147,1001.0,-337.75412854499314,32,-0.0019981162644398865,3.9850162897258996,343.69336581230164
,,327680,0.0007990643593529967,0.07893677055835724,0.079986572265625,0.07892455905675888,0.07957153767347336,0.07954712212085724,0.078643798828125,0.07902832329273224,0.079742431640625,0.07929763793945313,18.248741418123245,0.06744753569364548,0.0644480511546135,0.06362766027450562,0.065951406955719,0.07142513245344162,0.07703851908445358,0.07817168533802032,0.07489371299743652,10,0.0022858595475554466,0.002085937187075615,0.002031071810051799,0.002181808929890394,0.0025594516191631556,0.002975510898977518,0.0030640282202512026,0.002816331572830677,0.00029446721311475406,1001.0,-322.77934254985246,32,-0.0020993832535168623,3.671677600964904,382.60465383529663
