eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
,,8192,0.0,0.0,17.388413667678833,0.9203626863658428,1,0.0003,1000.5,-353.5461150621053,8,4.365391018986702,10.626776731014251,2.7114694118499756,2.7114694118499756,2.7114694118499756,2.7114694118499756,2.0893383026123047
-313.7680087782686,110.13133192344722,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.262265205383301
nan,nan,16384,0.0,0.0,17.425476384162902,0.8866736143827438,2,0.0002,1001.0,-354.13169945067466,8,4.33236800134182,18.384597337245943,3.3866448402404785,3.3866448402404785,3.3866448402404785,3.3866448402404785,7.2119951248168945
-312.0455691913177,85.5383739802984,16384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.422307252883911
nan,nan,24576,0.0,0.0,17.353531301021576,0.877029563114047,3,0.0001,1001.0,-381.47402964124774,8,4.340338918566704,17.44072905778885,3.7355668544769287,3.7355668544769287,3.7355668544769287,3.7355668544769287,12.405450105667114
-314.52350127981197,73.28701508406542,24576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.551819086074829
