eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,393216,0.0020575414029735837,0.111114501953125,0.11126708984375,0.11192627251148224,0.11234741657972336,0.111663818359375,17.436979672312738,0.09119752794504166,0.09458144754171371,0.10274692624807358,0.1098424568772316,12,0.0041762362234294415,0.004484382923692465,0.00529051199555397,0.006048868410289288,0.00029323770491803276,1001.0,-319.1155120218642,32,-0.004140062753140228,3.5485037088394167,331.672025680542
,,425984,0.002090181097628374,0.11393433064222336,0.11356201022863388,0.11397705227136612,0.11358642578125,0.11376495361328125,17.449865433573724,0.0916755422949791,0.09438043087720871,0.10240353643894196,0.10991966724395752,13,0.004218053072690964,0.004467075224965811,0.005255635362118483,0.006059236358851194,0.0002926229508196721,1001.0,-302.8921794730888,32,-0.004301127072540112,3.733800380304456,356.96548652648926
,,458752,0.0020112420326768186,0.10783691704273224,0.1090087890625,0.10894775390625,0.10847168415784836,0.1085662841796875,17.383141857385635,0.09341368824243546,0.09446955472230911,0.10184431076049805,0.10896321386098862,14,0.004375990014523268,0.004474530462175608,0.005198836326599121,0.005950642749667168,0.00029200819672131145,1001.0,-313.3128692880812,32,-0.004405330654117278,3.881491355970502,383.12601709365845
,,491520,0.0021909827897616196,0.12084350734949112,0.12068481743335724,0.12037353962659836,0.12014160305261612,0.1205108642578125,17.433188593387605,0.09476371854543686,0.09643081575632095,0.10087976604700089,0.1069820299744606,15,0.004503209143877029,0.004661018494516611,0.005100705660879612,0.005735066253691912,0.0002913934426229508,1001.0,-297.371224585766,32,-0.004437236857484095,3.5888980414718388,408.11544609069824
,,524288,0.0019726578236259227,0.105926513671875,0.104766845703125,0.10515137016773224,0.10632934421300888,0.10554351806640624,17.429002061486244,0.09424950927495956,0.09460406005382538,0.1007080078125,0.10913033783435822,16,0.004457555711269379,0.004488152917474508,0.005083463154733181,0.005970827769488096,0.00029077868852459015,1001.0,-307.54041273377254,32,-0.004233741025745985,4.193131431564689,432.31361508369446
,,557056,0.002395032528147567,0.13292847573757172,0.13419190049171448,0.13281860947608948,0.13414917886257172,0.13352203369140625,17.439986950159074,0.09403589367866516,0.09527796506881714,0.10145783424377441,0.10804065316915512,17,0.004437405150383711,0.004552184604108334,0.005159623455256224,0.005850787274539471,0.00029016393442622945,1001.0,-292.46032743553786,32,-0.004350748220167589,3.4768697049468757,455.27137541770935
,,589824,0.0021663814719431683,0.11761474609375,0.11865234375,0.11811523884534836,0.11906738579273224,0.1183624267578125,17.45491007268429,0.09066043049097061,0.09434125572443008,0.1027943417429924,0.11048152297735214,18,0.004123752936720848,0.00446150079369545,0.005296198185533285,0.006118547171354294,0.00028954918032786885,1001.0,-304.7897293768147,32,-0.004447188859194285,3.657643648609519,478.9574797153473
,,622592,0.002277125590353535,0.12451171875,0.12577514350414276,0.12443237751722336,0.12579345703125,0.125128173828125,17.44497453868389,0.09219961613416672,0.09408116340637207,0.101469986140728,0.11063714325428009,19,0.004264815244823694,0.0044377692975103855,0.005161401350051165,0.00613601366057992,0.0002889344262295082,1001.0,-287.1734945163054,32,-0.0045393374348350335,3.523277077451348,501.6281168460846
,,655360,0.002241880980818678,0.12290038913488388,0.12279053032398224,0.12153320759534836,0.12192993611097336,0.12228851318359375,17.444776821136475,0.09261571615934372,0.09451562166213989,0.10241585969924927,0.10906191170215607,20,0.004302778746932745,0.004478254355490208,0.005257108714431524,0.005961857736110687,0.00028831967213114755,1001.0,-282.0594222636355,32,-0.004613798528589541,3.6759835686534643,524.6868443489075
,,688128,0.00251610169043488,0.13916626572608948,0.14047852158546448,0.14173583686351776,0.14152832329273224,0.14072723388671876,17.44795394837856,0.09310823678970337,0.0935438796877861,0.10201311111450195,0.10979341715574265,21,0.004350361414253712,0.004389404319226742,0.005216795485466719,0.006043438799679279,0.00028770491803278684,1001.0,-305.8843697340758,32,-0.00469507243251428,3.2358505073934793,548.1512370109558
,,720896,0.0022601133153330013,0.12443237751722336,0.12406005710363388,0.12327270954847336,0.123443603515625,0.12380218505859375,17.44394085109234,0.09059766680002213,0.09213422983884811,0.10211552679538727,0.11296635866165161,22,0.004118749406188726,0.004257600288838148,0.005227049347013235,0.0063966005109250546,0.0002870901639344262,1001.0,-277.3887083457646,48,-0.0048800734672113325,4.022993098571897,571.5256893634796
,,753664,0.002342226362270594,0.12899170815944672,0.12962646782398224,0.12928466498851776,0.12932740151882172,0.12930755615234374,17.406557455658913,0.09007103741168976,0.09205379337072372,0.1029277816414833,0.11275159567594528,23,0.004070167429745197,0.004249513149261475,0.0053103300742805,0.006369990296661854,0.00028647540983606554,1001.0,-288.56027667686214,32,-0.004780269764160039,3.806049398332834,594.542323589325
,,786432,0.002357050889713719,0.13016967475414276,0.12923584878444672,0.12910155951976776,0.12968750298023224,0.12954864501953126,17.436784559488295,0.08983495086431503,0.09300943464040756,0.10215532779693604,0.11285384744405746,24,0.0040493435226380825,0.0043368651531636715,0.005231737624853849,0.006382053252309561,0.0002858606557377049,1001.0,-277.34263171988505,32,-0.004644041167193791,3.5654342986643313,617.7637255191803
,,819200,0.0024136350422850226,0.13377074897289276,0.133056640625,0.13450317084789276,0.13396607339382172,0.13382415771484374,17.45188472867012,0.08932322263717651,0.09328681975603104,0.10241065174341202,0.11277025938034058,25,0.004003874957561493,0.004362975247204304,0.005257299169898033,0.006375850643962622,0.00028524590163934424,1001.0,-259.00392955670384,32,-0.004766785359242931,3.4806741807609796,645.1713669300079
,,851968,0.002510432585313538,0.14100952446460724,0.13970947265625,0.14044800400733948,0.13941040635108948,0.14014434814453125,17.424850744009017,0.09090409427881241,0.09352944046258926,0.10320507735013962,0.11055238544940948,26,0.004147218074649572,0.004386762622743845,0.005339126568287611,0.006126892752945423,0.0002846311475409836,1001.0,-274.38922747808334,32,-0.00506465721555287,3.4311206750571728,668.1898694038391
-181.31524235500945,35.910105316491574,851968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,709.845043182373
nan,nan,884736,0.0025909677896379436,0.14536742866039276,0.14452515542507172,0.14347533881664276,0.14603272080421448,0.14485015869140624,17.446337339282035,0.09034531563520432,0.0927363857626915,0.10198207199573517,0.11281538009643555,27,0.004096252843737602,0.004311602562665939,0.005213706288486719,0.006378438323736191,0.00028401639344262294,1001.0,-281.5505645946929,32,-0.005033042616560124,3.1614835023880006,733.1772305965424
nan,nan,917504,0.0023441135432221926,0.12901611626148224,0.12904663383960724,0.12889404594898224,0.12796631455421448,0.12873077392578125,17.455580615997313,0.09042087197303772,0.0936923623085022,0.1026432067155838,0.11136770248413086,28,0.004101138096302748,0.004401174373924732,0.005280907265841961,0.006216780282557011,0.0002834016393442623,1001.0,-273.9290232959719,32,-0.005026795076264534,3.6825639348477126,756.8058161735535
nan,nan,950272,0.002455613506481313,0.13355712592601776,0.13535766303539276,0.13529053330421448,0.13590697944164276,0.135028076171875,17.415878871083258,0.08787371963262558,0.09165670722723007,0.10403946787118912,0.11369731277227402,29,0.0038777999579906464,0.004214263521134853,0.0054276143200695515,0.006480321288108826,0.00028278688524590163,1001.0,-252.16737132871643,32,-0.004838542356446851,3.6065162155777215,784.2869229316711
-154.33032619509632,41.88991385280809,950272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,827.1147856712341
nan,nan,983040,0.0026597679435326426,0.147369384765625,0.14740601181983948,0.14809571206569672,0.14813843369483948,0.14775238037109376,17.466197004914285,0.08964701741933823,0.09174907207489014,0.10156963020563126,0.1145312562584877,30,0.0040319389663636684,0.004222213290631771,0.005171291064471006,0.006574556231498718,0.00028217213114754093,1001.0,-245.33060455828945,32,-0.004894340949249454,3.1665718488395216,850.6345365047455
nan,nan,1015808,0.002449342041381897,0.13616333901882172,0.13437500596046448,0.13493652641773224,0.13719482719898224,0.13566741943359376,17.42760988473892,0.08833657950162888,0.09154083579778671,0.10268815606832504,0.11469387263059616,31,0.003915446810424328,0.004204331431537867,0.005286380182951689,0.006593841593712568,0.0002815573770491803,1001.0,-255.26375829116813,32,-0.0051473080980940725,3.83003762178123,873.2563855648041
nan,nan,1048576,0.0024345527325749573,0.13396607339382172,0.133697509765625,0.134429931640625,0.13532714545726776,0.13435516357421876,17.443717846274374,0.08910159021615982,0.0924302265048027,0.10316147655248642,0.11294475942850113,32,0.003984387498348951,0.0042853462509810925,0.005335869733244181,0.006394397001713514,0.0002809426229508196,1001.0,-259.38918209245685,32,-0.004915572801110102,3.653590562567115,898.4054517745972
