eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_2,train/weight_step_3,wall_time
,,2048,0.021386241095751757,0.05976562574505806,0.06191406399011612,0.06162109225988388,0.06376953423023224,0.061767578125,34.23416156768799,1,0.0003,1000.0,-473.0056137991439,2,-0.022436758884578013,16.9601333335042,0.24723906815052032,0.2450496107339859,0.2555443048477173,0.25216707587242126,1.7735199928283691
,,4096,0.021620708426780766,0.054931640625,0.05708007887005806,0.06401367485523224,0.06464843451976776,0.06016845703125,34.11185828447342,2,0.0002993852459016393,1000.0,-305.8119027444098,2,-0.026798563401098364,20.566751989722253,0.24434030055999756,0.2485302984714508,0.2548185884952545,0.25231078267097473,3.503795862197876
,,6144,0.030883325183094713,0.08999023586511612,0.09375,0.09125976264476776,0.10322265326976776,0.0945556640625,34.12175242900848,3,0.00029877049180327867,1000.0,-376.01937954888894,2,-0.03458266187044501,14.993574064970016,0.24411077797412872,0.24444608390331268,0.24857084453105927,0.26287227869033813,5.232281923294067
,,8192,0.04161280863118009,0.125244140625,0.13774414360523224,0.1435546875,0.14033202826976776,0.13671875,34.27359765768051,4,0.000298155737704918,1000.0,-340.94017577312985,2,-0.04089948836772237,11.096794599294663,0.23812659084796906,0.24603386223316193,0.24910148978233337,0.26673808693885803,6.9985809326171875
,,10240,0.04862446331753745,0.15205077826976776,0.15263672173023224,0.15395507216453552,0.17084960639476776,0.157373046875,34.32554852962494,5,0.00029754098360655737,1000.0,-425.1478059908946,2,-0.0422862722305581,10.311226145923138,0.23222385346889496,0.2383926510810852,0.25290971994400024,0.27647385001182556,8.811583042144775
-266.5459526351746,33.415227443501514,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.273589849472046
nan,nan,12288,0.04422786395007279,0.130859375,0.13862304389476776,0.14350585639476776,0.13535156846046448,0.1370849609375,34.29475586414337,6,0.0002969262295081967,1000.0,-447.3389146074667,2,-0.039770340375253,9.949802079796791,0.22564351558685303,0.23697537183761597,0.25290390849113464,0.28447723388671875,14.002179861068726
nan,nan,14336,0.03269070255264524,0.0849609375,0.09848632663488388,0.10039062798023224,0.10747070610523224,0.0978271484375,34.31833609342575,7,0.00029631147540983607,1000.0,-413.88063521233204,2,-0.03746298215482966,15.063457523286342,0.2225358486175537,0.23575690388679504,0.25251513719558716,0.2891920804977417,15.742964029312134
nan,nan,16384,0.03257672579784412,0.10126952826976776,0.09853515774011612,0.09902343899011612,0.10190429538488388,0.10018310546875,34.0430532336235,8,0.00029569672131147536,1000.0,-413.3527204389585,2,-0.03953871031699237,20.47603457570076,0.22079184651374817,0.23492734134197235,0.2535504698753357,0.290730357170105,17.45852279663086
nan,nan,18432,0.05178647441061912,0.161376953125,0.15976563096046448,0.158203125,0.180419921875,0.16494140625,34.30195405483246,9,0.0002950819672131147,1000.0,-391.94477685436306,2,-0.05387576716020703,13.645244371891021,0.21801725029945374,0.230699822306633,0.25207895040512085,0.29920393228530884,19.213747024536133
nan,nan,20480,0.05427844090445433,0.16875000298023224,0.17812499403953552,0.17499999701976776,0.18144531548023224,0.175830078125,34.277879011631015,10,0.00029446721311475406,1000.0,-381.9747372158614,2,-0.05347982168896124,15.276822240650654,0.2133147120475769,0.2274792343378067,0.250192254781723,0.3090137839317322,21.00485372543335
-266.6774412246807,52.69427069461186,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.49315094947815
nan,nan,22528,0.0816620689278352,0.22172851860523224,0.23793944716453552,0.24589844048023224,0.264892578125,0.24261474609375,34.35147465467453,11,0.0002938524590163934,1000.0,-432.97175214371543,2,-0.050607572669105136,10.55813822299242,0.20234918594360352,0.22570069134235382,0.2417995184659958,0.33015066385269165,26.19292187690735
nan,nan,24576,0.0550246291422809,0.169189453125,0.17060546576976776,0.17324218153953552,0.186767578125,0.174951171875,34.33232697248459,12,0.00029323770491803276,1000.0,-406.2529228545566,2,-0.05035400724154897,16.021319358050825,0.19463004171848297,0.220008984208107,0.24298164248466492,0.34237924218177795,27.90276789665222
nan,nan,26624,0.07718464317658799,0.21562500298023224,0.229736328125,0.23149414360523224,0.2540039122104645,0.23271484375,34.47428214550018,13,0.0002926229508196721,1000.0,-358.1718998836135,2,-0.05448696992825717,10.9826016202569,0.18477165699005127,0.21034151315689087,0.2352641522884369,0.36962270736694336,29.62175178527832
nan,nan,28672,0.0725238129729405,0.1982421875,0.21113280951976776,0.22041015326976776,0.2588867247104645,0.22216796875,34.320829844474794,14,0.00029200819672131145,1000.0,-339.42385887600767,2,-0.060676247606170366,11.424130247533322,0.17249757051467896,0.2001127302646637,0.22705602645874023,0.40033361315727234,31.377683877944946
nan,nan,30720,0.04983756076399004,0.13715820014476776,0.15517577528953552,0.17158202826976776,0.19453124701976776,0.16461181640625,34.303505742549895,15,0.0002913934426229508,1000.0,-377.28553486636395,2,-0.05761139357637148,17.761211761832236,0.168030247092247,0.19432665407657623,0.223177969455719,0.4144650995731354,33.16227984428406
-201.93023356550566,65.32248976530657,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.65576982498169
nan,nan,32768,0.076357025285688,0.19594725966453552,0.21337890625,0.24326172471046448,0.27250975370407104,0.2312744140625,34.26335079669953,16,0.00029077868852459015,1000.0,-374.07677889053485,2,-0.06427869361796183,12.019726006686687,0.15658728778362274,0.1823386400938034,0.21174770593643188,0.4493263363838196,38.39298677444458
nan,nan,34816,0.0854932336274942,0.22285155951976776,0.23237304389476776,0.26640623807907104,0.2898925840854645,0.252880859375,34.45260238647461,17,0.00029016393442622945,1000.0,-335.143241344995,2,-0.06028801055799704,11.613088381290435,0.14512285590171814,0.1719813197851181,0.1985863596200943,0.484309583902359,40.14421987533569
