eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_2,train/fisher_eps_step_3,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.006392035425233189,0.073974609375,0.078857421875,0.08041992038488388,0.08564452826976776,0.07972412109375,34.176310420036316,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,1,0.0003,1000.0,-473.0056137991439,2,-0.014213746870518662,16.95986902117729,1.5027551651000977
,,4096,0.005843461364565883,0.06035156175494194,0.07480468600988388,0.067626953125,0.07373046875,0.06912841796875,34.048060512542726,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,2,0.0002,1000.0,-318.244541799134,2,-0.015110508995712734,14.108802455663682,2.988204002380371
-276.7831265786523,62.451400230172474,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.04079794883728
nan,nan,6144,0.004897624788281973,0.050048828125,0.05141601711511612,0.05878906324505806,0.06362304836511612,0.05596923828125,33.97242506742477,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,3,0.0001,1000.0,-407.27892584996556,2,-0.013980484439525754,13.651354180276394,7.493712902069092
