eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_10,train/weight_step_11,train/weight_step_12,train/weight_step_13,train/weight_step_14,train/weight_step_15,train/weight_step_2,train/weight_step_3,train/weight_step_4,train/weight_step_5,train/weight_step_6,train/weight_step_7,train/weight_step_8,train/weight_step_9,wall_time
nan,nan,28672,0.025380912008222366,0.04970703274011612,0.05874023586511612,0.08437500149011612,0.08632812649011612,0.08378906548023224,0.076904296875,0.07963867485523224,0.086181640625,0.05502929538488388,0.06254883110523224,0.06982421875,0.076171875,0.06503906100988388,0.07534179836511612,0.07172851264476776,0.079833984375,0.0725738525390625,136.68701725006105,14,0.00029200819672131145,1000.0,-226.0882434863223,2,-0.01995027825178113,10.788042467832565,0.05624255910515785,0.05309901013970375,0.057269591838121414,0.06998702138662338,0.07053975015878677,0.06216372549533844,0.06633321940898895,0.07046373933553696,0.05003224313259125,0.0696638897061348,0.06223725154995918,0.06894116848707199,0.05807826668024063,0.06637419760227203,0.056970253586769104,0.06160413846373558,88.6992781162262
nan,nan,30720,0.023046223312849178,0.04653320461511612,0.04833984375,0.07470703125,0.07607422024011612,0.08447265625,0.07309570163488388,0.07421875,0.07768554985523224,0.04790038987994194,0.05820312350988388,0.05917968600988388,0.06049804762005806,0.06049804762005806,0.06621094048023224,0.06308593600988388,0.06782226264476776,0.0649078369140625,136.23400421142577,15,0.0002913934426229508,1000.0,-184.52150551053495,2,-0.018867689624312334,15.656635937094688,0.056479863822460175,0.05275952070951462,0.056936025619506836,0.07080621272325516,0.07175800949335098,0.06304723024368286,0.06635954231023788,0.07149139791727066,0.04990307241678238,0.06846919655799866,0.06198662519454956,0.06851571053266525,0.05713440477848053,0.06677860766649246,0.05614499747753143,0.06142953410744667,93.22605323791504
38.69405966351397,100.51778316344382,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.51785492897034
nan,nan,32768,0.02854535405385832,0.07182617485523224,0.06752929836511612,0.08500976860523224,0.09370116889476776,0.09609375149011612,0.09731445461511612,0.093505859375,0.09394530951976776,0.07211913913488388,0.07851562649011612,0.083251953125,0.08403320610523224,0.08212890475988388,0.08388672024011612,0.08803711086511612,0.09033203125,0.085076904296875,136.6188744544983,16,0.00029077868852459015,1000.0,-186.09427669020022,2,-0.020466042845509947,10.42453841418028,0.05515005812048912,0.051759205758571625,0.05688858777284622,0.07214873284101486,0.07418209314346313,0.06125996261835098,0.0667380839586258,0.07218506932258606,0.049254387617111206,0.06784223765134811,0.062381401658058167,0.06808045506477356,0.0564986988902092,0.06622324138879776,0.055704399943351746,0.06370346993207932,109.43778109550476
nan,nan,34816,0.028922769719429198,0.067138671875,0.06435547024011612,0.09726562350988388,0.09975586086511612,0.09775390475988388,0.09453125298023224,0.09428711235523224,0.10053710639476776,0.06479492038488388,0.07919921725988388,0.07866211235523224,0.08583984524011612,0.08183594048023224,0.091064453125,0.08100585639476776,0.09331054985523224,0.0857086181640625,137.0411437034607,17,0.00029016393442622945,1000.0,-95.31868920630798,2,-0.022070093429647386,10.940498860180378,0.05368836224079132,0.05064088851213455,0.05702780932188034,0.07169406116008759,0.07430234551429749,0.06168559566140175,0.06646568328142166,0.07418512552976608,0.04846803843975067,0.06872713565826416,0.061488669365644455,0.06993427127599716,0.05570609122514725,0.06545958667993546,0.05553940311074257,0.06498696655035019,114.21917223930359
nan,nan,36864,0.031132645737852727,0.07026366889476776,0.06997070461511612,0.10903320461511612,0.11391601711511612,0.112060546875,0.11430664360523224,0.09882812201976776,0.10122070461511612,0.06748046725988388,0.07456054538488388,0.08852539211511612,0.08740234375,0.09360351413488388,0.09423828125,0.09633789211511612,0.10429687798023224,0.0935028076171875,136.64661707878113,18,0.00028954918032786885,1000.0,-181.20401414162177,2,-0.020513886731350794,9.007365146279335,0.05191722884774208,0.05116900056600571,0.056808389723300934,0.07368335127830505,0.0746873989701271,0.06105991452932358,0.06682197004556656,0.0738821029663086,0.048019107431173325,0.06816472113132477,0.06172310188412666,0.06997642666101456,0.05574242025613785,0.06720241904258728,0.054436493664979935,0.06470593810081482,118.95813822746277
nan,nan,38912,0.023931081019327394,0.05156249925494194,0.04477538913488388,0.07797851413488388,0.07763671875,0.07978515326976776,0.08574219048023224,0.08833007514476776,0.08349609375,0.05195312574505806,0.05869140475988388,0.05483398586511612,0.06367187201976776,0.06137695163488388,0.06020507961511612,0.06997070461511612,0.07749023288488388,0.06796875,136.68193364143372,19,0.0002889344262295082,1000.0,-173.96867523238097,2,-0.020348985641612673,13.930588614940643,0.051346711814403534,0.051015403121709824,0.056496623903512955,0.07436368614435196,0.07484444230794907,0.06106726452708244,0.06765511631965637,0.07381711155176163,0.0469033382833004,0.06933384388685226,0.06055035814642906,0.07038357853889465,0.0558154433965683,0.06793230026960373,0.05405751243233681,0.06441720575094223,123.65951800346375
nan,nan,40960,0.029948872022032447,0.07094726711511612,0.06791992485523224,0.10830078274011612,0.10673828423023224,0.10283203423023224,0.10205078125,0.10322265326976776,0.09042968600988388,0.07080078125,0.080078125,0.08876953274011612,0.08974609524011612,0.089599609375,0.09321288764476776,0.09443359076976776,0.09760741889476776,0.0910430908203125,136.5555908203125,20,0.00028831967213114755,1000.0,-47.215577337030936,2,-0.023188294563442468,8.604239656031131,0.05086636170744896,0.049792658537626266,0.05540250614285469,0.07580233365297318,0.07566390931606293,0.06119391322135925,0.06808844953775406,0.07530253380537033,0.046231988817453384,0.06890305131673813,0.060478512197732925,0.07022348791360855,0.05578012764453888,0.0662531778216362,0.05466216430068016,0.06535482406616211,128.17062616348267
108.11344277045059,71.47236655935286,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139.5473599433899
nan,nan,43008,0.026084864228869263,0.06162109225988388,0.05717773362994194,0.08505859225988388,0.08642578125,0.09580077975988388,0.07744140923023224,0.08168945461511612,0.08491210639476776,0.05615234375,0.068603515625,0.07065429538488388,0.07280273735523224,0.072509765625,0.07119140774011612,0.07241211086511612,0.082763671875,0.0748260498046875,136.5405714035034,21,0.00028770491803278684,1000.0,-33.910943881588864,3,-0.022661996513488703,11.38242719322443,0.050381358712911606,0.048627085983753204,0.054564423859119415,0.07644210755825043,0.07768449932336807,0.06064366549253464,0.06816054880619049,0.0754295364022255,0.045385558158159256,0.06968443840742111,0.06014646589756012,0.07125802338123322,0.05483781918883324,0.06718022376298904,0.05418039485812187,0.0653938576579094,144.40676403045654
