eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,40960,0.12122939181281253,0.32817381620407104,0.33759766817092896,0.3328857421875,17.323207134008406,20,0.00028831967213114755,1000.0,-292.3396130807882,2,-0.09030313200200908,11.049082754552364,98.22540402412415
-225.96090831580628,61.59409884750951,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.87564301490784
nan,nan,43008,0.23024553014838603,0.45219725370407104,0.4781738221645355,0.465185546875,17.567076855897902,21,0.00028770491803278684,1000.0,-218.82915742589998,3,-0.07990257190795091,8.301478085666895,107.59212803840637
nan,nan,45056,0.07787065048323712,0.245361328125,0.2501464784145355,0.24775390625,17.208119797706605,22,0.0002870901639344262,1000.0,-287.993746371886,2,-0.09221335432375781,13.908423107862472,110.64877414703369
nan,nan,47104,0.07425053859769833,0.22954101860523224,0.23378905653953552,0.2316650390625,17.212167459726334,23,0.00028647540983606554,1000.0,-288.4826626043902,2,-0.09086649366654456,15.701279328763485,113.0870041847229
nan,nan,49152,0.14323658051871463,0.3341308534145355,0.35175782442092896,0.3429443359375,17.434460043907166,24,0.0002858606557377049,1000.0,-347.5448012490096,2,-0.09682544090901501,7.733659014850855,116.20941209793091
nan,nan,51200,0.1542798101727385,0.36298829317092896,0.3828125,0.372900390625,17.378960418701173,25,0.00028524590163934424,1000.0,-248.88076537498688,2,-0.08384912986657582,8.416090822964907,121.2312581539154
-185.51638562566762,68.88217141226478,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.55693507194519
nan,nan,53248,0.12548840731178643,0.318603515625,0.35029298067092896,0.3344482421875,17.14097503423691,26,0.0002846311475409836,1000.0,-258.0049748049796,2,-0.10152349839918315,11.572625428438187,129.02853918075562
nan,nan,55296,0.16712052300135838,0.37397462129592896,0.40087890625,0.3874267578125,17.389137065410615,27,0.00028401639344262294,1000.0,-227.05461898597713,2,-0.09792029897944303,10.442671111226081,132.80388808250427
nan,nan,57344,0.14384112510742852,0.34736329317092896,0.356201171875,0.3517822265625,17.33385956287384,28,0.0002834016393442623,1000.0,-247.1993401734009,2,-0.09308385788172018,10.334208171069623,135.9693570137024
nan,nan,59392,0.24229082178644604,0.44331055879592896,0.46967774629592896,0.456494140625,17.571584528684618,29,0.00028278688524590163,1000.0,-278.3609353902686,2,-0.07552396685350686,7.204570665210485,139.02563190460205
nan,nan,61440,0.18592892113665585,0.3974609375,0.432373046875,0.4149169921875,17.477985155582427,30,0.00028217213114754093,1000.0,-314.13307429800193,2,-0.09018609659106006,6.975037749111652,141.99408411979675
-181.35747064126812,98.8765664808567,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,146.64317679405212
nan,nan,63488,0.12251623589982046,0.31123048067092896,0.3360351622104645,0.3236328125,17.303542268276214,31,0.0002815573770491803,1000.0,-221.5605723599367,2,-0.09796462408558,12.025386603176594,150.02228093147278
nan,nan,65536,0.10675887287216028,0.27495115995407104,0.31640625,0.2956787109375,17.223367041349412,32,0.0002809426229508196,1000.0,-269.5364980697009,2,-0.0962643204111373,14.21431982666254,152.7978069782257
nan,nan,67584,0.14447770101542118,0.33769530057907104,0.36699217557907104,0.35234375,17.386081528663635,33,0.00028032786885245903,1000.0,-346.9810728602748,2,-0.10852885745844106,9.758811582624912,155.5356421470642
nan,nan,69632,0.17153852063929662,0.35322266817092896,0.4052734375,0.379248046875,17.315539956092834,34,0.0002797131147540983,1000.0,-236.52282776643915,2,-0.08769799088186118,10.233926134556532,158.72184801101685
nan,nan,71680,0.12643677027808736,0.322998046875,0.3472656309604645,0.3351318359375,17.283790117502214,35,0.00027909836065573767,1000.0,-230.6575695152194,2,-0.10475766377348919,14.123944649100304,162.6297631263733
-98.20127098208584,34.16413406498865,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168.5702419281006
nan,nan,73728,0.14457659114850685,0.3450683653354645,0.38715821504592896,0.36611328125,17.242071795463563,36,0.000278483606557377,1000.0,-163.66131715326364,2,-0.10381527427962282,10.562645804882049,172.47930002212524
nan,nan,75776,0.1415363484993577,0.3543945252895355,0.370361328125,0.3623779296875,17.275373619794845,37,0.00027786885245901637,1000.0,-343.6299241462248,2,-0.10116712938179262,10.984697458148002,176.72073602676392
nan,nan,77824,0.2386170374811627,0.4542480409145355,0.48920899629592896,0.471728515625,17.47773846387863,38,0.0002772540983606557,1000.0,-168.5178749351973,2,-0.09725116041663569,8.609651179611683,179.88513922691345
