eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.025351980845152867,0.08408202975988388,0.07675781100988388,0.077392578125,0.07451172173023224,0.07818603515625,0.010248089761080336,0.055263216336607,34.15636726617813,1,0.0003,1000.0,-454.52685886150084,2,-0.025425545322650577,12.308912512660026,1.7185609340667725
,,4096,0.026520964463270503,0.08183594048023224,0.08232422173023224,0.078125,0.07470703125,0.079248046875,0.010145709424978121,0.05348073182394728,34.15456509590149,2,0.00023999999999999998,1000.0,-386.7320194658298,2,-0.03019031040930713,9.63706661015749,3.392514944076538
-265.0618498618671,75.71103960030293,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.476653099060059
nan,nan,6144,0.02836182009850745,0.0849609375,0.092041015625,0.083251953125,0.08549804985523224,0.08643798828125,0.008255292028479744,0.04406984965316951,34.171450805664065,3,0.00017999999999999998,1000.0,-396.9560467302324,2,-0.031790712348811215,9.777121336758137,8.311170101165771
nan,nan,8192,0.017331394409848145,0.04863281175494194,0.04331054538488388,0.03583984449505806,0.03530273586511612,0.040771484375,0.008509058838535566,0.04609797648154199,34.2657988190651,4,0.00011999999999999999,1000.0,-417.09471081739025,2,-0.018194874888285993,19.775465512275694,10.018639087677002
-236.0997361253563,27.638671916635204,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.22461485862732
nan,nan,10240,0.015174948173080339,0.03574218600988388,0.03398437425494194,0.03896484524011612,0.02988281287252903,0.0346435546875,0.007377239086781629,0.04114677030593157,34.06447185277939,5,5.999999999999998e-05,1000.0,-423.14675214009935,2,-0.018347579619148745,15.319656611979008,15.236816167831421
