eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.042218433871494196,0.476318359375,0.4725585877895355,0.20595702528953552,0.2001953125,0.18300780653953552,0.178466796875,0.17524413764476776,0.19003906846046448,0.477294921875,0.4264160096645355,0.39375001192092896,0.37548828125,0.347412109375,0.2978515625,0.26835936307907104,0.22050781548023224,0.30555419921875,0.03487808892969042,0.7882488591596484,10.0,136.64503889083863,10,0.00029446721311475406,1000.0,-562.1196467630908,2,-0.016678872653574216,14.0784927085042,61.99446892738342
-547.0023073021291,18.69660283398395,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.41119503974915
nan,nan,22528,0.07106444697601547,0.5938965082168579,0.592968761920929,0.23198242485523224,0.19736328721046448,0.19941405951976776,0.18862304091453552,0.18989257514476776,0.19477538764476776,0.5716308355331421,0.54150390625,0.485595703125,0.4344726502895355,0.388916015625,0.3416503965854645,0.29350584745407104,0.24858398735523224,0.3559234619140625,0.04043021347024478,1.0725547023117543,10.0,137.382262134552,11,0.0002938524590163934,1000.0,-525.9387580379689,2,-0.020168379181995988,9.361481507122516,77.62119507789612
nan,nan,24576,0.03884504782272415,0.52587890625,0.507275402545929,0.152587890625,0.13530273735523224,0.13725586235523224,0.12827149033546448,0.13603515923023224,0.13999024033546448,0.4727539122104645,0.4148925840854645,0.3819335997104645,0.3602050840854645,0.3238769471645355,0.27519530057907104,0.23530273139476776,0.18486328423023224,0.281976318359375,0.03688835423672572,0.8936766787432134,10.0,136.7185821533203,12,0.00029323770491803276,1000.0,-601.766243574356,2,-0.011157665814971551,15.478863265365362,82.80808711051941
nan,nan,26624,0.06112058869221073,0.591015636920929,0.578662097454071,0.19033202528953552,0.17583008110523224,0.16875000298023224,0.16845703125,0.17094726860523224,0.18574218451976776,0.548144519329071,0.530712902545929,0.466064453125,0.43144530057907104,0.39311522245407104,0.34086912870407104,0.28837889432907104,0.21914061903953552,0.3404754638671875,0.0380996230582241,1.5044037941843271,10.0,137.38898944854736,13,0.0002926229508196721,1000.0,-625.2291507665273,2,-0.014775374735472723,11.026954616606236,88.12769794464111
nan,nan,28672,0.07201654595937726,0.606738269329071,0.6187499761581421,0.21601562201976776,0.19609375298023224,0.18759766221046448,0.19487304985523224,0.18852539360523224,0.20610351860523224,0.587841808795929,0.577832043170929,0.528564453125,0.4789062440395355,0.416748046875,0.35102540254592896,0.3082519471645355,0.24057617783546448,0.3690277099609375,0.035320272168610244,1.8995146960020066,10.0,137.25729207992555,14,0.00029200819672131145,1000.0,-595.2669094559342,2,-0.013571792509173975,10.882792931841687,93.43613290786743
nan,nan,30720,0.0715063486557483,0.6078125238418579,0.6028808355331421,0.2177734375,0.21132811903953552,0.21186523139476776,0.21494141221046448,0.22626952826976776,0.22832031548023224,0.578076183795929,0.5420898199081421,0.506591796875,0.4842285215854645,0.4239746034145355,0.3582519590854645,0.31494140625,0.26264649629592896,0.37449951171875,0.0366090131457895,1.9429026385769248,10.0,137.47588424682618,15,0.0002913934426229508,1000.0,-587.9122461932816,2,-0.01318657853116747,10.997357513383031,98.6819179058075
-595.3957359358799,0.923458940133282,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109.22961902618408
nan,nan,32768,0.07239324318725267,0.5838378667831421,0.6055663824081421,0.19570311903953552,0.17587891221046448,0.16708984971046448,0.16586914658546448,0.17421874403953552,0.18007811903953552,0.6012207269668579,0.560253918170929,0.52294921875,0.4737304747104645,0.4217285215854645,0.371337890625,0.3206543028354645,0.2451171875,0.3603271484375,0.037174391059670596,1.9344194874167442,10.0,137.1683198451996,16,0.00029077868852459015,1000.0,-592.3114300393052,2,-0.01413510849524755,11.37130495198071,114.62661504745483
nan,nan,34816,0.07500295791614917,0.5940917730331421,0.5953613519668579,0.21708984673023224,0.21572265028953552,0.19155272841453552,0.19560547173023224,0.200927734375,0.20292969048023224,0.580029308795929,0.55224609375,0.5228027105331421,0.46000975370407104,0.4209960997104645,0.3590331971645355,0.2958007752895355,0.255126953125,0.3662078857421875,0.03794768046354875,1.7338253309950233,10.0,137.4274841785431,17,0.00029016393442622945,1000.0,-595.8446335475453,2,-0.013882616633782163,12.284072281979025,120.02793407440186
nan,nan,36864,0.08391605668366538,0.6490234136581421,0.639404296875,0.21733398735523224,0.21367187798023224,0.19379882514476776,0.202880859375,0.21689453721046448,0.22607421875,0.62646484375,0.556835949420929,0.523974597454071,0.4793457090854645,0.42021483182907104,0.37163084745407104,0.3330078125,0.26152342557907104,0.3832550048828125,0.03888349399203435,1.9876873042434453,10.0,137.541068983078,18,0.00028954918032786885,1000.0,-564.1823459837287,2,-0.016824717802228405,12.277560366503895,125.29505205154419
nan,nan,38912,0.11515146050714975,0.6920410394668579,0.675341784954071,0.22348633408546448,0.21250000596046448,0.21064452826976776,0.21342773735523224,0.21987304091453552,0.23833008110523224,0.617871105670929,0.593505859375,0.5281738042831421,0.4911132752895355,0.419677734375,0.3629394471645355,0.2918457090854645,0.25224608182907104,0.3901885986328125,0.040806852688547224,1.9063469499349595,10.0,138.0802050590515,19,0.0002889344262295082,1000.0,-564.4069398289716,2,-0.018805376952514052,11.428178512491286,130.58397388458252
nan,nan,40960,0.41937204278219725,0.764404296875,0.746044933795929,0.19179686903953552,0.18642577528953552,0.18471679091453552,0.19858399033546448,0.22250977158546448,0.23422852158546448,0.7164551019668579,0.6607910394668579,0.6015625,0.528124988079071,0.4539550840854645,0.37480467557907104,0.30156248807907104,0.22744140028953552,0.4120880126953125,0.048137768334709105,2.0089148368686436,10.0,143.00827980041504,20,0.00028831967213114755,1000.0,-617.0581909094853,2,-0.024641303412499836,14.024437143653632,135.7535879611969
-471.87540402271736,37.50698529136475,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,146.3115589618683
nan,nan,43008,3.8697109565895516,0.597705066204071,0.5792480707168579,0.508496105670929,0.5155273675918579,0.5235840082168579,0.5472656488418579,0.5525878667831421,0.566699206829071,0.565966784954071,0.5394042730331421,0.5274413824081421,0.515576183795929,0.507031261920929,0.515332043170929,0.5089355707168579,0.5132812261581421,0.536505126953125,0.021314846267341637,0.5501705107744783,10.0,270.7783968448639,21,0.00028770491803278684,1000.0,-566.1024944910718,3,0.0035889912382117473,18.04144947230816,151.7847318649292
nan,nan,45056,1.3735157619128586,0.4613281190395355,0.44013673067092896,0.44438475370407104,0.4503417909145355,0.4579101502895355,0.47148436307907104,0.4908203184604645,0.5086914300918579,0.4114746153354645,0.380859375,0.36127930879592896,0.35888671875,0.3946289122104645,0.4144043028354645,0.4287109375,0.44184571504592896,0.43232421875,0.026425218730582855,0.7036398300901056,10.0,167.49973211288452,22,0.0002870901639344262,1000.0,-263.4865630670656,2,0.01365167778567411,10.352852176129819,157.29947590827942
nan,nan,47104,0.06664398701250321,0.4740234315395355,0.42817384004592896,0.2616210877895355,0.26249998807907104,0.29609376192092896,0.3138671815395355,0.3348632752895355,0.3583984375,0.4031738340854645,0.34882813692092896,0.31049805879592896,0.29296875,0.2919921875,0.2694335877895355,0.2674316465854645,0.25273436307907104,0.32291259765625,0.022011833370197565,0.5755530575290322,10.0,137.0290096759796,23,0.00028647540983606554,1000.0,-283.4044631540502,2,0.011182143809855915,9.82815237119794,162.64621114730835
nan,nan,49152,0.07800873919622972,0.6229003667831421,0.6009277105331421,0.22441406548023224,0.23432616889476776,0.24697265028953552,0.27070313692092896,0.28876954317092896,0.3182617127895355,0.553271472454071,0.4925781190395355,0.45380860567092896,0.37470704317092896,0.3252929747104645,0.2852539122104645,0.23227539658546448,0.21635742485523224,0.35880126953125,0.031272024812642484,1.0785592146217824,10.0,137.23994574546813,24,0.0002858606557377049,1000.0,-478.2991279191238,2,-0.0037565826321952047,8.090076751820742,167.970370054245
