eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.014077112759696319,0.19443359375,17.095673698186875,1,0.0003,1000.0,-377.9379710671574,2,-0.037205318939231805,13.233376042544842,4.479909181594849
,,4096,0.015763687278376893,0.2228515625,17.025399750471117,2,0.0002993852459016393,1024.0,-327.58415046535754,2,-0.04880476320395246,10.420870260894299,10.50789499282837
,,6144,0.021114577978732996,0.2744140625,17.009829938411713,3,0.00029877049180327867,1024.0,-313.76451654693636,2,-0.05555252557678614,8.438989838957786,16.15906000137329
,,8192,0.01895368276454974,0.2583984375,17.035488647222518,4,0.000298155737704918,1024.0,-376.496554492519,2,-0.05348870791785885,12.92067525535822,24.728454113006592
,,10240,0.026596506987698377,0.310107421875,17.00189341902733,5,0.00029754098360655737,1024.0,-438.1951453582088,2,-0.049469827231951057,9.370290617644788,28.588898181915283
-283.4362503829462,56.60270397857046,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.60886025428772
nan,nan,12288,0.026589114411035553,0.317041015625,17.05893333554268,6,0.0002969262295081967,1024.0,-379.54202389543633,2,-0.0542632790573407,11.303844425082207,38.51665115356445
nan,nan,14336,0.017781760639627463,0.240869140625,17.035855412483215,7,0.00029631147540983607,1024.0,-341.6479350220552,2,-0.057752171508036555,21.13051277399063,42.91369009017944
nan,nan,16384,0.023907860682811588,0.29853515625,16.994389164447785,8,0.00029569672131147536,1024.0,-434.751889953048,2,-0.05760226127749775,17.348224876821043,48.085907220840454
nan,nan,18432,0.05494685126468539,0.4826171875,17.148142540454863,9,0.0002950819672131147,1024.0,-348.6971683430627,2,-0.059821340555208734,8.385668743401766,52.77500629425049
nan,nan,20480,0.02728574631328229,0.3244140625,17.002604681253434,10,0.00029446721311475406,1024.0,-346.2248001455833,2,-0.06215948078461224,16.949958309531212,57.15339708328247
-242.96873543180965,70.70577757218493,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.37305402755737
nan,nan,22528,0.02964675029506907,0.33525390625,17.058701997995378,11,0.0002938524590163934,1024.0,-432.63985924719714,2,-0.061156636165105735,20.823492568731307,67.57800006866455
nan,nan,24576,0.026390472389175558,0.314404296875,16.936579710245134,12,0.00029323770491803276,1024.0,-426.3528364182182,2,-0.0634832259369432,28.84727000296116,70.68677711486816
nan,nan,26624,0.05536153984430712,0.481494140625,17.049651342630387,13,0.0002926229508196721,1024.0,-330.69503549697436,2,-0.06531787599378731,11.230309906601907,75.9556291103363
nan,nan,28672,0.028859710908727722,0.35390625,17.020905578136443,14,0.00029200819672131145,1024.0,-453.1338481251996,2,-0.06691080720338505,22.11240584552288,80.87022519111633
nan,nan,30720,0.0365986006159801,0.392041015625,17.085371708869936,15,0.0002913934426229508,1024.0,-326.1588088549381,2,-0.06581117782043293,16.498844975233077,85.09600830078125
-181.40138665540564,68.43709579153435,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90.83378911018372
nan,nan,32768,0.0911964490369428,0.560498046875,17.110125887393952,16,0.00029077868852459015,1024.0,-349.58981033791486,2,-0.05471134114777669,9.901179087907076,94.82462406158447
nan,nan,34816,0.047646164617617615,0.44482421875,17.061749202013015,17,0.00029016393442622945,1024.0,-276.71128972495444,2,-0.07120884027099236,13.723933094739914,99.30338215827942
nan,nan,36864,0.045718801871407776,0.444287109375,17.102551352977752,18,0.00028954918032786885,1024.0,-402.23335468512516,2,-0.06769815478473902,13.404673248529434,104.0642900466919
