eval/mean_return,eval/std_return,step,train/approx_kl,train/awfm_max_weight,train/awfm_mean_weight,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0,0.1353247130755335,0.031249999831197785,0.0,0.0,1,0.0003,1000.0,-473.0056137991439,2,9.141888012148294e-06,16.959673964977263,1.4753479957580566
,,4096,0.0,0.16643995251506566,0.031249999918509276,0.0,0.0,2,0.0002,1000.0,-390.78727664896996,2,5.897132477856594e-09,9.877624323964119,2.85469913482666
-286.89513925014467,88.62218958044704,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.984907150268555
nan,nan,6144,0.0,0.18186040775617585,0.031249999749707057,0.0,0.0,3,0.0001,1000.0,-432.96765695954696,2,9.654641504022916e-11,18.465346910059452,7.376173257827759
