step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
2048,0.017156673295539805,0.216943359375,17.528817588090895,1,0.0003,1000.0,-324.41246517249556,2,-0.04321768072550185,11.488248890638351,1.9473180770874023
4096,0.012470003313501366,0.18232421875,17.396196603775024,2,0.000225,1000.0,-469.96196787557926,2,-0.04487276427971665,25.620149618387224,3.7400100231170654
6144,0.011012442919309251,0.156884765625,17.350263053178786,3,0.00015,1000.0,-310.06602592083914,2,-0.04564795272890478,15.132217860221862,5.602344274520874
8192,0.010133730157394893,0.146533203125,17.462114226818084,4,7.5e-05,1000.0,-281.56761176351677,2,-0.043297881149919705,14.692424276471138,7.334543228149414
