eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0252037115416897,0.072509765625,0.07626952975988388,0.074951171875,0.07680664211511612,0.07513427734375,17.60745628476143,1,0.0003,1000.0,-324.41246517249556,2,-0.02688260545837693,11.489837094396353,1.3847861289978027
,,4096,0.02244071855893708,0.06069336086511612,0.06499023735523224,0.06450195610523224,0.0625,0.06317138671875,17.47471529841423,2,0.0002,1000.0,-349.1196930292417,2,-0.02921907454438042,15.608562871813774,2.839901924133301
-258.0676427254719,32.6111313130349,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.911174058914185
nan,nan,6144,0.016520079346082638,0.03745117038488388,0.04082031175494194,0.04433593899011612,0.04287109524011612,0.04136962890625,17.38504726290703,3,0.0001,1000.0,-298.5913666931473,2,-0.0239251180406427,14.094367669522763,7.284895896911621
