eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.07287811244041223,0.37890625,0.40253907442092896,0.13237304985523224,0.10859374701976776,0.10493163764476776,0.09799804538488388,0.092041015625,0.09711913764476776,0.3834472596645355,0.36088865995407104,0.33305662870407104,0.3130859434604645,0.3023925721645355,0.2618652284145355,0.21469727158546448,0.159912109375,0.233990478515625,0.0534987582359463,1.4548067517578602,10.0,137.1368516921997,10,0.00029446721311475406,1000.0,-653.6765819137734,2,-0.04114316654740833,12.874967420846223,61.97828793525696
-598.7321016059848,1.6967863625098423,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.82928895950317
nan,nan,22528,0.08643062181690767,0.4739746153354645,0.4581054747104645,0.14702148735523224,0.13027343153953552,0.11909179389476776,0.10566405951976776,0.10053710639476776,0.09624023735523224,0.41972655057907104,0.3924316465854645,0.3760742247104645,0.3467773497104645,0.31572264432907104,0.2815918028354645,0.21401366591453552,0.17036132514476776,0.2592254638671875,0.05510914070764557,2.027432237751782,10.0,137.54289212226868,11,0.0002938524590163934,1000.0,-741.5531061122786,2,-0.043358908873051404,13.522399230673908,78.05319690704346
nan,nan,24576,0.0921111818684949,0.5462890863418579,0.4773925840854645,0.13193359971046448,0.11821289360523224,0.111572265625,0.09340820461511612,0.09311523288488388,0.08823242038488388,0.4270996153354645,0.4065918028354645,0.361572265625,0.3486328125,0.3213867247104645,0.26484376192092896,0.21225586533546448,0.16591796278953552,0.260528564453125,0.05541146986652166,2.5046379320323466,10.0,137.5403964996338,12,0.00029323770491803276,1000.0,-654.5832627196138,2,-0.04404671447700821,12.541501142084599,83.37134099006653
nan,nan,26624,0.09084663988032844,0.535107433795929,0.47509765625,0.15732422471046448,0.12841796875,0.10659179836511612,0.09038086235523224,0.07656250149011612,0.07744140923023224,0.4195800721645355,0.3956054747104645,0.39033204317092896,0.38056641817092896,0.33549803495407104,0.28095704317092896,0.22221679985523224,0.18217773735523224,0.2658660888671875,0.05344741071457974,2.549240303039551,10.0,137.8037159919739,13,0.0002926229508196721,1000.0,-572.8512768381452,2,-0.0421012258681003,12.155617799889296,88.7183620929718
nan,nan,28672,0.08449230532369256,0.475341796875,0.4319824278354645,0.16440430283546448,0.13920898735523224,0.11606445163488388,0.10600586235523224,0.10175780951976776,0.10332031548023224,0.40668946504592896,0.37353515625,0.3746581971645355,0.34541016817092896,0.32377928495407104,0.25371092557907104,0.21928711235523224,0.17519530653953552,0.25689697265625,0.054061035881750284,2.098793477937579,10.0,137.46673550605774,14,0.00029200819672131145,1000.0,-532.713210924139,2,-0.04413265528273769,12.49333651997149,93.8905577659607
nan,nan,30720,0.09597431611928187,0.4796386659145355,0.4452148377895355,0.15156249701976776,0.12138672173023224,0.11069335788488388,0.096923828125,0.085693359375,0.08984375,0.432861328125,0.393798828125,0.41728514432907104,0.369384765625,0.3412109315395355,0.30180662870407104,0.23823241889476776,0.19072265923023224,0.2666412353515625,0.05164540817495435,1.6992720918729902,10.0,137.87582654953002,15,0.0002913934426229508,1000.0,-707.1843605190479,2,-0.044079741049790754,18.280457931011917,99.29435586929321
-301.79629471145563,35.40470755330302,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.68058109283447
nan,nan,32768,0.07214284094916365,0.41059571504592896,0.39531248807907104,0.14453125,0.12338867038488388,0.09663085639476776,0.076904296875,0.07490234076976776,0.076171875,0.3753906190395355,0.3609863221645355,0.34404295682907104,0.3268066346645355,0.27778321504592896,0.2275390625,0.19960936903953552,0.15615233778953552,0.2291717529296875,0.05363125978037715,1.7228717911988496,10.0,137.22966437339784,16,0.00029077868852459015,1000.0,-686.6012601673268,2,-0.04098643725737929,18.02287821099162,116.38687682151794
nan,nan,34816,0.057588708138609945,0.36640626192092896,0.3375488221645355,0.11264648288488388,0.08701171725988388,0.08188476413488388,0.068115234375,0.05527343600988388,0.05458984524011612,0.31059569120407104,0.30839842557907104,0.272216796875,0.25678712129592896,0.22265625,0.18911132216453552,0.14956054091453552,0.13242188096046448,0.1878265380859375,0.052695226040668786,1.2232605643570422,10.0,137.11070494651796,17,0.00029016393442622945,1000.0,-517.1280601423722,2,-0.035927449475275354,24.082043930888176,121.66551899909973
