eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,49152,0.20754620143270586,0.4075683653354645,0.437255859375,0.422412109375,0.004790572569618234,0.013852644359576515,10.0,17.517733365297318,24,0.0002858606557377049,1000.0,-290.3026921171465,2,-0.09022285543032922,10.682266511768102,41.6452739238739
nan,nan,51200,0.1858177764370339,0.3788085877895355,0.41499024629592896,0.3968994140625,0.004615281525911996,0.013067121821222827,10.0,17.5025203704834,25,0.00028524590163934424,1000.0,-222.47119618854094,2,-0.09344158052535931,11.537273879349232,43.031166076660156
-102.25408156045809,52.073511616020376,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.12532997131348
nan,nan,53248,0.09994020833546528,0.2560058534145355,0.3017578125,0.2788818359375,0.00422199995155097,0.012443591773626394,10.0,17.313785284757614,26,0.0002846311475409836,1000.0,-246.8789228194976,2,-0.08930387200953191,13.895529796183109,46.545331954956055
nan,nan,55296,0.13824562766822054,0.323974609375,0.364013671875,0.343994140625,0.004100423587078694,0.011449506049393677,10.0,17.23884297013283,27,0.00028401639344262294,1000.0,-209.76430172112777,2,-0.09486873505429685,12.605839447677136,48.03884696960449
nan,nan,57344,0.14114984576299322,0.3221679627895355,0.3643554747104645,0.34326171875,0.0037413102443679238,0.010320053619216197,10.0,17.34128732085228,28,0.0002834016393442623,1000.0,-211.6541941669389,2,-0.09598928100558624,12.615961088240146,49.50576996803284
nan,nan,59392,0.21958507368544816,0.42133790254592896,0.44306641817092896,0.4322021484375,0.0043183650792343545,0.012391912535531447,10.0,17.513602542877198,29,0.00028278688524590163,1000.0,-291.1326183728312,2,-0.08496320364847634,10.835926835238933,50.93768620491028
nan,nan,61440,0.13656827187660384,0.31474608182907104,0.345947265625,0.3303466796875,0.00441508660587715,0.012553572974866256,10.0,17.274086385965347,30,0.00028217213114754093,1000.0,-289.58271443008505,2,-0.09322617120451468,11.837547504901886,52.38352608680725
-157.9577022938876,37.31360728430222,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.49656414985657
nan,nan,63488,0.18007875023176895,0.370361328125,0.39433592557907104,0.3823486328125,0.004197653263690882,0.01189009492227342,10.0,17.391057944297792,31,0.0002815573770491803,1000.0,-271.10275537702637,2,-0.08491701179336815,9.281251801550388,55.890005111694336
nan,nan,65536,0.18148131119960453,0.35791015625,0.409423828125,0.3836669921875,0.004144509430625476,0.01169994277152,10.0,17.375880140066148,32,0.0002809426229508196,1000.0,-359.6761577802581,2,-0.09873343099370686,10.008345533162355,57.336308002471924
nan,nan,67584,0.1114014914855943,0.28071290254592896,0.31157225370407104,0.296142578125,0.004081007276545279,0.011733349261339754,10.0,17.20917512178421,33,0.00028032786885245903,1000.0,-310.0752446542767,2,-0.09910597983798652,13.79799213707447,58.865225076675415
nan,nan,69632,0.14082248162885663,0.32958984375,0.3702636659145355,0.3499267578125,0.00405798786378,0.01161578194150934,10.0,17.284806895256043,34,0.0002797131147540983,1000.0,-296.5209872813797,2,-0.09763835318481143,12.030282031744719,60.260926961898804
nan,nan,71680,0.15350089200801448,0.3512206971645355,0.365234375,0.3582275390625,0.004407695073314244,0.012951743733719923,10.0,17.28461637496948,35,0.00027909836065573767,1000.0,-215.5716368816049,2,-0.09704276683332864,11.926082257926463,61.70636296272278
-68.63215760263832,34.831106733450014,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.80731916427612
nan,nan,73728,0.18086471226852155,0.37163084745407104,0.41240233182907104,0.3920166015625,0.003855971540178871,0.011131553987797815,10.0,17.384139370918273,36,0.000278483606557377,1000.0,-267.06691056916344,2,-0.09026513194930885,8.934646214544774,65.1807849407196
nan,nan,75776,0.13964380514808,0.31401365995407104,0.3631347715854645,0.33857421875,0.0036648364934080747,0.010730004403740168,10.0,17.31044071316719,37,0.00027786885245901637,1000.0,-250.27370126318215,2,-0.09302104023258835,14.844534108042717,66.70128798484802
nan,nan,77824,0.19964136273920302,0.3907714784145355,0.4295410215854645,0.41015625,0.0038931909315579106,0.010773327965580393,10.0,17.52053070664406,38,0.0002772540983606557,1000.0,-221.58347405230796,2,-0.10133177915513443,9.23739351183176,68.16853213310242
nan,nan,79872,0.2684797698020702,0.43110352754592896,0.4935058653354645,0.4623046875,0.004483200418326306,0.012792053764860612,10.0,17.546113127470015,39,0.00027663934426229507,1000.0,-269.20557495325625,2,-0.08349246195311935,8.116125648468733,69.70829701423645
nan,nan,81920,0.1869723718657042,0.36103516817092896,0.4168457090854645,0.3889404296875,0.004511595497024246,0.012930431854329072,10.0,17.3514406979084,40,0.0002760245901639344,1000.0,-271.8015128489079,2,-0.089381077926555,9.841924332827329,71.32734704017639
-138.6187087427627,62.04045807077967,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.52295517921448
nan,nan,83968,0.13944593588385032,0.32402342557907104,0.3721679747104645,0.348095703125,0.003756530249665957,0.010409362400241661,10.0,17.323130750656127,41,0.00027540983606557377,1000.0,-222.6947844318251,2,-0.10578624064755786,11.288635842502117,74.98115587234497
nan,nan,86016,0.23458252243726746,0.38872069120407104,0.43964844942092896,0.4141845703125,0.003674259573745076,0.009724521440512035,10.0,17.482274347543715,42,0.0002747950819672131,1000.0,-285.00350612940196,3,-0.09065214175284382,10.421613730490208,76.51393008232117
nan,nan,88064,0.18130329026753317,0.375,0.41474610567092896,0.394873046875,0.0038115150477096905,0.010149499526596628,10.0,17.375633823871613,43,0.0002741803278688524,1000.0,-214.1934857069952,2,-0.09744255709774734,9.968774342536927,78.15211081504822
nan,nan,90112,0.21406456140830415,0.3971191346645355,0.44526368379592896,0.42119140625,0.0042053459321323315,0.011909047768858727,10.0,17.383158373832703,44,0.00027356557377049176,1000.0,-242.52272991820843,2,-0.08776487576678846,8.771007570624352,79.59423279762268
-104.52691416137982,76.91722294092003,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.76013493537903
nan,nan,92160,0.131508329816279,0.3082031309604645,0.359375,0.3337890625,0.0036393014772329478,0.010467984189745039,10.0,17.321235036849977,45,0.0002729508196721311,1000.0,-215.52876170027963,2,-0.10131840892900072,13.195449949800969,83.20925903320312
nan,nan,94208,0.19138119586423272,0.3724121153354645,0.43994140625,0.4061767578125,0.003487727211904712,0.010080463989288546,10.0,17.41965380907059,46,0.00027233606557377046,1000.0,-221.1659415353904,2,-0.10268295291243704,8.945948971062899,84.60296607017517
nan,nan,96256,0.3574796047716518,0.4857421815395355,0.5618652105331421,0.5238037109375,0.00434421087265946,0.012133412368712015,10.0,17.71446735858917,47,0.0002717213114754098,1000.0,-242.8528670678312,2,-0.0693995183595689,5.778919452428818,86.07629203796387
nan,nan,98304,0.11612642487161792,0.27812498807907104,0.3419433534145355,0.3100341796875,0.004032179558998905,0.011744896293384955,10.0,17.261243844032286,48,0.00027110655737704915,1000.0,-275.3840982655748,2,-0.10212628726367257,15.086239898204804,87.49179816246033
nan,nan,100352,0.1556646338722203,0.3319335877895355,0.3885253965854645,0.3602294921875,0.003681573149515316,0.01076093820593087,10.0,17.38792068362236,49,0.0002704918032786885,1000.0,-293.64081840927224,2,-0.0979019257671098,10.27791657075286,89.00976204872131
-202.51026986784396,122.53865791719535,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,91.18280005455017
nan,nan,102400,0.13206431327853352,0.28857421875,0.37236326932907104,0.33046875,0.003459286958241137,0.00983005075249821,10.0,17.4245869576931,50,0.00026987704918032785,1000.0,-222.3978256588441,2,-0.10686997900993447,12.47447956353426,92.61978602409363
