eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
,,393216,0.0,0.0,17.431915429234504,0.863320531975478,12,0.00029323770491803276,1001.0,-305.60164955661185,32,4.340852935612202,3.453357808291912,7.428853988647461,7.428853988647461,7.428853988647461,7.428853988647461,370.6555299758911
,,425984,0.0,0.0,17.443398272991182,0.8665328490547836,13,0.0002926229508196721,1001.0,-296.29787571061297,32,4.3506154581904415,3.9168862383812666,6.599170684814453,6.599170684814453,6.599170684814453,6.599170684814453,399.2219259738922
,,458752,0.0,0.0,17.378849738836287,0.8625086026266218,14,0.00029200819672131145,1001.0,-310.18877109511266,32,4.323961732536555,3.951618171483278,6.898085594177246,6.898085594177246,6.898085594177246,6.898085594177246,427.02334690093994
,,491520,0.0,0.0,17.427216792106627,0.8742934961803257,15,0.0002913934426229508,1001.0,-306.0373914176374,32,4.338932465016842,4.224739261344075,6.788838863372803,6.788838863372803,6.788838863372803,6.788838863372803,453.25800013542175
,,524288,0.0,0.0,17.425357595086098,0.8658753008581698,16,0.00029077868852459015,1001.0,-280.8728681055795,32,4.34427801668644,3.485546489804983,7.056808948516846,7.056808948516846,7.056808948516846,7.056808948516846,478.95695519447327
,,557056,0.0,0.0,17.434210082888605,0.8661399529315531,17,0.00029016393442622945,1001.0,-280.5712612410309,32,4.344624514877796,3.2764523208141325,7.252061367034912,7.252061367034912,7.252061367034912,7.252061367034912,505.5342538356781
,,589824,0.0,0.0,17.450130006670953,0.8708054879680276,18,0.00028954918032786885,1001.0,-271.2156677531085,32,4.344047988951206,3.2652451545000076,7.065361976623535,7.065361976623535,7.065361976623535,7.065361976623535,531.6938540935516
,,622592,0.0,0.0,17.43825682103634,0.8727754008956253,19,0.0002889344262295082,1001.0,-254.91011551896548,32,4.3483280710875984,3.344873336330056,6.944423675537109,6.944423675537109,6.944423675537109,6.944423675537109,558.3064467906952
,,655360,0.0,0.0,17.44152954518795,0.8632628810591996,20,0.00028831967213114755,1001.0,-252.41490741776724,32,4.342949265986681,3.368019410222769,7.560327053070068,7.560327053070068,7.560327053070068,7.560327053070068,585.0423812866211
,,688128,0.0,0.0,17.441961708664895,0.8728958326391876,21,0.00028770491803278684,1001.0,-277.94602107644397,32,4.340875922888517,3.4829187907278536,6.721545696258545,6.721545696258545,6.721545696258545,6.721545696258545,611.5781509876251
,,720896,0.0,0.0,17.43686397075653,0.8557242206297815,22,0.0002870901639344262,1001.0,-249.42945668470375,48,4.32936442270875,3.646094119921327,7.625537395477295,7.625537395477295,7.625537395477295,7.625537395477295,642.5102970600128
,,753664,0.0,0.0,17.40220976471901,0.8683039788156748,23,0.00028647540983606554,1001.0,-253.9282144403431,32,4.327052953839302,3.3065977662801744,6.851686954498291,6.851686954498291,6.851686954498291,6.851686954498291,669.6141164302826
,,786432,0.0,0.0,17.430716136097907,0.8731468223035336,24,0.0002858606557377049,1001.0,-246.76513083019373,32,4.338709727674723,3.260798991099,6.972784996032715,6.972784996032715,6.972784996032715,6.972784996032715,697.3660023212433
,,819200,0.0,0.0,17.447089004516602,0.8729744748212397,25,0.00028524590163934424,1001.0,-250.45763789104183,32,4.338468032330274,3.444195510074496,6.637691497802734,6.637691497802734,6.637691497802734,6.637691497802734,725.4764454364777
,,851968,0.0,0.0,17.417958548665048,0.8568748381920159,26,0.0002846311475409836,1001.0,-252.50548398965825,32,4.329258801788091,3.3970888558775187,7.045642852783203,7.045642852783203,7.045642852783203,7.045642852783203,752.1173458099365
-203.7612907884585,23.889545809104906,851968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,794.540246963501
nan,nan,884736,0.0,0.0,17.439265167713167,0.8703384935855866,27,0.00028401639344262294,1001.0,-266.2954025599371,32,4.337565267086029,3.0990301560610534,7.044207572937012,7.044207572937012,7.044207572937012,7.044207572937012,821.6256532669067
nan,nan,917504,0.0,0.0,17.450397688150407,0.8724207622930408,28,0.0002834016393442623,1001.0,-260.8236003003626,32,4.345462911576033,2.919565243460238,7.327238082885742,7.327238082885742,7.327238082885742,7.327238082885742,848.089926481247
nan,nan,950272,0.0,0.0,17.407557889819145,0.8651751384139061,29,0.00028278688524590163,1001.0,-246.69859038078434,32,4.3382536612451075,3.634990090876818,6.52205228805542,6.52205228805542,6.52205228805542,6.52205228805542,874.2599968910217
-179.97156133813291,42.9382787870175,950272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,916.1218008995056
nan,nan,983040,0.0,0.0,17.458525490760803,0.864652240369469,30,0.00028217213114754093,1001.0,-238.3557664304957,32,4.345091941952705,3.4321627907454966,6.902533531188965,6.902533531188965,6.902533531188965,6.902533531188965,942.3292949199677
nan,nan,1015808,0.0,0.0,17.425685000419616,0.8568175333552063,31,0.0002815573770491803,1001.0,-254.41351163926538,32,4.3357461303472515,3.131429224833846,7.260197162628174,7.260197162628174,7.260197162628174,7.260197162628174,969.413471698761
nan,nan,1048576,0.0,0.0,17.439311051368712,0.8535197989083827,32,0.0002809426229508196,1001.0,-248.7050644926546,32,4.337487601488829,2.962013940140605,7.450035095214844,7.450035095214844,7.450035095214844,7.450035095214844,997.1129267215729
