eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_2,train/weight_step_3,wall_time
,,2048,0.006343307055067271,0.07402344048023224,0.07792969048023224,0.08061523735523224,0.085205078125,0.079443359375,34.176309406757355,1,0.0003,1000.0,-473.0056137991439,2,-0.014224439405370503,16.959866432845594,0.2453070729970932,0.24546624720096588,0.2555435597896576,0.2536831498146057,1.7401628494262695
,,4096,0.006752956896525575,0.07563476264476776,0.08222655951976776,0.091796875,0.09599609673023224,0.08641357421875,34.04744007587433,2,0.0002993852459016393,1000.0,-410.4507258436214,2,-0.018291114647581708,12.92891666740179,0.23686309158802032,0.24666810035705566,0.25738227367401123,0.25908657908439636,3.400564193725586
,,6144,0.007236596850998467,0.09526367485523224,0.09077148139476776,0.09707031399011612,0.09755859524011612,0.095166015625,34.00459725856781,3,0.00029877049180327867,1000.0,-436.72868645457487,2,-0.018529940363077913,20.047356745600702,0.23371988534927368,0.24508656561374664,0.26007628440856934,0.26111721992492676,5.032959938049316
,,8192,0.00881668149449979,0.10625000298023224,0.1171875,0.12446288764476776,0.1337890625,0.12042236328125,34.130625653266904,4,0.000298155737704918,1000.0,-417.1073325671524,2,-0.021882884309161455,15.58899342417717,0.22788262367248535,0.24281573295593262,0.26330071687698364,0.26600098609924316,6.611752033233643
,,10240,0.012835188850294799,0.160400390625,0.17626953125,0.18452148139476776,0.20478515326976776,0.181494140625,34.16500276327133,5,0.00029754098360655737,1000.0,-426.74498163446475,2,-0.028291195721249097,14.287317095696926,0.2152775228023529,0.2323087453842163,0.2634891867637634,0.28892460465431213,8.222903966903687
-269.78691021254,35.355671646725646,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.443962097167969
nan,nan,12288,0.011226576843182557,0.14443358778953552,0.14028319716453552,0.16293945908546448,0.17998047173023224,0.1569091796875,34.138090467453004,6,0.0002969262295081967,1000.0,-431.9635249782068,2,-0.027482850159867667,10.237956142425537,0.20543143153190613,0.22321273386478424,0.2629106938838959,0.30844515562057495,13.02734923362732
nan,nan,14336,0.011361654201027704,0.13632813096046448,0.158447265625,0.16459961235523224,0.17709961533546448,0.15911865234375,34.230133426189425,7,0.00029631147540983607,1000.0,-501.2419273149375,2,-0.02742127219971735,14.398009653389455,0.19646510481834412,0.21921749413013458,0.2655154764652252,0.3188019394874573,14.664377927780151
nan,nan,16384,0.009692291902319993,0.12587890028953552,0.12612304091453552,0.12617187201976776,0.15576171875,0.13348388671875,33.95433719158173,8,0.00029569672131147536,1000.0,-452.3042329170101,2,-0.025795645941980184,16.117240308225156,0.19143477082252502,0.21329016983509064,0.266675740480423,0.3285992443561554,16.287884950637817
nan,nan,18432,0.013112065860332223,0.16030272841453552,0.179443359375,0.18696288764476776,0.21230468153953552,0.18475341796875,34.11546541452408,9,0.0002950819672131147,1000.0,-416.9094905296655,2,-0.030845137091819196,12.56715567111969,0.18034672737121582,0.20388871431350708,0.2640610933303833,0.35170355439186096,17.900496006011963
nan,nan,20480,0.009675597055320395,0.11591796576976776,0.124755859375,0.134765625,0.15595702826976776,0.13284912109375,34.078979754447936,10,0.00029446721311475406,1000.0,-429.96980629064944,2,-0.026228599733440206,20.555850306153296,0.1745542734861374,0.19791901111602783,0.2647496163845062,0.36277705430984497,19.520573139190674
-217.8889992066907,43.826468050815464,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.928861141204834
nan,nan,22528,0.011606041209597606,0.13530273735523224,0.14013671875,0.163818359375,0.19086913764476776,0.15753173828125,34.027020037174225,11,0.0002938524590163934,1000.0,-380.30317380745134,2,-0.029726728856621774,16.932330505549906,0.16581739485263824,0.18908552825450897,0.2608949542045593,0.3842020630836487,24.594645023345947
nan,nan,24576,0.015801426160032862,0.18720702826976776,0.20307616889476776,0.21542969346046448,0.256591796875,0.215576171875,34.16024867296219,12,0.00029323770491803276,1000.0,-371.2968116149076,2,-0.034387098750448784,12.861707866191864,0.15183097124099731,0.1741296648979187,0.2556394338607788,0.41839995980262756,26.240550994873047
nan,nan,26624,0.01800650252189371,0.20478515326976776,0.22685547173023224,0.2490234375,0.274169921875,0.23870849609375,34.2172425031662,13,0.0002926229508196721,1000.0,-399.9594144004259,2,-0.03558332650572993,15.592277009785175,0.13825567066669464,0.15946395695209503,0.24402104318141937,0.45825934410095215,27.913065195083618
nan,nan,28672,0.012762780101184035,0.15346679091453552,0.15908202528953552,0.17890624701976776,0.21772460639476776,0.177294921875,34.069457268714906,14,0.00029200819672131145,1000.0,-323.02467124770544,2,-0.03077287985070143,19.85739901959896,0.13190442323684692,0.15181466937065125,0.23498959839344025,0.4812912344932556,29.584763050079346
nan,nan,30720,0.024461835703550604,0.2523437440395355,0.2752441465854645,0.30864256620407104,0.35107421875,0.296826171875,34.197653794288634,15,0.0002913934426229508,1000.0,-356.757532485316,2,-0.03931719452666584,10.247778335958719,0.11419882625341415,0.13019102811813354,0.20727013051509857,0.5483399629592896,31.240238904953003
-238.83955743402538,65.47331504526244,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.656229972839355
nan,nan,32768,0.020757911406690255,0.21967773139476776,0.24179688096046448,0.25629884004592896,0.3241210877895355,0.2604736328125,34.02588843107223,16,0.00029077868852459015,1000.0,-401.46772622477283,2,-0.039186428373795934,12.073728239536285,0.10346110165119171,0.11659470945596695,0.18756696581840515,0.5923771858215332,36.36293005943298
nan,nan,34816,0.012297782120731427,0.127685546875,0.14687499403953552,0.16777344048023224,0.236572265625,0.1697265625,34.08790098428726,17,0.00029016393442622945,1000.0,-393.44515470851786,2,-0.03845817822875688,21.35574373304844,0.09854389727115631,0.11126558482646942,0.17794783413410187,0.6122426986694336,38.00889801979065
nan,nan,36864,0.017342695502156856,0.17412109673023224,0.20561523735523224,0.22832031548023224,0.2955566346645355,0.2259033203125,34.32150622606277,18,0.00028954918032786885,1000.0,-363.3598196839804,2,-0.04178347382694483,15.636538706719875,0.09112163633108139,0.10299310833215714,0.16420277953147888,0.6416824460029602,39.67260718345642
nan,nan,38912,0.031687484561552993,0.2808593809604645,0.31342774629592896,0.3443359434604645,0.4292968809604645,0.34197998046875,34.23511471748352,19,0.0002889344262295082,1000.0,-295.062939548637,2,-0.046226698087411935,8.945128402113914,0.07467522472143173,0.08544737100601196,0.13356450200080872,0.7063128352165222,41.38132119178772
nan,nan,40960,0.015884809828276048,0.16328124701976776,0.18500976264476776,0.21674804389476776,0.2913574278354645,0.21409912109375,34.160321390628816,20,0.00028831967213114755,1000.0,-270.8697544518309,2,-0.043219160914304666,15.662562315165996,0.070193350315094,0.0801946222782135,0.12509898841381073,0.724513053894043,43.09121918678284
