eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.02494965131772915,0.06733398139476776,0.078125,0.07753906399011612,0.08134765923023224,0.07608642578125,17.159695625305176,0.4565603706985712,1,0.0003,18.916666666666668,14.039258754853405,108,-0.16732650733320042,10.684114421904088,6.573608875274658
,,4096,0.02236185795845813,0.0517578125,0.05595703050494194,0.06474609673023224,0.07563476264476776,0.06202392578125,17.08264941573143,0.4937454486265779,2,0.00023999999999999998,24.70731707317073,31.3834372296489,82,-0.17235961809637956,55.37907080650329,12.998933792114258
41.60793635900383,2.461420658621688,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.209237813949585
nan,nan,6144,0.028767130531196016,0.06479492038488388,0.08071289211511612,0.10356445610523224,0.10703124850988388,0.08902587890625,17.03726903796196,0.4636530368588865,3,0.00017999999999999998,30.043478260869566,47.28798944161954,69,-0.22519425894133746,49.716879579424855,19.138039588928223
nan,nan,8192,0.03286273782869102,0.07436523586511612,0.08662109076976776,0.10400390625,0.13764648139476776,0.1006591796875,17.22400540113449,0.4631038913503289,4,0.00011999999999999999,27.86111111111111,44.702169665354596,72,-0.22524511872907169,23.877164497971535,24.740827798843384
40.59485261736518,2.4210733512861236,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.85666275024414
nan,nan,10240,0.010724658921390073,0.02446288987994194,0.01972656324505806,0.02436523512005806,0.02470703050494194,0.0233154296875,17.0361250936985,0.5065490459091961,5,5.999999999999998e-05,31.119402985074625,53.06487247015419,67,-0.07352095292299055,24.445781165361403,31.73192071914673
