eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.4300958920881385,0.24257811903953552,0.23408202826976776,0.18208007514476776,0.18759766221046448,0.19619140028953552,0.19155272841453552,0.19614258408546448,0.19423827528953552,0.21992187201976776,0.20297852158546448,0.19565430283546448,0.189453125,0.18686524033546448,0.18833008408546448,0.19023437798023224,0.19208984076976776,0.1993743896484375,144.11587724685668,10,0.00029446721311475406,1000.0,-496.2441243944644,2,0.003599609318189323,16.97628150433302,53.06702709197998
-227.38832320675616,87.85493732373817,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.18860602378845
nan,nan,22528,1.011056638420996,0.24677734076976776,0.241943359375,0.22714844346046448,0.23232421278953552,0.23271484673023224,0.239013671875,0.23994140326976776,0.23930664360523224,0.23261718451976776,0.22255858778953552,0.22006836533546448,0.21333007514476776,0.22114257514476776,0.22255858778953552,0.22578124701976776,0.227294921875,0.2302825927734375,156.78477721214296,11,0.0002938524590163934,1000.0,-452.97353656579673,2,0.0032223459042143078,18.619293519854544,68.39114499092102
nan,nan,24576,2.407449328463554,0.25190430879592896,0.2515625059604645,0.22836914658546448,0.22451171278953552,0.228515625,0.23491211235523224,0.22944335639476776,0.2353515625,0.24335937201976776,0.24086913466453552,0.23208007216453552,0.22968749701976776,0.23295898735523224,0.233154296875,0.22846679389476776,0.22968749701976776,0.2346771240234375,278.27867169380187,12,0.00029323770491803276,1000.0,-477.11075994961715,2,0.00849457409203751,13.522990369796753,72.541011095047
nan,nan,26624,0.026842683319409845,0.11147461086511612,0.10097656399011612,0.04052734375,0.04228515550494194,0.04814453050494194,0.05615234375,0.05537109449505806,0.05849609524011612,0.08847656100988388,0.07275390625,0.06528320163488388,0.05512695387005806,0.05209960788488388,0.04560546949505806,0.04628906399011612,0.04335937649011612,0.0614013671875,136.3470827102661,13,0.0002926229508196721,1000.0,-593.5787291510311,2,-0.0031428323971340434,19.136388370394705,76.78052401542664
nan,nan,28672,0.021402455790666863,0.10048828274011612,0.0869140625,0.0380859375,0.04536132887005806,0.04926757887005806,0.04951171949505806,0.05678711086511612,0.058837890625,0.06791992485523224,0.05649413913488388,0.04951171949505806,0.04038085788488388,0.04243164137005806,0.04189453274011612,0.03569335862994194,0.04501952975988388,0.0540374755859375,136.62225904464722,14,0.00029200819672131145,1000.0,-415.8829420285115,2,-0.004095748529653065,20.704056027531625,81.09689116477966
nan,nan,30720,0.016486630898907607,0.07924804836511612,0.0673828125,0.024169921875,0.02626953087747097,0.02910156175494194,0.03193359449505806,0.03305663913488388,0.03935546800494194,0.0595703125,0.04741210862994194,0.03994140774011612,0.026123046875,0.02587890625,0.02177734300494194,0.02822265587747097,0.02602539025247097,0.037841796875,136.11425385475158,15,0.0002913934426229508,1000.0,-404.5791155398051,2,-0.0025587899202946574,15.13832425326109,85.47096705436707
484.8663042491391,62.52172032280895,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.99904203414917
nan,nan,32768,3.0292352363314423,0.33881837129592896,0.3394531309604645,0.32573240995407104,0.32866209745407104,0.3287597596645355,0.33613282442092896,0.3406738340854645,0.34355467557907104,0.336181640625,0.3302246034145355,0.3312011659145355,0.326904296875,0.32905274629592896,0.33256834745407104,0.33281248807907104,0.33564454317092896,0.3335235595703125,277.815137386322,16,0.00029077868852459015,1000.0,-539.22742539185,2,0.006103624138631858,23.876802125573157,101.4465811252594
nan,nan,34816,0.02265688206825871,0.09296874701976776,0.07841797173023224,0.04023437574505806,0.03867187350988388,0.03598632663488388,0.04038085788488388,0.03486328199505806,0.03310547024011612,0.07460937649011612,0.06572265923023224,0.06000976637005806,0.05673827975988388,0.05581054836511612,0.04658203199505806,0.04379882663488388,0.04399413987994194,0.052618408203125,136.90773153305054,17,0.00029016393442622945,1000.0,-389.4059857221042,2,-0.005383070447714999,20.993242767453193,105.65793895721436
