eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,22528,0.09767201833055879,0.49541014432907104,0.48359376192092896,0.11357422173023224,0.101806640625,0.08720703423023224,0.06044922024011612,0.05332031100988388,0.05136718600988388,0.44975584745407104,0.4090820252895355,0.3919433653354645,0.3541503846645355,0.30791014432907104,0.2501464784145355,0.194091796875,0.14726562798023224,0.246942138671875,0.055236105510266496,1.1750360619276763,10.0,69.88069336414337,11,0.0002938524590163934,7.416666666666667,2.7040306041837723,276,-0.04034036691300571,0.028654338917112908,63.55574107170105
nan,nan,24576,0.07264483916223981,0.45751953125,0.41132813692092896,0.11381836235523224,0.08579101413488388,0.07797851413488388,0.06782226264476776,0.06362304836511612,0.0595703125,0.41230469942092896,0.3655761778354645,0.3291992247104645,0.296630859375,0.2701660096645355,0.20405273139476776,0.15458984673023224,0.12827149033546448,0.21864013671875,0.053819957550149414,1.1456644920632244,10.0,69.41277258396148,12,0.00029323770491803276,7.221830985915493,2.677663581477836,284,-0.0379211617866531,0.013426917775359471,69.81247305870056
nan,nan,26624,0.06320797899716127,0.47636717557907104,0.4408203065395355,0.07646484673023224,0.06435547024011612,0.05908203125,0.04931640625,0.04829101637005806,0.05488281324505806,0.3697753846645355,0.3113769590854645,0.28515625,0.22802734375,0.19306640326976776,0.16030272841453552,0.11943359673023224,0.09628906100988388,0.18956298828125,0.05405229079769924,1.1161750653758644,10.0,69.03587090969086,13,0.0002926229508196721,7.193661971830986,2.393726496953382,284,-0.027994279679842294,0.045577337231952696,76.2403519153595
nan,nan,28672,0.05894724134359421,0.43022459745407104,0.4024902284145355,0.06752929836511612,0.062744140625,0.06997070461511612,0.06035156175494194,0.04921875149011612,0.05576171725988388,0.3568359315395355,0.3206543028354645,0.27275389432907104,0.23959961533546448,0.192626953125,0.16445311903953552,0.12119140475988388,0.08857421576976776,0.184686279296875,0.05316170029109344,1.038700272887945,10.0,68.96868109703064,14,0.00029200819672131145,6.546325878594249,1.5471252758491547,313,-0.025531276257243007,0.06270013556350022,82.7711751461029
nan,nan,30720,0.0744017332299336,0.4642089903354645,0.41508787870407104,0.12939453125,0.11943359673023224,0.10556640475988388,0.09580077975988388,0.07954101264476776,0.085205078125,0.3812011778354645,0.3399902284145355,0.301025390625,0.290283203125,0.24716797471046448,0.20708008110523224,0.17861327528953552,0.16328124701976776,0.2251800537109375,0.05587435836205259,1.0448672438040376,10.0,69.28385217189789,15,0.0002913934426229508,6.080118694362018,0.8541861169628259,337,-0.04051032605348155,0.01961887896468397,89.27927684783936
0.8045383874556844,0.07155110494862665,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89.36097598075867
nan,nan,32768,0.06952238116882654,0.4381347596645355,0.43828123807907104,0.09833984076976776,0.09506835788488388,0.07441405951976776,0.06362304836511612,0.052490234375,0.05209960788488388,0.37226563692092896,0.33808594942092896,0.30463868379592896,0.2841796875,0.2708496153354645,0.21474608778953552,0.16162109375,0.13369140028953552,0.2120330810546875,0.05330671875854023,1.1546572927385568,10.0,69.10488173961639,16,0.00029077868852459015,6.026470588235294,0.7764856523886201,340,-0.03685094206011854,0.006088962670764886,95.81678819656372
nan,nan,34816,0.07773941650902998,0.520947277545929,0.4268554747104645,0.12148437649011612,0.10004882514476776,0.07470703125,0.06162109225988388,0.04892577975988388,0.05498046800494194,0.3777832090854645,0.35688477754592896,0.3453125059604645,0.3231445252895355,0.2850585877895355,0.23735351860523224,0.18046875298023224,0.15419921278953552,0.2293609619140625,0.05464549883035943,1.3198802821338176,10.0,69.46392874717712,17,0.00029016393442622945,6.053254437869822,0.7672605025871678,338,-0.04110825143288821,0.007029062355286442,101.9427809715271
nan,nan,36864,0.07351371061013197,0.46577149629592896,0.4583984315395355,0.12685546278953552,0.09223632514476776,0.07080078125,0.06083984300494194,0.05434570461511612,0.05097656324505806,0.400390625,0.3666015565395355,0.3182617127895355,0.3035644590854645,0.27973634004592896,0.23027344048023224,0.19687500596046448,0.15424804389476776,0.226885986328125,0.054969973827246575,1.257454264163971,10.0,69.22937715053558,18,0.00028954918032786885,6.0175953079178885,0.7696162477164473,341,-0.0405007329012733,0.004209827455269988,107.96970987319946
nan,nan,38912,0.07216460667605133,0.4239257872104645,0.40605467557907104,0.15200194716453552,0.12431640923023224,0.09711913764476776,0.07553710788488388,0.06635741889476776,0.05449218675494194,0.37065428495407104,0.3580566346645355,0.33466798067092896,0.30205076932907104,0.2876953184604645,0.2530273497104645,0.21503905951976776,0.197998046875,0.2324371337890625,0.053246798168402165,1.2876408740878105,10.0,69.36108326911926,19,0.0002889344262295082,6.0,0.7968014970767471,341,-0.04695631252252497,0.0048161809627345065,113.97130608558655
nan,nan,40960,0.09376419939435436,0.481201171875,0.4647460877895355,0.174560546875,0.150390625,0.12250976264476776,0.09775390475988388,0.09355469048023224,0.07783202826976776,0.42011719942092896,0.3895019590854645,0.36982423067092896,0.36088865995407104,0.31464844942092896,0.28837889432907104,0.251953125,0.20278319716453552,0.266290283203125,0.055523349216673526,1.140119258314371,10.0,69.68946352005005,20,0.00028831967213114755,6.0,1.337095101762779,341,-0.05944370400393382,0.02212560635234695,119.98209404945374
2.1545798002638845,0.013808829092148324,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120.0576319694519
nan,nan,43008,0.10305996280349064,0.4931640625,0.46333009004592896,0.16928711533546448,0.13344725966453552,0.10336913913488388,0.08608398586511612,0.068603515625,0.06484375149011612,0.42060548067092896,0.4087890684604645,0.39433592557907104,0.37358397245407104,0.3251953125,0.29887694120407104,0.239990234375,0.21049804985523224,0.265875244140625,0.05458358186297119,1.0628584703430533,10.0,69.87270097732544,21,0.00028770491803278684,6.0,2.0210134119429064,342,-0.0476787150837481,0.006314771224424476,126.07752418518066
nan,nan,45056,0.2546258420656159,0.624316394329071,0.5624023675918579,0.17402343451976776,0.13320311903953552,0.09047851711511612,0.06772460788488388,0.04970703274011612,0.039306640625,0.505126953125,0.4691406190395355,0.44111329317092896,0.4190429747104645,0.3744140565395355,0.3271484375,0.27641600370407104,0.22622069716453552,0.298736572265625,0.0532104124315083,1.0683964239433408,10.0,72.290704870224,22,0.0002870901639344262,6.0,2.140232004297326,341,-0.04914340336690657,0.0007288918538051803,132.11793184280396
