eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.00720417911925324,0.0071777342818677425,0.00732421875,0.011279297061264515,0.01318359375,0.01606445387005806,0.01821289025247097,0.01582031324505806,0.014599609188735485,0.006884765811264515,0.00795898400247097,0.00795898400247097,0.00961914099752903,0.01035156287252903,0.01162109337747097,0.01108398474752903,0.011181640438735485,0.0112701416015625,136.2255663394928,0.4842238640412688,1,0.0003,1000.0,-517.4799387478414,2,-0.005183308066443714,29.502526941895486,5.023175954818726
,,4096,0.013424213211874304,0.021240234375,0.02187499962747097,0.02841796912252903,0.02753906324505806,0.03510742262005806,0.03745117038488388,0.037841796875,0.03403320163488388,0.02309570275247097,0.02089843712747097,0.02119140699505806,0.02099609375,0.02719726599752903,0.02788085862994194,0.02778320387005806,0.03056640550494194,0.0276947021484375,136.62019867897033,0.3981116148177534,2,0.0002993852459016393,1000.0,-562.5998930317196,2,-0.03242778671556153,11.64112746566534,10.010743141174316
,,6144,0.013490815084878705,0.02666015550494194,0.02358398400247097,0.02846679650247097,0.03359375149011612,0.02944335900247097,0.02993164025247097,0.03330077975988388,0.03217773512005806,0.022705078125,0.02348632737994194,0.02143554762005806,0.02421874925494194,0.028076171875,0.029052734375,0.03037109412252903,0.02641601487994194,0.0276824951171875,136.55187640190124,0.41380028589628637,3,0.00029877049180327867,1000.0,-472.4900518933052,2,-0.020110359070531558,9.83341726064682,15.00847601890564
,,8192,0.01238321199962229,0.01801757887005806,0.02104492112994194,0.02412109449505806,0.02773437462747097,0.02729492262005806,0.03164062649011612,0.03217773512005806,0.02949218824505806,0.015576171688735485,0.01528320275247097,0.01840820349752903,0.01884765550494194,0.02387695387005806,0.02475585974752903,0.02622070349752903,0.02675781212747097,0.023828125,136.20844693183898,0.4556864466983825,4,0.000298155737704918,1000.0,-513.0887935016171,2,-0.007154607024858706,12.614450089633465,20.05254817008972
,,10240,0.013869512172641407,0.02778320387005806,0.02446288987994194,0.03178710862994194,0.02890625037252903,0.03496093675494194,0.03476562350988388,0.03544921800494194,0.03623046725988388,0.02485351637005806,0.02436523512005806,0.02700195275247097,0.02846679650247097,0.02607421949505806,0.03398437425494194,0.03061523474752903,0.02773437462747097,0.029840087890625,136.2040997505188,0.43589082662947476,5,0.00029754098360655737,1000.0,-518.410623616041,2,-0.020147801883285864,11.771698734164238,25.057262182235718
-469.11274918135393,48.69888492502962,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.34089136123657
nan,nan,12288,0.015097914245598077,0.02963867224752903,0.03120117262005806,0.034423828125,0.03959960862994194,0.037353515625,0.038818359375,0.04213867336511612,0.03774414211511612,0.02861328050494194,0.02919921837747097,0.03125,0.03520507737994194,0.03242187574505806,0.04228515550494194,0.03125,0.03544921800494194,0.0347869873046875,136.54372158050538,0.4516189966350794,6,0.0002969262295081967,1000.0,-561.6979938225486,2,-0.009870138863334432,15.247541300952435,40.36308813095093
nan,nan,14336,0.013684024884969403,0.028076171875,0.0263671875,0.02924804762005806,0.02963867224752903,0.0322265625,0.034912109375,0.02944335900247097,0.033203125,0.025634765625,0.02817382849752903,0.02592773362994194,0.02460937574505806,0.02680664137005806,0.0341796875,0.03032226487994194,0.03090820275247097,0.0293548583984375,136.19199171066285,0.4177615809254348,7,0.00029631147540983607,1000.0,-540.0923727447869,2,-0.006916993885533884,18.52360037267208,45.395724058151245
nan,nan,16384,0.015220682549625053,0.026123046875,0.02783203125,0.03798828274011612,0.03701172024011612,0.03994140774011612,0.04277343675494194,0.0458984375,0.04238281399011612,0.029296875,0.03095703199505806,0.02792968787252903,0.03056640550494194,0.03139648586511612,0.03701172024011612,0.03857421875,0.03715820237994194,0.0351776123046875,136.5538049697876,0.4860260946210474,8,0.00029569672131147536,1000.0,-539.514163527407,2,0.013425378654210363,18.472727915644647,50.42492318153381
nan,nan,18432,0.01653917245257617,0.031005859375,0.03779296949505806,0.04155273362994194,0.039306640625,0.04379882663488388,0.04716796800494194,0.046142578125,0.04692382737994194,0.03427734225988388,0.03217773512005806,0.03457031399011612,0.03520507737994194,0.03945312649011612,0.04291992262005806,0.040283203125,0.04038085788488388,0.0395599365234375,136.31514835357666,0.4458892758470029,9,0.0002950819672131147,1000.0,-532.6933248546003,2,-0.017524236062308775,14.719225357472897,55.445521116256714
nan,nan,20480,0.011565356169739971,0.01699218712747097,0.01953125,0.02167968824505806,0.02451171912252903,0.02783203125,0.02436523512005806,0.02822265587747097,0.02495117112994194,0.01992187462747097,0.01850586012005806,0.01665038987994194,0.02133789099752903,0.02084960974752903,0.02436523512005806,0.02299804612994194,0.02099609375,0.02210693359375,136.04921016693115,0.45119767198339106,10,0.00029446721311475406,1000.0,-447.25792701836565,2,0.006175102779525332,27.07697876393795,60.44651222229004
-454.81920217626003,39.91067671432163,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.78156018257141
