eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.1994620552941342,0.4263671934604645,0.43706053495407104,0.4317138671875,17.39018770456314,10,0.00029446721311475406,1000.0,-280.66522294462766,2,-0.05402311564248521,7.438520792126655,14.868292093276978
-178.6130400975434,41.53290654333098,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.183482885360718
nan,nan,22528,0.0827633927736315,0.2518066465854645,0.2511230409145355,0.25146484375,17.21685403585434,11,0.0002938524590163934,1000.0,-268.8658822666535,2,-0.05844272966351127,12.386225837469102,18.41551375389099
nan,nan,24576,0.10096334707777714,0.27934569120407104,0.2887206971645355,0.284033203125,17.119876754283904,12,0.00029323770491803276,1000.0,-325.38125388826404,2,-0.06606210118043236,11.28689135760069,19.601635932922363
nan,nan,26624,0.08480535344424425,0.25190430879592896,0.24423828721046448,0.2480712890625,17.175993025302887,13,0.0002926229508196721,1000.0,-323.90638056429765,2,-0.06582156347576529,16.21860340386629,20.813822984695435
nan,nan,28672,0.08251897404552437,0.23701171576976776,0.24306640028953552,0.2400390625,17.173057693243027,14,0.00029200819672131145,1000.0,-394.8407939099346,2,-0.0700917636451777,16.295370954275132,22.04614281654358
nan,nan,30720,0.20401754434424219,0.41547852754592896,0.42919921875,0.4223388671875,17.443879121541976,15,0.0002913934426229508,1000.0,-249.73081905364964,2,-0.06058313543908298,8.68673329502344,23.660987854003906
-206.07244840831626,42.34654135720974,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.447097063064575
nan,nan,32768,0.06982297636859584,0.21157225966453552,0.21982422471046448,0.2156982421875,17.165546864271164,16,0.00029077868852459015,1000.0,-252.18729979415383,2,-0.06150276176340412,18.493159621953964,27.97340989112854
nan,nan,34816,0.231214644179272,0.4524902403354645,0.46137696504592896,0.45693359375,17.51262750029564,17,0.00029016393442622945,1000.0,-236.75966915698535,2,-0.06481687191408128,7.303436432033777,29.58138084411621
nan,nan,36864,0.08815121899242513,0.2596679627895355,0.27250975370407104,0.2660888671875,17.22782107591629,18,0.00028954918032786885,1000.0,-199.4847751589173,2,-0.07132739679072983,12.082904940843582,30.800825834274292
nan,nan,38912,0.2773690547517617,0.47221678495407104,0.47734373807907104,0.4747802734375,17.457812535762788,19,0.0002889344262295082,1000.0,-197.83869159539725,2,-0.060537164214474616,6.935545866191387,32.00705575942993
nan,nan,40960,0.13640697636001278,0.3382812440395355,0.3458007872104645,0.342041015625,17.36171687245369,20,0.00028831967213114755,1000.0,-305.5390503311529,2,-0.06964336830715183,7.337867460399866,33.257367849349976
-158.03926045478,28.50103013812439,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.43203091621399
nan,nan,43008,0.059163475834066045,0.18608398735523224,0.18417969346046448,0.1851318359375,17.176132786273957,21,0.00028770491803278684,1000.0,-286.93513829297035,3,-0.06378658458997961,20.5153980076313,36.98743987083435
nan,nan,45056,0.09348572375893127,0.26025390625,0.281494140625,0.2708740234375,17.23209243416786,22,0.0002870901639344262,1000.0,-261.7874899532021,2,-0.07584019931673538,11.797683988511562,38.27245879173279
