eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.04691842105894466,0.19731445610523224,0.19155272841453552,0.17470702528953552,0.15595702826976776,0.14316406846046448,0.12841796875,0.12822265923023224,0.12075195461511612,0.155010986328125,0.02214327142573893,0.26091209445148705,10.0,68.69722435474395,10,0.00029446721311475406,1000.0,-454.64738373755733,2,-0.03134519437007839,18.330791398882866,36.563148975372314
-178.72890093748669,158.17998415076516,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.56227707862854
nan,nan,22528,0.057651629831889296,0.22783203423023224,0.22080078721046448,0.20634765923023224,0.17900390923023224,0.16259765625,0.16542968153953552,0.169189453125,0.17626953125,0.188433837890625,0.022985827704542317,0.2774747451301664,10.0,68.64535140991211,11,0.0002938524590163934,1000.0,-481.4493385622459,2,-0.03467260555917164,13.581168308854103,45.69555592536926
nan,nan,24576,0.04022323401077301,0.16328124701976776,0.15585938096046448,0.14580078423023224,0.13779297471046448,0.12778320908546448,0.109130859375,0.10478515923023224,0.10981445014476776,0.131781005859375,0.02080981889157556,0.24140365431085228,10.0,68.38596193790436,12,0.00029323770491803276,1000.0,-399.56289554503996,2,-0.02938676578050945,20.742132517695428,48.90691590309143
nan,nan,26624,0.04014901229165844,0.161865234375,0.15263672173023224,0.14384765923023224,0.13559570908546448,0.12548828125,0.12568359076976776,0.11430664360523224,0.11083984375,0.133782958984375,0.020449079654645173,0.22888006679713727,10.0,68.44542303085328,13,0.0002926229508196721,1000.0,-352.1915948325675,2,-0.03183383704308653,21.73432995826006,52.12101697921753
nan,nan,28672,0.047294240415067176,0.16401366889476776,0.16616210341453552,0.15625,0.147705078125,0.13950195908546448,0.14345702528953552,0.15083007514476776,0.15346679091453552,0.15267333984375,0.016583827609429135,0.18747774662915617,10.0,68.42173511981964,14,0.00029200819672131145,1000.0,-592.4738831205759,2,-0.03329321487617563,10.78359500616789,55.24646997451782
nan,nan,30720,0.03770910623716191,0.1474609375,0.14584961533546448,0.13442382216453552,0.11625976860523224,0.12187500298023224,0.11503906548023224,0.10258789360523224,0.11069335788488388,0.124273681640625,0.01966410226887092,0.20978535213507712,10.0,68.59456939697266,15,0.0002913934426229508,1000.0,-638.557638062914,2,-0.029461341866408475,19.217590709030627,58.500670194625854
-440.141961234856,144.38760536331182,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.55324983596802
nan,nan,32768,0.035467034997418524,0.13525390625,0.12294922024011612,0.11552734673023224,0.10380859673023224,0.1025390625,0.11093749850988388,0.09804687649011612,0.10654296725988388,0.11195068359375,0.018096188417985104,0.18024711492471396,10.0,68.41142354011535,16,0.00029077868852459015,1000.0,-292.2444366138242,2,-0.029796163909486494,24.958463606238364,67.8340699672699
nan,nan,34816,0.04188941499924113,0.15288086235523224,0.131103515625,0.13535156846046448,0.14277343451976776,0.13710936903953552,0.13623046875,0.12641601264476776,0.13432617485523224,0.13702392578125,0.01477952747954987,0.16127637033350767,10.0,68.49190766811371,17,0.00029016393442622945,1000.0,-606.7951408455577,2,-0.03478159050209797,20.502218240499495,71.3096079826355
nan,nan,36864,0.0389467363289441,0.16948242485523224,0.16103515028953552,0.14228515326976776,0.12109375,0.11210937798023224,0.104248046875,0.099609375,0.09370116889476776,0.125445556640625,0.017375286162132398,0.20841292140539736,10.0,68.47831752300263,18,0.00028954918032786885,1000.0,-539.7377156371806,2,-0.02926213981845649,25.596283850073814,74.54071593284607
nan,nan,38912,0.0431931045557576,0.17314453423023224,0.16435547173023224,0.14409179985523224,0.12978515028953552,0.13408203423023224,0.12871094048023224,0.13334961235523224,0.12407226860523224,0.141448974609375,0.017501972190802916,0.2060090207029134,10.0,68.61516292095185,19,0.0002889344262295082,1000.0,-434.180315141116,2,-0.028672307460510638,25.111502823233604,77.9659218788147
nan,nan,40960,0.06396567795745796,0.248291015625,0.22084960341453552,0.204833984375,0.18984374403953552,0.19379882514476776,0.18710938096046448,0.18251952528953552,0.193115234375,0.202545166015625,0.01907244125031866,0.23475734861567615,10.0,68.58044641017914,20,0.00028831967213114755,1000.0,-331.0482154911767,2,-0.03539649600133998,12.994651880860328,81.29954814910889
-548.6805684675006,7.145289376326957,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.50880980491638
nan,nan,43008,0.07050092619610951,0.2833007872104645,0.2728027403354645,0.24497070908546448,0.20703125,0.19062499701976776,0.19755859673023224,0.1962890625,0.19760742783546448,0.223773193359375,0.023463039379566907,0.3799009658396244,10.0,68.61725034713746,21,0.00028770491803278684,1000.0,-494.61480223660664,3,-0.029412316622619984,18.219643174111845,90.74207305908203
nan,nan,45056,0.05287893944296229,0.22807617485523224,0.21176758408546448,0.19155272841453552,0.17485351860523224,0.146728515625,0.13320311903953552,0.14414063096046448,0.15297850966453552,0.17291259765625,0.02227488055941649,0.2840233685448766,10.0,68.44506826400757,22,0.0002870901639344262,1000.0,-442.96170455428785,2,-0.030708250417956152,18.09010053128004,94.03454613685608
nan,nan,47104,0.059717072912098955,0.26225584745407104,0.24570313096046448,0.20673827826976776,0.19003906846046448,0.17543944716453552,0.175537109375,0.169921875,0.175048828125,0.20008544921875,0.024876864650286733,0.3359115736093372,10.0,68.73815138339997,23,0.00028647540983606554,1000.0,-408.5278192140161,2,-0.02629879888118012,11.009285811334848,97.39085412025452
nan,nan,49152,0.04666112136656011,0.18862304091453552,0.17836913466453552,0.16030272841453552,0.15673828125,0.142333984375,0.13999024033546448,0.13828125596046448,0.13657227158546448,0.1551513671875,0.022368607652606443,0.2465733176562935,10.0,68.53837738037109,24,0.0002858606557377049,1000.0,-259.5099559669955,2,-0.029613254443393088,12.474180430173874,100.6702618598938
nan,nan,51200,0.058334585516422524,0.282470703125,0.24702148139476776,0.21240234375,0.1767578125,0.159423828125,0.15219727158546448,0.16030272841453552,0.15581054985523224,0.19329833984375,0.023942505952436476,0.3030992810148746,10.0,68.6475635766983,25,0.00028524590163934424,1000.0,-385.63550667241776,2,-0.02755154632613994,12.793306900560856,104.08120894432068
