eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.03815330713259755,0.11689452826976776,0.120849609375,0.12416992336511612,0.11806640774011612,0.1199951171875,0.009623130664112977,0.05817617918364704,10.0,34.17895649671554,10,0.00029446721311475406,1000.0,-345.5610796960332,2,-0.03997881315372069,20.717735823988914,23.223877906799316
-191.12106299631256,35.61311539985622,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.645243883132935
nan,nan,22528,0.059013296599732715,0.18051758408546448,0.18549804389476776,0.18808594346046448,0.195068359375,0.18729248046875,0.007000386137224268,0.042650747526204215,10.0,34.350147378444674,11,0.0002938524590163934,1000.0,-320.4655289544668,2,-0.04798397143404145,10.95996073037386,28.72850203514099
nan,nan,24576,0.040565605806477834,0.13632813096046448,0.12905272841453552,0.13310547173023224,0.12250976264476776,0.1302490234375,0.0076343478824128395,0.04061152363428846,10.0,34.18443714380264,12,0.00029323770491803276,1000.0,-352.38057892336303,2,-0.044098202507666426,19.69114449173212,30.86884307861328
nan,nan,26624,0.05527920099557378,0.16401366889476776,0.16865234076976776,0.17592772841453552,0.17348632216453552,0.17052001953125,0.005864146855310537,0.03179593606037088,10.0,34.23413662910461,13,0.0002926229508196721,1000.0,-341.0180544930706,2,-0.052783612483835896,8.015755444020034,32.969186782836914
nan,nan,28672,0.06485321765358094,0.20097656548023224,0.19121094048023224,0.21181640028953552,0.20537109673023224,0.20234375,0.006574445427395404,0.037432793044717985,10.0,34.20772377252579,14,0.00029200819672131145,1000.0,-288.4786729270662,2,-0.04615993318366236,9.506800565123559,34.951902866363525
nan,nan,30720,0.046815172005881325,0.14799804985523224,0.15146484971046448,0.14853516221046448,0.15073242783546448,0.1496826171875,0.007198748197697569,0.04036369894165546,10.0,34.24770039319992,15,0.0002913934426229508,1000.0,-340.5774932844264,2,-0.04958040417877783,13.37906074076891,36.94474172592163
-249.51000081610135,35.40521621810394,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.43274974822998
nan,nan,32768,0.06340034776731045,0.190185546875,0.19252929091453552,0.19697265326976776,0.2001953125,0.194970703125,0.0061342525572399605,0.03180149240652099,10.0,34.35915647745132,16,0.00029077868852459015,1000.0,-417.58166298441563,2,-0.057003485124732835,6.138814237713814,42.51206874847412
nan,nan,34816,0.07957590509249712,0.22802734375,0.23359374701976776,0.23427733778953552,0.2470703125,0.2357421875,0.0074129618820734326,0.040595440584002065,10.0,34.391332268714905,17,0.00029016393442622945,1000.0,-333.4859549130145,2,-0.05631889262058394,8.13376281261444,44.62317085266113
nan,nan,36864,0.04698253082533484,0.15341797471046448,0.14970703423023224,0.15585938096046448,0.15410156548023224,0.153271484375,0.007020074778120033,0.03987212721840479,10.0,34.18700907230377,18,0.00028954918032786885,1000.0,-390.73482902232837,2,-0.05127004762653087,11.25763526558876,46.62474703788757
