eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.022249246546562063,0.06259765475988388,0.06479492038488388,0.06425781548023224,0.06694336235523224,0.0646484375,34.23835067749023,1,0.0003,1000.0,-473.0056137991439,2,-0.02179552741581574,16.96014999747276,1.7426908016204834
,,4096,0.029436489589716074,0.07182617485523224,0.093017578125,0.09360351413488388,0.09682617336511612,0.088818359375,34.16281479597092,2,0.0002993852459016393,1000.0,-391.669573445529,2,-0.028405276223202235,12.134621934592724,3.4146876335144043
,,6144,0.04247497855612892,0.12465820461511612,0.1455078125,0.14121094346046448,0.13701172173023224,0.13709716796875,34.16557433605194,3,0.00029877049180327867,1000.0,-474.9743257174557,2,-0.04045991843740922,8.79275415763259,5.107824802398682
,,8192,0.03915989045708557,0.13212890923023224,0.12260742485523224,0.12309570610523224,0.11699219048023224,0.1237060546875,34.27326875925064,4,0.000298155737704918,1000.0,-319.008300802907,2,-0.041416499309707436,9.390405981242656,6.82883095741272
,,10240,0.05351733889765455,0.16606445610523224,0.16455078125,0.16660156846046448,0.17851562798023224,0.16893310546875,34.370848548412326,5,0.00029754098360655737,1000.0,-370.37779700521344,2,-0.04817741574079264,7.374208472669125,8.59816288948059
-243.17599193916263,40.24538089257848,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.034379720687866
nan,nan,12288,0.03862722270641825,0.12734374403953552,0.11611328274011612,0.12163086235523224,0.12441406399011612,0.12237548828125,34.26322977542877,6,0.0002969262295081967,1000.0,-354.65968645951006,2,-0.042593406556989066,17.401847164332867,13.692397832870483
nan,nan,14336,0.033060737943742424,0.10200195014476776,0.09980468451976776,0.10317382961511612,0.1064453125,0.1028564453125,34.33954482078552,7,0.00029631147540983607,1000.0,-312.1821767433763,2,-0.03823790138994809,19.449607160687446,15.368628978729248
nan,nan,16384,0.0388168296944059,0.11894531548023224,0.11967773735523224,0.12236328423023224,0.12856444716453552,0.1223876953125,34.08847782611847,8,0.00029569672131147536,1000.0,-287.30678556875887,2,-0.04143561424862128,14.505633780360222,17.079762935638428
nan,nan,18432,0.04516365782546927,0.134521484375,0.14482422173023224,0.148681640625,0.14443358778953552,0.143115234375,34.26420602798462,9,0.0002950819672131147,1000.0,-284.47165343358506,2,-0.046980916644679384,15.985645286738873,18.805439949035645
nan,nan,20480,0.06052163615458994,0.17656250298023224,0.181884765625,0.189208984375,0.19721679389476776,0.18621826171875,34.294085919857025,10,0.00029446721311475406,1000.0,-395.96200591934644,2,-0.05323931334132794,14.802166570723056,20.55062985420227
-183.19453367832267,43.44903911243745,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.989695072174072
nan,nan,22528,0.05385589376674034,0.16142578423023224,0.17001953721046448,0.17983397841453552,0.19145508110523224,0.17568359375,34.22781201601028,11,0.0002938524590163934,1000.0,-393.53843514453547,2,-0.04976727638277225,17.796356032788754,25.680945873260498
nan,nan,24576,0.062258179150376236,0.19233398139476776,0.19482421875,0.17905274033546448,0.20405273139476776,0.19256591796875,34.36066259145737,12,0.00029323770491803276,1000.0,-400.23612684569923,2,-0.04523409561370499,15.204037170112134,27.33480191230774
nan,nan,26624,0.06983718535848311,0.20185546576976776,0.21401366591453552,0.217529296875,0.216064453125,0.21236572265625,34.444385135173796,13,0.0002926229508196721,1000.0,-376.6789697981402,2,-0.05049940990284085,14.841283494234085,28.995248794555664
nan,nan,28672,0.08467936818269664,0.23686523735523224,0.24648436903953552,0.24907226860523224,0.25126951932907104,0.2459228515625,34.40113294124603,14,0.00029200819672131145,1000.0,-364.7084371282756,2,-0.0510536408299231,11.981722398102283,30.729220867156982
nan,nan,30720,0.06329477232648059,0.19663086533546448,0.18374022841453552,0.20473632216453552,0.21157225966453552,0.199169921875,34.383253729343416,15,0.0002913934426229508,1000.0,-349.47681879754816,2,-0.0508162210782757,17.284786462783813,32.45145297050476
-163.5855272783804,48.83269027329476,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.93644595146179
nan,nan,32768,0.08485083691120962,0.22880859673023224,0.23735351860523224,0.24750976264476776,0.2577148377895355,0.2428466796875,34.306751263141635,16,0.00029077868852459015,1000.0,-315.36158205961,2,-0.05601632497855462,14.722556926310062,37.65297889709473
nan,nan,34816,0.08639750285001355,0.233642578125,0.239990234375,0.2638183534145355,0.26411134004592896,0.250390625,34.404412829875945,17,0.00029016393442622945,1000.0,-381.99336388943516,2,-0.05257326444843784,13.087417052686215,39.3739447593689
nan,nan,36864,0.06857803206294193,0.19829101860523224,0.21494141221046448,0.21992187201976776,0.21958008408546448,0.21318359375,34.532760083675385,18,0.00028954918032786885,1000.0,-188.10364663307368,2,-0.05409593790245708,14.452996100485326,41.014549016952515
nan,nan,38912,0.11381040794076398,0.275390625,0.2962402403354645,0.3128418028354645,0.32636719942092896,0.3027099609375,34.57182755470276,19,0.0002889344262295082,1000.0,-316.42994912477127,2,-0.057001175550976765,9.129291474819183,42.655062675476074
nan,nan,40960,0.07021635195997078,0.20419922471046448,0.20947265625,0.21962890028953552,0.223876953125,0.21429443359375,34.37079879045486,20,0.00028831967213114755,1000.0,-225.61283290936697,2,-0.053833158666384405,12.387713252007961,44.32508182525635
-116.53083396587218,70.91853725901301,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.81096577644348
