eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0119592265036772,0.02202148362994194,0.02177734300494194,0.02084960974752903,0.02490234375,0.02890625037252903,0.03286132961511612,0.03256835788488388,0.035400390625,0.027410888671875,68.24300966262817,0.4877521874848753,1,0.0003,1000.0,-533.2423229673532,2,-0.018338132710323408,36.93240917623043,3.0198419094085693
,,4096,0.01924590629132581,0.03500976413488388,0.039306640625,0.04399413987994194,0.04165039211511612,0.04736328125,0.05498046800494194,0.06191406399011612,0.06513671576976776,0.04866943359375,68.15522062778473,0.48129887068644167,2,0.0002993852459016393,1000.0,-528.6781595521691,2,-0.05276011466776254,27.120782038569452,6.010004043579102
,,6144,0.022990360112089547,0.05971679836511612,0.05859375,0.05029296875,0.05825195461511612,0.05986328050494194,0.06708984076976776,0.07636718451976776,0.07680664211511612,0.063372802734375,68.3444018125534,0.3644377144053578,3,0.00029877049180327867,1000.0,-508.88564759950907,2,-0.039572241011774166,10.20974618345499,8.994678974151611
,,8192,0.02244532728327613,0.053466796875,0.05278320237994194,0.05673827975988388,0.05239257961511612,0.05449218675494194,0.069580078125,0.07797851413488388,0.07475586235523224,0.0615234375,68.29486680030823,0.39953019814565777,4,0.000298155737704918,1000.0,-520.8723343457631,2,-0.024851688428316265,10.412577226758003,12.023051023483276
,,10240,0.01874953076330712,0.0419921875,0.04365234449505806,0.04072265699505806,0.04243164137005806,0.04399413987994194,0.05644531175494194,0.06113281100988388,0.05815429612994194,0.048565673828125,68.44891188144683,0.42653761790134015,5,0.00029754098360655737,1000.0,-466.4442346697826,2,-0.03835925582970958,8.586292170733213,15.003239870071411
-227.66548168034416,91.81649405155417,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.866073846817017
nan,nan,12288,0.01715385026509466,0.028564453125,0.03305663913488388,0.03706054762005806,0.03745117038488388,0.039794921875,0.04472656175494194,0.05214843899011612,0.05903320387005806,0.0414794921875,68.11100225448608,0.4691688451450318,6,0.0002969262295081967,1000.0,-429.6210010222261,2,-0.045743632974335924,15.455845466256141,23.986359119415283
nan,nan,14336,0.01840717522572959,0.03608398512005806,0.040283203125,0.03574218600988388,0.04150390625,0.044921875,0.05693359300494194,0.06386718899011612,0.05820312350988388,0.0471923828125,68.09548759460449,0.42239846028387545,7,0.00029631147540983607,1000.0,-544.7876424685403,2,-0.053366873927006966,16.09050956219435,27.08096480369568
nan,nan,16384,0.017685696418993757,0.03666992112994194,0.03779296949505806,0.039306640625,0.03911132737994194,0.04096679762005806,0.047119140625,0.05527343600988388,0.05112304538488388,0.04342041015625,68.14225099086761,0.4718394854106009,8,0.00029569672131147536,1000.0,-481.3820697913529,2,-0.04720722487836611,19.667822191119193,30.135143995285034
nan,nan,18432,0.02124732508782472,0.04941406100988388,0.04794921725988388,0.04960937425494194,0.05522460862994194,0.05942382663488388,0.06396484375,0.06660155951976776,0.06601562350988388,0.057275390625,68.36004710197449,0.46264271438121796,9,0.0002950819672131147,1000.0,-423.5569653004036,2,-0.03223567098029889,17.264424918591978,33.17211079597473
nan,nan,20480,0.01871371064153209,0.04257812350988388,0.04423828050494194,0.04326171800494194,0.04472656175494194,0.04877929762005806,0.05747070163488388,0.05908203125,0.05727539211511612,0.049676513671875,68.32342574596404,0.4784998090937734,10,0.00029446721311475406,1000.0,-420.57622447778874,2,-0.05074806703487411,19.53301984369755,36.17095994949341
-363.68391623538366,148.26902072561748,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.07338809967041
nan,nan,22528,0.025047160227040878,0.06147461012005806,0.06704101711511612,0.06220703199505806,0.06621094048023224,0.07148437201976776,0.08588866889476776,0.08369140326976776,0.082275390625,0.0725341796875,68.30078892707824,0.4579634515568614,11,0.0002938524590163934,1000.0,-562.4435028989035,2,-0.024342762294691057,16.641069580614566,45.21928811073303
nan,nan,24576,0.02749167563233641,0.06586913764476776,0.06948242336511612,0.07177734375,0.07998047024011612,0.07602538913488388,0.08891601860523224,0.09853515774011612,0.095458984375,0.080755615234375,68.36937685012818,0.4450635878834873,12,0.00029323770491803276,1000.0,-531.7338483484291,2,-0.029958251968491823,17.737010166049004,48.365596771240234
nan,nan,26624,0.02089545698436268,0.05185546725988388,0.04887695237994194,0.05073242262005806,0.04892577975988388,0.05952148512005806,0.06337890774011612,0.0625,0.06591796875,0.056463623046875,68.24629838466645,0.4641700373962522,13,0.0002926229508196721,1000.0,-513.5474445365254,2,-0.042888137951376845,19.05563231706619,51.47210693359375
nan,nan,28672,0.021405936137671232,0.05161132663488388,0.05107421800494194,0.05419921875,0.052734375,0.05971679836511612,0.06650390475988388,0.06318359076976776,0.069091796875,0.058514404296875,68.15512979030609,0.43361361692659556,14,0.00029200819672131145,1000.0,-437.5599494925049,2,-0.02392427956510801,18.942096196115017,54.5047550201416
nan,nan,30720,0.027589262822220916,0.06728515774011612,0.06557617336511612,0.07368163764476776,0.07460937649011612,0.08330078423023224,0.09375,0.09716796875,0.10043945163488388,0.081976318359375,68.60943264961243,0.4555138576775789,15,0.0002913934426229508,1000.0,-508.5662296225418,2,-0.03219948858895805,17.18844550549984,57.530696868896484
-374.6449819844785,56.43562386763758,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.500972032547
nan,nan,32768,0.0204227729824197,0.04257812350988388,0.04472656175494194,0.04970703274011612,0.05019531399011612,0.05073242262005806,0.060302734375,0.06240234524011612,0.06704101711511612,0.053460693359375,68.3020372390747,0.45286947255954146,16,0.00029077868852459015,1000.0,-418.56997217747073,2,-0.03956181957328227,21.08138293325901,66.66159582138062
nan,nan,34816,0.022533306922923657,0.056396484375,0.05893554538488388,0.05732421949505806,0.05478515475988388,0.06411132961511612,0.06962890923023224,0.06679687649011612,0.07045898586511612,0.0623046875,68.35140986442566,0.39608843089081347,17,0.00029016393442622945,1000.0,-502.70164623934863,2,-0.031466215976979586,26.793256382644177,69.83213591575623
nan,nan,36864,0.027134646583363065,0.06577148288488388,0.0712890625,0.07246093451976776,0.07646484673023224,0.082763671875,0.08774413913488388,0.08486328274011612,0.08818359673023224,0.078692626953125,68.30334243774413,0.4365973109379411,18,0.00028954918032786885,1000.0,-558.168626364358,2,-0.03722202565986663,18.634166122972964,72.87455201148987
nan,nan,38912,0.03291598203322792,0.08740234375,0.08925781399011612,0.08867187798023224,0.08979491889476776,0.10029296576976776,0.11040039360523224,0.12299804389476776,0.11723633110523224,0.1007568359375,68.55723814964294,0.43206759146414697,19,0.0002889344262295082,1000.0,-456.4526558321953,2,-0.041046500505763105,14.637958545982837,75.91572785377502
nan,nan,40960,0.02101592117542168,0.043701171875,0.04716796800494194,0.049560546875,0.05170898512005806,0.05815429612994194,0.062744140625,0.06879882514476776,0.06240234524011612,0.05552978515625,68.20209546089173,0.4774819821119308,20,0.00028831967213114755,1000.0,-498.4226113018997,2,-0.02907482396112755,19.269757211208344,79.05913400650024
-434.25556934720896,60.360437647317816,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.04822707176208
nan,nan,43008,0.026760176130119363,0.065185546875,0.06557617336511612,0.07241211086511612,0.07148437201976776,0.08149413764476776,0.08476562798023224,0.08964844048023224,0.09311523288488388,0.077960205078125,68.20455219745637,0.4427040294045582,21,0.00028770491803278684,1000.0,-444.3621054821895,3,-0.030909693040302954,19.916972057521342,88.24980401992798
nan,nan,45056,0.017754043607783387,0.03950195387005806,0.03139648586511612,0.03789062425494194,0.041015625,0.04916992038488388,0.05605468899011612,0.053955078125,0.05463867262005806,0.045452880859375,68.15046339035034,0.46323538455180824,22,0.0002870901639344262,1000.0,-441.4843575271586,2,-0.04295645618258277,24.762586680054664,91.42610788345337
nan,nan,47104,0.026076205252684302,0.06284179538488388,0.06977538764476776,0.07001952826976776,0.06977538764476776,0.076904296875,0.08515624701976776,0.08388672024011612,0.08413086086511612,0.075311279296875,68.4300137758255,0.449153896747157,23,0.00028647540983606554,1000.0,-408.80873975299886,2,-0.04517250737990253,15.774862167239188,94.62719297409058
