eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0008455507180769928,0.02421874925494194,0.02578124962747097,0.02587890625,0.02431640587747097,0.025048828125,17.52061734199524,0.09732117503881454,0.1002381220459938,0.10155874490737915,0.10049811750650406,1,0.004744272213429213,0.005032686982303858,0.005164703819900751,0.005058336537331343,0.0003,1000.0,-324.41246517249556,2,-0.0029796895571053026,19.40912983417511,1.0241777896881104
,,4096,0.000579081496107392,0.014843749813735485,0.01572265662252903,0.01523437537252903,0.01523437537252903,0.0152587890625,17.388326263427736,0.09684935957193375,0.10222969949245453,0.1002265065908432,0.10026870667934418,2,0.004699387587606907,0.0052333492785692215,0.005031228065490723,0.005036036018282175,0.0002,1000.0,-341.50758183501523,2,-0.0023971768096089363,29.39845609664917,1.889502763748169
-305.9350889754664,68.45832397132556,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.06241774559021
nan,nan,6144,0.0004956243428750895,0.012988281436264515,0.01318359375,0.01132812537252903,0.01259765587747097,0.0125244140625,17.31562385559082,0.09239844977855682,0.09781032800674438,0.1037215143442154,0.10526081174612045,3,0.00427622115239501,0.004788648337125778,0.005385340191423893,0.005549789872020483,0.0001,1000.0,-373.33311478185243,2,-0.0015991434804163874,17.706232261657714,5.982651710510254
