eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,61440,0.028599190223758342,0.309814453125,0.31645506620407104,0.32124024629592896,0.3340820372104645,0.32039794921875,34.211574947834016,30,0.00028217213114754093,1000.0,-314.4410618588669,2,-0.03484092561993748,10.069237809628248,97.23514676094055
-158.76269387509973,41.85696686507879,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.06939768791199
nan,nan,63488,0.022024824138497934,0.24501952528953552,0.268310546875,0.2855468690395355,0.3019042909145355,0.2751953125,34.174755823612216,31,0.0002815573770491803,1000.0,-270.0343288298519,2,-0.03802808639302384,11.604351150989533,104.19368982315063
nan,nan,65536,0.024229557124635905,0.2750488221645355,0.2831054627895355,0.2925781309604645,0.3047851622104645,0.28887939453125,34.00656905174255,32,0.0002809426229508196,1000.0,-256.22976217710567,2,-0.03692904546915088,10.82120170071721,106.46690702438354
nan,nan,67584,0.02967464594185003,0.31298828125,0.32329100370407104,0.3389648497104645,0.3525390625,0.33194580078125,34.27582005262375,33,0.00028032786885245903,1000.0,-324.2584572087238,2,-0.03561652697535465,9.264555973559618,108.60199689865112
nan,nan,69632,0.02524461634529871,0.27983397245407104,0.2906738221645355,0.29790037870407104,0.3023925721645355,0.2927001953125,34.147879528999326,34,0.0002797131147540983,1000.0,-280.64573811598746,2,-0.040006030548829584,11.478775481134653,110.68196272850037
nan,nan,71680,0.014247799725853837,0.18295899033546448,0.18984374403953552,0.19145508110523224,0.20849609375,0.1931884765625,34.14217109680176,35,0.00027909836065573767,1000.0,-278.599699322424,2,-0.03583003444073256,23.22376841902733,112.81528878211975
-116.65706032808286,21.65022722549107,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117.13450407981873
nan,nan,73728,0.030740835412143497,0.3199706971645355,0.33085936307907104,0.3487792909145355,0.3604492247104645,0.3400146484375,34.25462653636932,36,0.000278483606557377,1000.0,-259.3582366941315,2,-0.03538187872327399,9.756561537086963,119.30170607566833
nan,nan,75776,0.017376005612459267,0.20488281548023224,0.21958008408546448,0.23173828423023224,0.2548828125,0.22777099609375,34.21710035800934,37,0.00027786885245901637,1000.0,-243.30774898938108,2,-0.03821860332682263,15.845438921451569,121.42283701896667
nan,nan,77824,0.03217044988123234,0.3304687440395355,0.33930665254592896,0.35981446504592896,0.381103515625,0.35267333984375,34.17772300243378,38,0.0002772540983606557,1000.0,-188.00187318417017,2,-0.03924334764305968,9.417962361872195,123.51169896125793
nan,nan,79872,0.028215689191711135,0.29716795682907104,0.3136230409145355,0.334228515625,0.3382812440395355,0.3208251953125,34.198177421092986,39,0.00027663934426229507,1000.0,-206.32942155809872,2,-0.037950776003708594,9.868234369158746,125.74958491325378
nan,nan,81920,0.015139811021072092,0.18212890625,0.19941405951976776,0.22451171278953552,0.21254882216453552,0.20465087890625,34.04795918464661,40,0.0002760245901639344,1000.0,-209.46109957485987,2,-0.03719955205742735,20.391145318746567,127.84981203079224
-55.069965528063356,32.934569274382056,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132.09350204467773
nan,nan,83968,0.013586900435620919,0.174072265625,0.17875976860523224,0.19833984971046448,0.20454101264476776,0.18892822265625,34.0997095823288,41,0.00027540983606557377,1000.0,-149.21908147073702,2,-0.03820280702202581,28.556422489881516,134.01861381530762
nan,nan,86016,0.03298216760595096,0.32832032442092896,0.3416503965854645,0.36796873807907104,0.37456053495407104,0.353125,34.22595942020416,42,0.0002747950819672131,1000.0,-225.03482334230114,3,-0.04094881857745349,10.375691294670105,136.0794939994812
nan,nan,88064,0.024815467689040815,0.27290040254592896,0.2855468690395355,0.31279295682907104,0.32099610567092896,0.29805908203125,34.05721167325974,43,0.0002741803278688524,1000.0,-256.0774284108438,2,-0.04246305208580452,9.934600865840912,138.12656998634338
nan,nan,90112,0.01827986271091504,0.20966796576976776,0.22499999403953552,0.23149414360523224,0.2633300721645355,0.232373046875,34.29116876125336,44,0.00027356557377049176,1000.0,-153.2714115409977,2,-0.03941398483875673,14.638762006163597,140.188658952713
-25.08437188990054,63.84386002049212,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,144.4920768737793
nan,nan,92160,0.019598578961449675,0.24262695014476776,0.23554687201976776,0.25932615995407104,0.2730468809604645,0.25263671875,34.071670138835906,45,0.0002729508196721311,1000.0,-167.96505834582118,2,-0.03904696937534027,16.346735414862632,146.5474877357483
nan,nan,94208,0.021786176663590597,0.250244140625,0.2578125,0.27534180879592896,0.2911132872104645,0.2686279296875,34.062972366809845,46,0.00027233606557377046,1000.0,-133.1567097571699,2,-0.0402466015832033,15.25516998320818,148.58239912986755
nan,nan,96256,0.0375279718231468,0.3592773377895355,0.3716796934604645,0.385498046875,0.406005859375,0.380615234375,34.2217999458313,47,0.0002717213114754098,1000.0,-196.81300940765496,2,-0.041044110446819104,8.460006310045719,150.573983669281
nan,nan,98304,0.028285230442270402,0.2994140684604645,0.31718748807907104,0.3333496153354645,0.341552734375,0.3228759765625,34.195176494121554,48,0.00027110655737704915,1000.0,-262.0004683576286,2,-0.043012586518307215,13.371111606061458,152.67561388015747
nan,nan,100352,0.029788236330932704,0.3074707090854645,0.31928712129592896,0.34907227754592896,0.34296876192092896,0.32969970703125,34.16847066879272,49,0.0002704918032786885,1000.0,-163.16664210770816,2,-0.04231977668532636,12.305738240480423,154.82561588287354
17.65446226549813,67.83733391800119,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159.17004299163818
nan,nan,102400,0.03648267088865396,0.34565430879592896,0.36376953125,0.36674803495407104,0.38276368379592896,0.36473388671875,34.23608819246292,50,0.00026987704918032785,1000.0,-134.8418285256397,2,-0.04289689296201686,8.465496417135,161.24505877494812
nan,nan,104448,0.018577604640449864,0.21796874701976776,0.234375,0.25190430879592896,0.2608886659145355,0.2412841796875,34.14696058034897,51,0.00026926229508196715,1000.0,-207.15627293789134,2,-0.04035545476072002,16.43396368920803,163.34171199798584
nan,nan,106496,0.020477591053349897,0.22749023139476776,0.24350586533546448,0.27568358182907104,0.2798828184604645,0.256640625,34.106762206554414,52,0.00026864754098360655,1000.0,-183.75138558257788,2,-0.04070807335083373,18.22273092567921,165.45363998413086
nan,nan,108544,0.02587564069326618,0.27910155057907104,0.29374998807907104,0.30708009004592896,0.31499022245407104,0.29873046875,34.139766657352446,53,0.0002680327868852459,1000.0,-256.1669688036831,2,-0.043563807202735914,13.820318925380707,167.52201890945435
nan,nan,110592,0.05514846018704702,0.42656248807907104,0.455078125,0.46220701932907104,0.48247069120407104,0.45657958984375,34.292870581150055,54,0.00026741803278688525,1000.0,-182.10210069077732,2,-0.04053474828833714,7.279010678827762,169.74221181869507
-11.967156934454266,61.07988938533558,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.1405210494995
nan,nan,112640,0.017552253981557443,0.20981445908546448,0.22270508110523224,0.23476561903953552,0.2606445252895355,0.231982421875,34.09784206151962,55,0.0002668032786885246,1000.0,-99.36090838505837,2,-0.039645611052401365,20.0210278570652,176.24351501464844
nan,nan,114688,0.02717282281446387,0.26289063692092896,0.2984863221645355,0.32514649629592896,0.33671873807907104,0.305810546875,34.00835294723511,56,0.0002661885245901639,1000.0,-55.485431346786,2,-0.043226411729119715,12.302235132455825,178.49745273590088
nan,nan,116736,0.0285717450271477,0.2884277403354645,0.2992187440395355,0.3375000059604645,0.35273438692092896,0.31947021484375,34.145841884613034,57,0.00026557377049180324,1000.0,-219.81573869010447,2,-0.04321636319800746,11.769818402826786,180.74460697174072
nan,nan,118784,0.03313489624488284,0.313720703125,0.3418945372104645,0.3648437559604645,0.35869139432907104,0.34478759765625,34.18615114688873,58,0.0002649590163934426,1000.0,-80.73671030215763,2,-0.04317947833624203,9.701341009140014,182.866849899292
nan,nan,120832,0.027002240877482108,0.2852539122104645,0.29243165254592896,0.3243652284145355,0.3348144590854645,0.30921630859375,34.17933678627014,59,0.00026434426229508194,1000.0,-132.64695850345583,2,-0.04229216816602275,12.31101166754961,184.99880290031433
81.90677627555017,62.75841277879838,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,189.32842087745667
nan,nan,122880,0.03010845144162886,0.2977050840854645,0.32329100370407104,0.333984375,0.345458984375,0.32510986328125,34.263509607315065,60,0.0002637295081967213,1000.0,-130.89427867274316,2,-0.04344131354882848,11.995926019549369,191.3762469291687
nan,nan,124928,0.047409551373129945,0.38261717557907104,0.40180665254592896,0.43330079317092896,0.4615234434604645,0.41981201171875,34.244123697280884,61,0.00026311475409836063,1000.0,-85.96039914106228,2,-0.041770197049481796,8.59207085520029,193.53111577033997
nan,nan,126976,0.02058037816314027,0.23334960639476776,0.24462890625,0.2745605409145355,0.28876954317092896,0.2603271484375,34.19847962856293,62,0.0002625,1000.0,-177.25643320431368,2,-0.04192982557869982,15.00403296649456,195.66720175743103
nan,nan,129024,0.017075163809931838,0.20502929389476776,0.214599609375,0.234375,0.25361329317092896,0.226904296875,34.097181701660155,63,0.00026188524590163933,1000.0,-91.15526114934801,3,-0.04108203156501986,21.637580886483192,197.77747988700867
nan,nan,131072,0.021882127404387573,0.24082031846046448,0.24760742485523224,0.27617186307907104,0.3077636659145355,0.2680908203125,34.1781307220459,64,0.0002612704918032787,1000.0,-30.43154050187944,2,-0.043413730995962393,15.889823862910271,199.79995703697205
125.27825751302441,59.94351489452886,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,204.2486228942871
nan,nan,133120,0.019919144575396786,0.23051758110523224,0.23896484076976776,0.26171875,0.2801757752895355,0.25284423828125,34.1619576215744,65,0.000260655737704918,1000.0,30.65372790545989,2,-0.04256706316955387,21.002779743075372,206.55136704444885
nan,nan,135168,0.029933662059920606,0.2967773377895355,0.3080078065395355,0.3416503965854645,0.3655761778354645,0.3280029296875,34.157565402984616,66,0.0002600409836065573,1000.0,-73.32272196365761,2,-0.04770687006530352,14.45326239168644,208.7357940673828
