eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_10,train/fisher_eps_step_11,train/fisher_eps_step_12,train/fisher_eps_step_13,train/fisher_eps_step_14,train/fisher_eps_step_15,train/fisher_eps_step_2,train/fisher_eps_step_3,train/fisher_eps_step_4,train/fisher_eps_step_5,train/fisher_eps_step_6,train/fisher_eps_step_7,train/fisher_eps_step_8,train/fisher_eps_step_9,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.002685466851471574,0.01689453050494194,0.01787109300494194,0.031494140625,0.03388671949505806,0.035400390625,0.02934570237994194,0.03085937537252903,0.03554687649011612,0.01718750037252903,0.01904296875,0.01845703087747097,0.02207031287252903,0.02421874925494194,0.02666015550494194,0.02724609337747097,0.02836913987994194,0.025909423828125,136.14523158073425,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,1,0.0003,1000.0,-471.98466287526946,2,-0.004258754660259001,26.118595108389854,4.117652893066406
,,4096,0.004096559012941725,0.02285156212747097,0.02602539025247097,0.04648437350988388,0.05156249925494194,0.04936523362994194,0.04511718824505806,0.04741210862994194,0.05229492112994194,0.02753906324505806,0.037109375,0.03813476487994194,0.03208007663488388,0.04169921949505806,0.038818359375,0.03916015475988388,0.03964843600988388,0.0397064208984375,136.2445430278778,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,2,0.0002993852459016393,1000.0,-354.7254242241221,2,-0.007219177967635914,18.47249881029129,8.288504838943481
,,6144,0.003189529442533967,0.02504882775247097,0.02133789099752903,0.02641601487994194,0.0283203125,0.02851562574505806,0.03164062649011612,0.02827148512005806,0.02910156175494194,0.02519531175494194,0.02309570275247097,0.02280273474752903,0.028564453125,0.02578124962747097,0.02827148512005806,0.02651367150247097,0.02524414099752903,0.026507568359375,136.29329347610474,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,3,0.00029877049180327867,1000.0,-497.3921520457026,2,-0.0055333961252472365,20.770745562016963,12.31608772277832
,,8192,0.0038963372939178954,0.025634765625,0.03017578087747097,0.03984374925494194,0.03500976413488388,0.041015625,0.03969726711511612,0.04287109524011612,0.03696288913488388,0.02744140662252903,0.028564453125,0.03652343899011612,0.03559570387005806,0.04184570163488388,0.03964843600988388,0.04057617112994194,0.03725586086511612,0.0361663818359375,136.2805863380432,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,4,0.000298155737704918,1000.0,-612.2744218106308,2,-0.0066544196684844795,22.211280354857443,16.471539974212646
,,10240,0.005463483848507167,0.05913085862994194,0.05820312350988388,0.068115234375,0.06118164211511612,0.067626953125,0.06606445461511612,0.07036133110523224,0.07285156100988388,0.05766601487994194,0.06123046949505806,0.06611327826976776,0.06059570237994194,0.06708984076976776,0.062744140625,0.06655273586511612,0.06137695163488388,0.0641815185546875,136.31852822303773,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,5,0.00029754098360655737,1000.0,-481.1921361280382,2,-0.00931089170044288,14.177459865808487,20.607159852981567
-335.8326612304393,95.57897943256793,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.547964811325073
nan,nan,12288,0.005250433166838775,0.05498046800494194,0.04873047024011612,0.06220703199505806,0.06235351413488388,0.06035156175494194,0.06328125298023224,0.06157226487994194,0.06479492038488388,0.05571288987994194,0.05112304538488388,0.05341796949505806,0.05766601487994194,0.06333007663488388,0.0615234375,0.06171875074505806,0.058837890625,0.05885009765625,136.507390832901,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,6,0.0002969262295081967,1000.0,-376.54676695384376,2,-0.009135938144754618,18.56134252101183,35.805630922317505
nan,nan,14336,0.006205030796081701,0.06547851860523224,0.05996093899011612,0.07963867485523224,0.08261718600988388,0.087646484375,0.08378906548023224,0.08281250298023224,0.09262695163488388,0.061279296875,0.06391601264476776,0.06977538764476776,0.07651367038488388,0.07133789360523224,0.07490234076976776,0.07246093451976776,0.07373046875,0.0749053955078125,136.12296466827394,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,7,0.00029631147540983607,1000.0,-437.4979770780801,2,-0.011375821963883936,15.51814436018467,40.1845498085022
nan,nan,16384,0.005992770130251302,0.0595703125,0.06040038913488388,0.07846679538488388,0.07485351711511612,0.08305664360523224,0.08002929389476776,0.07602538913488388,0.08466796576976776,0.05952148512005806,0.06425781548023224,0.06337890774011612,0.07011719048023224,0.07285156100988388,0.072021484375,0.07231445610523224,0.075439453125,0.071685791015625,136.2969313621521,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,8,0.00029569672131147536,1000.0,-512.4120460310287,2,-0.01046232042426709,16.582269370555878,44.409071922302246
nan,nan,18432,0.005409597599827976,0.05024414137005806,0.05942382663488388,0.060302734375,0.06684570014476776,0.05917968600988388,0.06914062798023224,0.06723632663488388,0.06210937350988388,0.05380859225988388,0.05747070163488388,0.05917968600988388,0.06025390699505806,0.06918945163488388,0.060791015625,0.06430663913488388,0.05703125149011612,0.0610321044921875,136.41377973556519,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,9,0.0002950819672131147,1000.0,-494.98607562302317,2,-0.009867875106283463,15.032968252897263,48.73563075065613
