eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.03303454631532077,0.09223632514476776,0.10556640475988388,0.0989013671875,17.107741326093674,0.4904600041452795,1,0.0003,1000.0,-381.0364143512029,2,-0.010931544678351201,17.544590916484594,1.5182688236236572
,,4096,0.044637218459683936,0.14003905653953552,0.14760741591453552,0.1438232421875,17.086892074346544,0.47381198657676576,2,0.0002993852459016393,1000.0,-409.5442295899205,2,-0.0779265604855027,10.6439603805542,3.2921011447906494
,,6144,0.04964290724892635,0.15468749403953552,0.16616210341453552,0.1604248046875,17.21822534799576,0.44499152069911363,3,0.00029877049180327867,1000.0,-360.72048132095864,2,-0.06039885336358566,13.128845466673374,4.829061031341553
,,8192,0.0553402571938932,0.17207030951976776,0.18251952528953552,0.177294921875,17.126143687963484,0.411684230202809,4,0.000298155737704918,1000.0,-376.00622442464356,2,-0.06314814529760042,11.835529796779156,6.359295845031738
,,10240,0.05840238702803617,0.18281249701976776,0.183349609375,0.1830810546875,17.105140352249144,0.4381010748911649,5,0.00029754098360655737,1000.0,-333.1163225939273,2,-0.05376188665686641,11.585537192225456,7.775077819824219
-294.556235694071,51.48654036095632,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.81686806678772
nan,nan,12288,0.04448976514395327,0.12949219346046448,0.142822265625,0.1361572265625,17.124943113327028,0.39789014188572763,6,0.0002969262295081967,1000.0,-389.13827995048257,2,-0.03628460662148427,19.42661778628826,11.601742029190063
nan,nan,14336,0.06564753341954202,0.20322266221046448,0.205078125,0.204150390625,17.14498645067215,0.43861149488948287,7,0.00029631147540983607,1000.0,-419.21111425007496,2,-0.04543075256806332,13.037697660923005,13.143357992172241
nan,nan,16384,0.046132227673660965,0.14882811903953552,0.14218750596046448,0.1455078125,17.146182078123093,0.3006937229307368,8,0.00029569672131147536,1000.0,-390.31326277107644,2,-0.05356875679717632,13.450233434140682,14.689997911453247
nan,nan,18432,0.08612739221571246,0.2529296875,0.26215821504592896,0.2575439453125,17.259948641061783,0.41091224839910867,9,0.0002950819672131147,1000.0,-335.54475333102357,2,-0.040682917312369685,8.837573669850826,16.495978832244873
nan,nan,20480,0.04405284411332104,0.14145508408546448,0.14291992783546448,0.1421875,17.15961722135544,0.43193386765196917,10,0.00029446721311475406,1000.0,-430.81846243348036,2,-0.04357843301258981,22.904669100046156,18.001967906951904
-260.9873263831112,58.01277039180494,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0697820186615
nan,nan,22528,0.07679884678218514,0.23676757514476776,0.23061522841453552,0.23369140625,17.10293305516243,0.423350502923131,11,0.0002938524590163934,1000.0,-392.3268560803682,2,-0.04363649707956938,11.441586929559708,21.604897022247314
nan,nan,24576,0.06420577294484246,0.20415039360523224,0.20761719346046448,0.2058837890625,17.179177075624466,0.44953179541043936,12,0.00029323770491803276,1000.0,-328.6902747744577,2,-0.05127624922024552,13.50392589122057,23.52396011352539
nan,nan,26624,0.06938263761403504,0.20791015028953552,0.20810547471046448,0.2080078125,17.1080024600029,0.4268959532491863,13,0.0002926229508196721,1000.0,-364.3687550012868,2,-0.04358626411412843,13.011353124678134,25.59743595123291
