eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,wall_time
,,2048,0.03321983552305028,0.096923828125,0.11391601711511612,0.105419921875,17.15014871954918,1,0.0003,1000.0,-420.6573934713083,2,-0.040489079625695014,15.848974078893661,0.4946226179599762,0.5053774118423462,1.409991979598999
,,4096,0.04798509275278775,0.15346679091453552,0.15664061903953552,0.1550537109375,17.113402235507966,2,0.0002993852459016393,1000.0,-361.2237614000194,2,-0.05473102521791588,7.508481030166149,0.4912901818752289,0.5087098479270935,3.0387401580810547
,,6144,0.05299192274542293,0.17558594048023224,0.17236328125,0.173974609375,17.122887617349626,3,0.00029877049180327867,1000.0,-274.1600408951407,2,-0.06361385293566854,11.010603447258472,0.49294528365135193,0.5070547461509705,4.639333009719849
,,8192,0.04707199733238667,0.15424804389476776,0.15732422471046448,0.1557861328125,17.13425396680832,4,0.000298155737704918,1000.0,-319.45979737012897,2,-0.06489346702874173,13.971556149423122,0.4842178523540497,0.5157821178436279,6.503960132598877
,,10240,0.06577018739189952,0.205322265625,0.21669921278953552,0.2110107421875,17.120635133981704,5,0.00029754098360655737,1000.0,-320.42452595551106,2,-0.072558503766777,7.437367633730173,0.47491925954818726,0.5250808000564575,7.987039089202881
-206.88035450631355,30.488245784971603,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.20415711402893
nan,nan,12288,0.06852053023176267,0.21572265028953552,0.22612304985523224,0.2209228515625,17.19403981566429,6,0.0002969262295081967,1000.0,-303.0844352204696,2,-0.07728960479435046,8.744358424842357,0.47612401843070984,0.5238759517669678,11.491328001022339
nan,nan,14336,0.05239094425342046,0.17070312798023224,0.17812499403953552,0.1744140625,17.125999021530152,7,0.00029631147540983607,1000.0,-389.3060495436581,2,-0.07309484384313691,13.932734613120555,0.4739767611026764,0.5260232090950012,12.805596113204956
nan,nan,16384,0.06812808124086586,0.21826171875,0.22163085639476776,0.2199462890625,17.113488042354582,8,0.00029569672131147536,1000.0,-343.2424931062915,2,-0.07417102861509192,12.073134407401085,0.4716621935367584,0.528337836265564,14.0818030834198
nan,nan,18432,0.07985274100501556,0.23208007216453552,0.25297850370407104,0.242529296875,17.233147531747818,9,0.0002950819672131147,1000.0,-275.9359024510568,2,-0.0780072921043029,13.283502392470837,0.4612624943256378,0.5387374758720398,15.40502405166626
nan,nan,20480,0.1009113091029576,0.27387696504592896,0.29252928495407104,0.283203125,17.182385212183,10,0.00029446721311475406,1000.0,-317.08449816404806,2,-0.0782501405425137,9.269895727932454,0.43887051939964294,0.5611294507980347,16.682426929473877
-209.68646732289935,55.65577485296086,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.73653507232666
nan,nan,22528,0.12367197223939001,0.32304686307907104,0.349853515625,0.3364501953125,17.28127674460411,11,0.0002938524590163934,1000.0,-363.3759543848114,2,-0.0840744115645066,7.375546074658632,0.4154341518878937,0.5845658779144287,20.018474102020264
nan,nan,24576,0.08851709865994054,0.251220703125,0.2779296934604645,0.2645751953125,17.099105149507523,12,0.00029323770491803276,1000.0,-299.17944317576956,2,-0.08007918453949969,9.231544853746891,0.3954208791255951,0.6045791506767273,21.258533000946045
nan,nan,26624,0.07238909786537988,0.21269531548023224,0.24116210639476776,0.2269287109375,17.13089370727539,13,0.0002926229508196721,1000.0,-273.20339498102817,2,-0.08589949067682028,14.445509172976017,0.37893152236938477,0.6210684776306152,22.5732638835907
nan,nan,28672,0.10495053314807593,0.27509766817092896,0.2998046875,0.287451171875,17.177562713623047,14,0.00029200819672131145,1000.0,-396.59624175556655,2,-0.08719333884073421,10.980668593943118,0.3554379940032959,0.6445619463920593,23.833301067352295
nan,nan,30720,0.11724904508591863,0.2874999940395355,0.3349609375,0.31123046875,17.280726170539857,15,0.0002913934426229508,1000.0,-287.70597449299106,2,-0.08392923325882293,8.474088361114264,0.3240494430065155,0.6759506464004517,25.09069013595581
-185.10897718119256,69.85053741367618,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.191840171813965
nan,nan,32768,0.09038487799989525,0.252685546875,0.29912108182907104,0.2759033203125,17.212616622447968,16,0.00029077868852459015,1000.0,-302.6090168853848,2,-0.08715646705240943,17.11289900690317,0.3083556592464447,0.6916443705558777,28.428977012634277
nan,nan,34816,0.10353445197833935,0.266357421875,0.29926759004592896,0.2828125,17.218319618701933,17,0.00029016393442622945,1000.0,-354.173541851324,2,-0.08312346681777853,12.570746986567974,0.28313109278678894,0.7168689370155334,29.65810799598694
nan,nan,36864,0.23021392474329333,0.42573243379592896,0.47114259004592896,0.4484375,17.526589858531953,18,0.00028954918032786885,1000.0,-226.73353957872973,2,-0.08267630645714234,7.318386262655258,0.23844507336616516,0.7615548968315125,30.926574230194092
