eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.22655680871685036,0.3515625,0.3875976502895355,0.408935546875,0.43095701932907104,0.39476318359375,0.49803506897296757,3.279448463348672,0.01,34.94637269973755,10,0.00029446721311475406,1000.0,-632.0075524002496,2,0.038844716767926,12.559647845476865,28.053930044174194
-586.3993313159237,1.6900317234668045,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.897197008132935
nan,nan,22528,0.7149434668244794,0.623730480670929,0.623730480670929,0.578906238079071,0.512646496295929,0.58475341796875,2.3852950876578687,26.006097436649725,0.01,37.15264520645142,11,0.0002938524590163934,1000.0,-566.7163660981488,2,-0.28350828582406395,8.851330794021488,34.394737005233765
nan,nan,24576,2.7842489355040017,0.905957043170929,0.871289074420929,0.7337402105331421,0.50146484375,0.75311279296875,8.546219580154865,113.26840939335526,0.01,46.08251496553421,12,0.00029323770491803276,1000.0,-583.4846135938376,2,-1.630021564292838,9.546905970748048,36.92687106132507
nan,nan,26624,2.101117190090008,0.90234375,0.8458007574081421,0.7173827886581421,0.596142590045929,0.76541748046875,5.528318089433014,73.57167349904776,0.01,42.67141855955124,13,0.0002926229508196721,1000.0,-595.8891654491952,2,-0.5317325207259274,9.995014363899827,39.33058214187622
nan,nan,28672,3.2904522014316173,0.9195801019668579,0.7777343988418579,0.56201171875,0.5772949457168579,0.7091552734375,9.319427507556975,125.34314283132554,0.01,49.455100214481355,14,0.00029200819672131145,1000.0,-596.8245410870807,2,-1.8851788401778322,10.368419193895534,41.783607006073
nan,nan,30720,2.911649167072028,0.900097668170929,0.7974609136581421,0.603955090045929,0.594775378704071,0.724072265625,7.291463151760399,96.03215992152691,0.01,47.62056077718735,15,0.0002913934426229508,1000.0,-596.9383574511182,2,-0.9749100212473423,10.776413007173687,44.290213108062744
-596.2182632164269,1.2795090434053875,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.13474702835083
nan,nan,32768,3.9678027029382066,0.9676758050918579,0.5616699457168579,0.43632811307907104,0.5791991949081421,0.63621826171875,12.249659762904049,163.37140876352788,0.01,54.51937987804413,16,0.00029077868852459015,1000.0,-595.2850250100223,2,-3.5515230465331116,11.065806972701102,50.62310194969177
nan,nan,34816,12.488386192033067,0.3058105409145355,0.9251953363418579,0.947460949420929,0.9632812738418579,0.78543701171875,20.57541067395359,275.1006557554007,0.01,718.2955501079559,17,0.00029016393442622945,1000.0,-596.0532375641855,2,-7.022716355021112,11.232629726175219,53.04278612136841
