eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,1.705051060943515,0.12949219346046448,0.16005858778953552,0.46875,0.4879394471645355,0.5006347894668579,0.508007824420929,0.505419909954071,0.503955066204071,0.18203124403953552,0.22749023139476776,0.27290040254592896,0.3270019590854645,0.3570800721645355,0.3868164122104645,0.41826170682907104,0.44038087129592896,0.3672637939453125,2.723740218048806,55.89170745112351,137.74061160087587,1,0.0003,1000.0,-518.9943273210756,2,-12.432953613231515,14.625480672717094,5.186644077301025
,,4096,8.124813963723136,0.07978515326976776,0.07548828423023224,0.654541015625,0.67333984375,0.693066418170929,0.700634777545929,0.7054198980331421,0.6980956792831421,0.08579101413488388,0.11000976711511612,0.14985351264476776,0.23857422173023224,0.356689453125,0.46245115995407104,0.559863269329071,0.6142578125,0.4286163330078125,11.063982089608908,228.9104959011078,144.89772477149964,2,0.0002993852459016393,1000.0,-496.13811650981427,2,-47.15827545505017,21.679145303368568,10.344450235366821
,,6144,86.00044042905793,0.02109375037252903,0.03916015475988388,0.96728515625,0.976367175579071,0.978710949420929,0.9810546636581421,0.982177734375,0.982861340045929,0.05659179762005806,0.06831054389476776,0.08383788913488388,0.12006835639476776,0.1953125,0.443359375,0.800488293170929,0.9320312738418579,0.53929443359375,24.47918536067009,552.8889497280121,249.85782227516174,3,0.00029877049180327867,1000.0,-655.1891869242736,2,-122.74123956039548,9.284904763847589,15.524484157562256
,,8192,127.40294232732849,0.02265625074505806,0.02250976487994194,0.9652343988418579,0.9737793207168579,0.97802734375,0.980908215045929,0.9828125238418579,0.984375,0.03017578087747097,0.04702148586511612,0.06088867038488388,0.07749023288488388,0.12343750149011612,0.31123048067092896,0.7577148675918579,0.9334472417831421,0.5157318115234375,34.977045917510985,988.5555240631104,1373.7105214595795,4,0.000298155737704918,1000.0,-832.03598298834,2,-176.17842667549849,14.142737758159637,20.700376272201538
,,10240,16.872135382451233,0.07646484673023224,0.07778320461511612,0.863720715045929,0.876904308795929,0.8828125,0.887988269329071,0.891845703125,0.8924804925918579,0.093505859375,0.11176757514476776,0.12788085639476776,0.16376952826976776,0.3162597715854645,0.5752929449081421,0.745800793170929,0.828417956829071,0.52579345703125,41.97916344404221,1184.8054389953613,153.74884042739868,5,0.00029754098360655737,1000.0,-701.7728719784755,2,-144.10191752910615,12.137542155385017,25.8686101436615
-478.5591910338635,19.602285471554794,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.2491021156311
nan,nan,12288,1.6352118137700018,0.28076171875,0.2808593809604645,0.581494152545929,0.6041015386581421,0.621337890625,0.626171886920929,0.623486340045929,0.612841784954071,0.2781738340854645,0.2974609434604645,0.342041015625,0.3927246034145355,0.4446777403354645,0.4950195252895355,0.528564453125,0.565185546875,0.473431396484375,43.64889067411423,974.9896392822266,138.57140097618102,6,0.0002969262295081967,1000.0,-597.9358793901092,2,-65.5382828593254,31.756919395923614,41.476728200912476
nan,nan,14336,5.094016904954333,0.18867187201976776,0.1904296875,0.676953136920929,0.707226574420929,0.728222668170929,0.74560546875,0.7647949457168579,0.7710937261581421,0.21962890028953552,0.2732910215854645,0.3160644471645355,0.366943359375,0.4197753965854645,0.47846680879592896,0.560009777545929,0.621777355670929,0.5018096923828125,38.78166775107384,949.701905632019,141.3089169025421,7,0.00029631147540983607,1000.0,-650.0229305025414,2,-103.46337184607982,25.573016235232352,46.70927810668945
nan,nan,16384,25.891512065174176,0.08203125,0.07900390774011612,0.868408203125,0.903857409954071,0.9236816167831421,0.9390624761581421,0.9481445550918579,0.9535156488418579,0.09794922173023224,0.14145508408546448,0.17397460341453552,0.2525878846645355,0.380615234375,0.563525378704071,0.708056628704071,0.8001464605331421,0.5510009765625,44.064921748638156,1102.371346282959,163.30887279510497,8,0.00029569672131147536,1000.0,-501.68348550106367,2,-176.216219176352,21.61915343552828,51.92001414299011
nan,nan,18432,69.16231420478725,0.03134765475988388,0.04179687425494194,0.9014648199081421,0.9423828125,0.959521472454071,0.9681640863418579,0.973193347454071,0.97607421875,0.05292968824505806,0.08110351860523224,0.11562500149011612,0.162841796875,0.2560058534145355,0.4420410096645355,0.6460937261581421,0.8072265386581421,0.52236328125,50.28590514063835,1328.4240807533265,249.53127303123475,9,0.0002950819672131147,1000.0,-545.1482614976147,2,-216.33530706763267,5.182930186577141,57.1348021030426
