eval/mean_return,eval/std_return,step,train/approx_kl,train/awfm_max_weight,train/awfm_mean_weight,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0,0.1353247130755335,0.031249999831197785,0.0,0.0,1,0.0003,1000.0,-473.0056137991439,2,9.141888012148294e-06,16.959673964977263,1.4381539821624756
,,4096,0.0,0.16643995251506566,0.031249999918509276,0.0,0.0,2,0.0002993852459016393,1000.0,-390.78727664896996,2,4.933358536604084e-07,9.347428591549397,2.8869481086730957
,,6144,0.0,0.21743307907599957,0.03124999989522621,0.0,0.0,3,0.00029877049180327867,1000.0,-513.486460719917,2,2.1231944350233202e-07,13.231368570029735,4.433206081390381
,,8192,0.0,0.29245439728256317,0.031249999802093954,0.0,0.0,4,0.000298155737704918,1000.0,-403.89106131982567,2,1.6997891197349143e-05,8.659794024378062,5.824526071548462
,,10240,0.0,0.3135223836987279,0.031249999813735486,0.0,0.0,5,0.00029754098360655737,1000.0,-394.64649117963484,2,9.067511165931083e-09,9.009697359800338,7.255800247192383
-269.27521202534234,53.70222696860372,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.444249153137207
nan,nan,12288,0.0,0.28214660193771124,0.031249999831197785,0.0,0.0,6,0.0002969262295081967,1000.0,-450.9762338571304,2,3.3369044428809914e-12,14.274878834187984,11.88159728050232
nan,nan,14336,0.0,0.24943855305900797,0.031249999784631655,0.0,0.0,7,0.00029631147540983607,1000.0,-478.96240991316927,2,3.944999587299978e-13,20.71275132894516,13.29001498222351
nan,nan,16384,0.0,0.11500446037389338,0.031249999796273187,0.0,0.0,8,0.00029569672131147536,1000.0,-413.17120560219365,2,4.14840906208015e-13,33.33676857352257,14.705358266830444
nan,nan,18432,0.0,0.3112768430495635,0.03124999998835847,0.0,0.0,9,0.0002950819672131147,1000.0,-395.6727825248982,2,1.4381585221886878e-09,14.963094440102576,16.17650818824768
nan,nan,20480,0.0,0.3791300246492028,0.031249999662395566,0.0,0.0,10,0.00029446721311475406,1000.0,-430.37875638086007,2,5.62077614270004e-10,14.43038130402565,17.630666971206665
-306.91351977550755,49.98061470507843,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.891387224197388
nan,nan,22528,0.0,0.29055319507606325,0.03124999981955625,0.0,0.0,11,0.0002938524590163934,1000.0,-493.85233116142047,2,1.4992224538942948e-10,21.07942054569721,22.30221700668335
nan,nan,24576,0.0,0.4311246237019077,0.03124999991268851,0.0,0.0,12,0.00029323770491803276,1000.0,-467.88966055754713,2,1.0003395705584591e-06,11.510036118328571,23.909950971603394
nan,nan,26624,0.0,0.453625391703099,0.03124999990686774,0.0,0.0,13,0.0002926229508196721,1000.0,-418.05305887167293,2,6.662019681370123e-06,11.284419791400433,25.478116273880005
nan,nan,28672,0.0,0.3759654957219027,0.031249999871943147,0.0,0.0,14,0.00029200819672131145,1000.0,-350.9420085735791,2,1.4074358424707433e-07,15.210928267240524,26.956181049346924
nan,nan,30720,0.0,0.2663337965030223,0.031249999842839316,0.0,0.0,15,0.0002913934426229508,1000.0,-439.78329205608657,2,3.055330172924717e-10,19.7313333183527,28.41695523262024
-275.0836624672326,58.42486021503872,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.69569993019104
nan,nan,32768,0.0,0.29239634053083136,0.03125000000582077,0.0,0.0,16,0.00029077868852459015,1000.0,-544.7172052168721,2,3.3007353527818662e-12,12.347574880719185,33.13610219955444
nan,nan,34816,0.0,0.4671590346377343,0.031249999668216333,0.0,0.0,17,0.00029016393442622945,1000.0,-450.05633966261587,2,2.804132886523103e-06,12.775896288454533,34.6125602722168
nan,nan,36864,0.0,0.23786438833922147,0.031249999965075402,0.0,0.0,18,0.00028954918032786885,1000.0,-443.5931671654064,2,1.1582098499211464e-07,20.97390733361244,36.09778714179993
nan,nan,38912,0.0,0.4128627645783126,0.03124999981955625,0.0,0.0,19,0.0002889344262295082,1000.0,-411.95754367966254,2,1.948017338641567e-07,17.381319695711134,37.62881898880005
nan,nan,40960,0.0,0.31178822005167606,0.03124999995343387,0.0,0.0,20,0.00028831967213114755,1000.0,-343.999478866243,2,7.075881878983312e-08,25.040724435448645,39.203880071640015
-278.893961571559,83.12683023347839,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.5552761554718
nan,nan,43008,0.0,0.38734439053805547,0.031249999860301615,0.0,0.0,21,0.00028770491803278684,1000.0,-406.5371734533805,3,1.8912620513660695e-06,16.68785216808319,44.04544997215271
nan,nan,45056,0.0,0.35443509777542204,0.03124999979045242,0.0,0.0,22,0.0002870901639344262,1000.0,-354.85175215940336,2,7.531015403511474e-08,18.917395862936974,45.50612115859985
nan,nan,47104,0.0,0.36920989722711967,0.03124999983701855,0.0,0.0,23,0.00028647540983606554,1000.0,-376.3028631012704,2,4.227105069632315e-12,18.07078874707222,47.01731204986572
nan,nan,49152,0.0,0.28285323730669915,0.03124999976134859,0.0,0.0,24,0.0002858606557377049,1000.0,-428.1309412570473,2,3.949990487537284e-13,25.512263494729996,48.57457208633423
nan,nan,51200,0.0,0.2533229169435799,0.03124999992433004,0.0,0.0,25,0.00028524590163934424,1000.0,-546.7000206502225,2,4.024420283546342e-13,30.9884503275156,50.11220097541809
-239.8311832768684,68.1624643059962,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.82449913024902
nan,nan,53248,0.0,0.3407658833777532,0.031249999930150808,0.0,0.0,26,0.0002846311475409836,1000.0,-423.22157925735314,2,1.5232313122442939e-12,18.284687626361848,55.935715198516846
nan,nan,55296,0.0,0.18398444631602615,0.031249999784631655,0.0,0.0,27,0.00028401639344262294,1000.0,-443.0170597731594,2,4.642776363827841e-13,13.721223981678486,57.458399057388306
nan,nan,57344,0.0,0.4086159071419388,0.031249999796273187,0.0,0.0,28,0.0002834016393442623,1000.0,-456.7107500753958,2,4.311244250933328e-10,16.575161162018777,59.045754194259644
nan,nan,59392,0.0,0.3661806975491345,0.031249999749707057,0.0,0.0,29,0.00028278688524590163,1000.0,-487.2383044974083,2,3.6363501668866685e-06,9.96141950711608,60.68411326408386
nan,nan,61440,0.0,0.29554844892118126,0.031249999767169356,0.0,0.0,30,0.00028217213114754093,1000.0,-475.8917361843787,2,5.013068268478021e-07,27.5119330316782,62.28549814224243
-282.06911601989793,92.4881521856763,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.6939263343811
nan,nan,63488,0.0,0.30809775239322335,0.03124999997089617,0.0,0.0,31,0.0002815573770491803,1000.0,-418.88781553064973,2,1.0393826504180465e-09,23.428733488917352,67.1682960987091
nan,nan,65536,0.0,0.44594973523635417,0.03124999981955625,0.0,0.0,32,0.0002809426229508196,1000.0,-447.3572542602892,2,4.809781683232849e-07,14.373641127347947,68.71564531326294
nan,nan,67584,0.0,0.39356159295421095,0.03124999990686774,0.0,0.0,33,0.00028032786885245903,1000.0,-407.6755765698951,2,1.7009613669112974e-07,18.603213688731195,70.33096814155579
nan,nan,69632,0.0,0.33030703354161234,0.03124999979045242,0.0,0.0,34,0.0002797131147540983,1000.0,-428.3571374679956,2,2.2413608985006638e-07,22.27281233519316,71.89313912391663
nan,nan,71680,0.0,0.3386442485731095,0.03124999981955625,0.0,0.0,35,0.00027909836065573767,1000.0,-475.1520323661646,2,9.244921259739324e-08,19.788192930817605,73.46521806716919
-308.2806622672628,105.0492993476244,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.88546824455261
nan,nan,73728,0.0,0.43637577143963424,0.03124999984866008,0.0,0.0,36,0.000278483606557377,1000.0,-374.6778353020294,2,2.172589955769318e-06,13.416386477649212,78.46461009979248
nan,nan,75776,0.0,0.45150353173958135,0.031249999772990124,0.0,0.0,37,0.00027786885245901637,1000.0,-447.2717379320567,2,2.207716218136092e-06,13.493694361299276,79.9527440071106
nan,nan,77824,0.0,0.40093111370224505,0.031249999633291736,0.0,0.0,38,0.0002772540983606557,1000.0,-475.9069900660174,2,1.1353549142990421e-06,15.5524374127388,81.44197106361389
nan,nan,79872,0.0,0.41252187951467933,0.031249999959254638,0.0,0.0,39,0.00027663934426229507,1000.0,-398.2633494379164,2,3.213442168942382e-08,16.043248307704925,83.08978319168091
nan,nan,81920,0.0,0.3950903380056843,0.031249999871943147,0.0,0.0,40,0.0002760245901639344,1000.0,-378.7036867291385,2,5.946009092646504e-10,17.852804048359395,84.75215005874634
-352.795109345219,80.4201518528169,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.24448418617249
nan,nan,83968,0.0,0.1993603999959305,0.031249999772990124,0.0,0.0,41,0.00027540983606557377,1000.0,-464.9737596227889,2,6.952332021476078e-13,14.803970737755298,89.7549192905426
nan,nan,86016,0.0,0.42375432145781816,0.031249999639112503,0.0,0.0,42,0.0002747950819672131,1000.0,-429.9095343453692,3,1.4073515446351805e-12,17.48583686351776,91.24602699279785
nan,nan,88064,0.0,0.33390612265793607,0.03124999992433004,0.0,0.0,43,0.0002741803278688524,1000.0,-507.79847724264977,2,2.195318341176311e-12,14.65519938468933,92.79327630996704
nan,nan,90112,0.0,0.3682899741688743,0.031249999918509276,0.0,0.0,44,0.00027356557377049176,1000.0,-460.48606421181273,2,3.253761682226292e-07,17.60180767476559,94.28363418579102
-332.5090137913363,99.49595483708029,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.72579097747803
nan,nan,92160,0.0,0.400473675574176,0.031249999901046977,0.0,0.0,45,0.0002729508196721311,1000.0,-403.5735756737211,2,1.7231917036449507e-06,13.580217482149601,99.24458312988281
nan,nan,94208,0.0,0.2964642512961291,0.031249999813735486,0.0,0.0,46,0.00027233606557377046,1000.0,-510.0627214485347,2,2.9160149165256154e-07,24.91221130788326,100.75522112846375
nan,nan,96256,0.0,0.3241853125626221,0.031250000017462295,0.0,0.0,47,0.0002717213114754098,1000.0,-419.61690874073497,2,6.171652295951523e-08,25.665771800279618,102.28464794158936
