eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_2,train/weight_step_3,wall_time
,,2048,0.021386241095751757,0.05976562574505806,0.06191406399011612,0.06162109225988388,0.06376953423023224,0.061767578125,34.23416156768799,1,0.0003,1000.0,-473.0056137991439,2,-0.022436758884578013,16.9601333335042,0.24723906815052032,0.2450496107339859,0.2555443048477173,0.25216707587242126,2.0646750926971436
,,4096,0.01622453736854368,0.03476562350988388,0.03647460788488388,0.04428710788488388,0.04599609225988388,0.040380859375,34.089465248584744,2,0.0002,1000.0,-305.8119027444098,2,-0.021706577780423685,21.986176520586014,0.24525916576385498,0.2466524988412857,0.2555136978626251,0.2525745928287506,4.008285284042358
-262.31296595328314,58.52776956844403,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.008101224899292
nan,nan,6144,0.011132838452613213,0.0224609375,0.02070312574505806,0.02182617224752903,0.02226562425494194,0.02181396484375,33.99220567941666,3,0.0001,1000.0,-417.69092667630855,2,-0.01616500534582883,30.845727464556695,0.24512317776679993,0.24629198014736176,0.2555139362812042,0.2530709505081177,10.398893117904663
