eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.013617172967497027,0.09404297173023224,0.094970703125,0.09560547024011612,0.09335937350988388,0.09449462890625,0.006823660769805428,0.036792449944186956,10.0,34.11079260110855,1,0.0003,1000.0,-454.52685886150084,2,-0.01866360849562625,12.308772872388364,1.983043909072876
,,4096,0.012065614735911367,0.079833984375,0.07768554985523224,0.09531249850988388,0.09262695163488388,0.08636474609375,0.006289124829345382,0.032607637002365665,10.0,34.10013282299042,2,0.0002993852459016393,1000.0,-419.9966199079866,2,-0.01992848829995637,15.744111487269402,3.975698947906494
,,6144,0.017621886310371336,0.12387695163488388,0.12651367485523224,0.11386718600988388,0.13276366889476776,0.12425537109375,0.005350036498566624,0.029343322332715617,10.0,34.128128957748416,3,0.00029877049180327867,1000.0,-385.83497238164614,2,-0.027560051892578485,23.226038536429407,6.000478982925415
,,8192,0.02403959064176888,0.150390625,0.14794921875,0.15478515625,0.162353515625,0.15386962890625,0.005677306302095531,0.03076136300805956,10.0,34.28134961128235,4,0.000298155737704918,1000.0,-484.64713925760515,2,-0.02888313046296389,13.670652556419373,8.066784143447876
,,10240,0.01622070010416792,0.11127929389476776,0.10610351711511612,0.11176757514476776,0.12299804389476776,0.113037109375,0.00526485653972486,0.028740690264385194,10.0,34.1066635966301,5,0.00029754098360655737,1000.0,-461.16502986464843,2,-0.025766148696675373,21.807593259215356,10.131197929382324
-278.21093324038486,31.542471321485184,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.529496192932129
nan,nan,12288,0.023010265931225148,0.14584961533546448,0.16328124701976776,0.14804688096046448,0.14921875298023224,0.15159912109375,0.004873568805487593,0.02584501731034834,10.0,34.28199418783188,6,0.0002969262295081967,1000.0,-396.322080709494,2,-0.0313760213117348,18.33610963523388,15.6198890209198
nan,nan,14336,0.021146321870037354,0.153564453125,0.15678711235523224,0.13754883408546448,0.14174804091453552,0.147412109375,0.004870772424328607,0.025710582808824257,10.0,34.10518375635147,7,0.00029631147540983607,1000.0,-377.01051919336663,2,-0.03073651211125252,24.37109916806221,17.732730865478516
nan,nan,16384,0.02469842893551686,0.162353515625,0.1650390625,0.15976563096046448,0.14814452826976776,0.15882568359375,0.0052433602308155965,0.029238460946362465,10.0,34.13877843618393,8,0.00029569672131147536,1000.0,-517.5338328362608,2,-0.032469860541823437,27.200462025403976,19.845948934555054
nan,nan,18432,0.030409129147301428,0.18393555283546448,0.19301757216453552,0.197265625,0.18295899033546448,0.18929443359375,0.005068762292648898,0.028963450738228858,10.0,34.07177735567093,9,0.0002950819672131147,1000.0,-388.4731311101403,2,-0.03648231873230543,20.83900099992752,21.958068132400513
