eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.0008455507180769928,0.02421874925494194,0.02578124962747097,0.02587890625,0.02431640587747097,0.025048828125,17.52061734199524,0.09732117503881454,0.1002381220459938,0.10155874490737915,0.10049811750650406,1,0.004744272213429213,0.005032686982303858,0.005164703819900751,0.005058336537331343,0.0003,1000.0,-324.41246517249556,2,-0.0029796895571053026,19.40912983417511,0.9018423557281494
,,4096,0.0006632255841395818,0.01894531212747097,0.01894531212747097,0.02001953125,0.01914062537252903,0.0192626953125,17.388790941238405,0.09697958827018738,0.10207732766866684,0.10037001222372055,0.10013828426599503,2,0.00471214484423399,0.005218966864049435,0.005045207217335701,0.0050236801616847515,0.00023999999999999998,1000.0,-341.50758183501523,2,-0.0027728341054171326,28.788608837127686,1.816521167755127
-280.7250175077192,84.01269247320427,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.009657144546509
nan,nan,6144,0.0009781885048141703,0.04013671725988388,0.03828125074505806,0.03867187350988388,0.04013671725988388,0.039306640625,17.318087530136108,0.0961688905954361,0.09941594302654266,0.1009233221411705,0.10308357328176498,3,0.004630666691809893,0.004949529189616442,0.005099342670291662,0.005320461466908455,0.00017999999999999998,1000.0,-306.6644297954698,2,-0.003229535627178848,13.46154339313507,5.9228479862213135
nan,nan,8192,0.0007086375931976363,0.01806640625,0.01972656324505806,0.01914062537252903,0.02031249925494194,0.0193115234375,17.547076749801636,0.09821663796901703,0.10028157383203506,0.09998330473899841,0.1011824831366539,4,0.004831706639379263,0.005034587346017361,0.005007960833609104,0.005125745199620724,0.00011999999999999999,1000.0,-305.2526940419366,2,-0.0018902662442997098,12.184200334548951,6.836549282073975
-286.03516482705396,69.9913463613884,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.070898294448853
nan,nan,10240,0.0003106469273916446,0.004199218936264515,0.0049804686568677425,0.00439453125,0.00537109375,0.004736328125,17.429132080078126,0.09392505884170532,0.10027468204498291,0.10380276292562485,0.10142402350902557,5,0.004417856223881245,0.005032661836594343,0.0053965686820447445,0.0051529123447835445,5.999999999999998e-05,1000.0,-367.145486175168,2,-0.0013854865683242679,23.907993030548095,10.937228202819824
