eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.04545671903833863,0.12993164360523224,0.13017578423023224,0.13930663466453552,0.13984374701976776,0.150390625,0.14404296875,0.15249022841453552,0.15834960341453552,0.14306640625,68.6320194721222,10,0.00029446721311475406,1000.0,-409.3229318330767,2,-0.03251467983936891,11.219462983310223,54.58383274078369
-286.00361437234426,49.659308907134,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.41290497779846
nan,nan,22528,0.02880842226877576,0.074462890625,0.08027343451976776,0.07275390625,0.07944335788488388,0.09550781548023224,0.08608398586511612,0.10468749701976776,0.09072265774011612,0.085491943359375,68.40047061443329,11,0.0002938524590163934,1000.0,-503.828662565712,2,-0.0295858829485951,23.269344681501387,68.08623480796814
nan,nan,24576,0.04735843053858844,0.11708984524011612,0.14111328125,0.14511719346046448,0.14638671278953552,0.15458984673023224,0.16069336235523224,0.16650390625,0.177001953125,0.15106201171875,68.43860378265381,12,0.00029323770491803276,1000.0,-394.30431543147677,2,-0.03422896713891532,15.018630386888981,72.03062105178833
nan,nan,26624,0.042430822523965614,0.11577148735523224,0.12236328423023224,0.12685546278953552,0.12758788466453552,0.1435546875,0.14438477158546448,0.13872070610523224,0.15302734076976776,0.134033203125,68.42864027023316,13,0.0002926229508196721,1000.0,-469.90779358267423,2,-0.034899328064057045,16.396358208358286,76.42169713973999
nan,nan,28672,0.046781910396020976,0.12910155951976776,0.13032226264476776,0.135009765625,0.14208984375,0.161865234375,0.16928711533546448,0.16005858778953552,0.16293945908546448,0.148834228515625,68.35432541370392,14,0.00029200819672131145,1000.0,-363.0664395530763,2,-0.03723424357594922,12.838373157382012,81.40736174583435
nan,nan,30720,0.05049057360374718,0.14506836235523224,0.14638671278953552,0.1484375,0.15361328423023224,0.171875,0.17255859076976776,0.17348632216453552,0.16342774033546448,0.159356689453125,68.53277809619904,15,0.0002913934426229508,1000.0,-309.3392495827044,2,-0.03617720990732778,10.540006107091903,85.53375482559204
-285.0503168341512,48.249955568615654,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94.74958896636963
nan,nan,32768,0.03126962996684597,0.084716796875,0.083984375,0.08754882961511612,0.091796875,0.10405273735523224,0.11225585639476776,0.105224609375,0.10249023139476776,0.0965087890625,68.32968831062317,16,0.00029077868852459015,1000.0,-345.94255108188116,2,-0.03021625057444908,19.397787709534168,98.48834276199341
nan,nan,34816,0.03587824924288725,0.09848632663488388,0.09565429389476776,0.10000000149011612,0.10664062201976776,0.12446288764476776,0.1279296875,0.1279296875,0.11796875298023224,0.112384033203125,68.4396178483963,17,0.00029016393442622945,1000.0,-336.4579518444391,2,-0.03751933716703206,11.320964761078358,103.89029002189636
nan,nan,36864,0.042616854053630956,0.12138672173023224,0.11787109076976776,0.12187500298023224,0.12666015326976776,0.13681641221046448,0.14741210639476776,0.14614257216453552,0.14995117485523224,0.133514404296875,68.40644567012787,18,0.00028954918032786885,1000.0,-407.76746907018816,2,-0.036356221203459424,10.1175299115479,108.97620582580566
nan,nan,38912,0.06507110488018952,0.17578125,0.18178710341453552,0.18208007514476776,0.19189453125,0.21157225966453552,0.218994140625,0.21640625596046448,0.21728515625,0.19947509765625,68.87776908874511,19,0.0002889344262295082,1000.0,-351.5195169298221,2,-0.0370361571374815,8.702300609648228,112.58158802986145
nan,nan,40960,0.0423465777959791,0.11874999850988388,0.11445312201976776,0.12539061903953552,0.14506836235523224,0.15043945610523224,0.14409179985523224,0.14057616889476776,0.14726562798023224,0.13575439453125,68.3861822128296,20,0.00028831967213114755,1000.0,-283.03619097185174,2,-0.038974551561113915,10.991202682256699,117.44568395614624
-244.0758405648183,24.415557824216517,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.86832690238953
nan,nan,43008,0.04632766554022964,0.13481445610523224,0.132080078125,0.13271483778953552,0.14794921875,0.15693359076976776,0.15493163466453552,0.16147461533546448,0.16420897841453552,0.148138427734375,68.54522511959075,21,0.00028770491803278684,1000.0,-328.4907691880891,3,-0.04098935457295738,9.43549599274993,129.3765320777893
nan,nan,45056,0.059105298185022546,0.163818359375,0.162841796875,0.16289062798023224,0.17304687201976776,0.19326171278953552,0.19736328721046448,0.20644530653953552,0.19829101860523224,0.182244873046875,68.62260704040527,22,0.0002870901639344262,1000.0,-352.7999248745907,2,-0.03931141796347219,8.791716396808624,132.83520698547363
nan,nan,47104,0.06247695116508112,0.17807617783546448,0.16943359375,0.17729492485523224,0.18071289360523224,0.20371094346046448,0.22382812201976776,0.22475585341453552,0.223388671875,0.197650146484375,68.45481624603272,23,0.00028647540983606554,1000.0,-311.4107156894386,2,-0.04058952524792403,8.221985136717558,136.40754890441895
nan,nan,49152,0.05323234650059021,0.14213867485523224,0.14643554389476776,0.15546874701976776,0.15708008408546448,0.17753906548023224,0.19160155951976776,0.18735352158546448,0.19023437798023224,0.1684814453125,68.52997872829437,24,0.0002858606557377049,1000.0,-251.85003742407451,2,-0.03901974645850714,9.786119958013296,139.62761402130127
nan,nan,51200,0.04609483627718873,0.13447265326976776,0.12055663764476776,0.12641601264476776,0.132568359375,0.15664061903953552,0.16611328721046448,0.16572265326976776,0.17060546576976776,0.146636962890625,68.52927882671356,25,0.00028524590163934424,1000.0,-295.55271974498544,2,-0.04329238339269068,13.010332244634629,142.86818194389343
-173.85759440973226,47.23198056019524,51200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150.6267499923706
nan,nan,53248,0.04324857722203888,0.11469726264476776,0.11337890475988388,0.11508788913488388,0.13784179091453552,0.15170899033546448,0.16108398139476776,0.15234375,0.14389649033546448,0.1362548828125,68.42591915130615,26,0.0002846311475409836,1000.0,-276.1699163459112,2,-0.039703245589043944,16.933073396980763,153.85035300254822
nan,nan,55296,0.05265547804447124,0.14316406846046448,0.13608399033546448,0.137939453125,0.15317383408546448,0.17148438096046448,0.18208007514476776,0.192138671875,0.18344727158546448,0.16243896484375,68.57383840084076,27,0.00028401639344262294,1000.0,-239.10855790004808,2,-0.037700067725381814,12.487335008382797,157.13585805892944
nan,nan,57344,0.06756489398539997,0.18833008408546448,0.17919921875,0.18520507216453552,0.20366211235523224,0.22832031548023224,0.22001953423023224,0.23427733778953552,0.21894530951976776,0.207244873046875,68.70806274414062,28,0.0002834016393442623,1000.0,-254.53958423106164,2,-0.04183484933746513,9.296741752326488,160.80914092063904
nan,nan,59392,0.06688409631933609,0.172607421875,0.17783203721046448,0.18022461235523224,0.208740234375,0.22602538764476776,0.22724609076976776,0.24223633110523224,0.21572265028953552,0.206329345703125,68.80653789043427,29,0.00028278688524590163,1000.0,-296.74728005408815,2,-0.04128643192234449,8.378701481223107,164.27598905563354
nan,nan,61440,0.0785765015600191,0.197021484375,0.20209960639476776,0.20688477158546448,0.22260741889476776,0.25297850370407104,0.2667480409145355,0.25385743379592896,0.256591796875,0.2323486328125,68.71602132320405,30,0.00028217213114754093,1000.0,-195.58978117263845,2,-0.04082640771521255,8.958924786746502,167.66537404060364
-112.5470323078952,69.01328886352739,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175.05267786979675
nan,nan,63488,0.05304391431600379,0.14370116591453552,0.14609375596046448,0.15200194716453552,0.16884765028953552,0.18647460639476776,0.18154296278953552,0.19072265923023224,0.17583008110523224,0.16815185546875,68.61919748783112,31,0.0002815573770491803,1000.0,-220.17312413682168,2,-0.04341213203442749,14.088931237161159,178.81840896606445
