eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,53248,0.04087600865532295,0.12958984076976776,0.13041992485523224,0.12675781548023224,0.12856444716453552,0.1288330078125,34.10747504234314,0.4658943949267268,26,0.0002846311475409836,1000.0,-340.0788890490994,2,-0.055957024337840264,21.780063384771346,74.78955006599426
nan,nan,55296,0.053021471339161505,0.16230468451976776,0.16630859673023224,0.16972656548023224,0.16982421278953552,0.167041015625,34.2631911277771,0.4281244314741343,27,0.00028401639344262294,1000.0,-374.61019612312947,2,-0.03574996000097599,12.3493333786726,77.84012389183044
nan,nan,57344,0.041397779971157435,0.12841796875,0.13198241591453552,0.12338867038488388,0.12490234524011612,0.1271728515625,34.39887992143631,0.317324173822999,28,0.0002834016393442623,1000.0,-385.54837752518665,2,-0.04824894401535858,15.109330317378044,80.39650106430054
nan,nan,59392,0.05188015353633091,0.151123046875,0.16508789360523224,0.1669921875,0.17031249403953552,0.16337890625,34.30648752450943,0.4505970554891974,29,0.00028278688524590163,1000.0,-378.7861202744322,2,-0.05011514573561726,13.989740897715091,82.73332095146179
nan,nan,61440,0.04150145270032226,0.13344725966453552,0.12744140625,0.13149413466453552,0.12890625,0.130322265625,34.24539202451706,0.3666575081180781,30,0.00028217213114754093,1000.0,-575.9461074644796,2,-0.049048338894499464,25.16624184846878,84.89512300491333
-305.86140343906686,66.75870833379834,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.48169612884521
nan,nan,63488,0.07247423661174253,0.21127930283546448,0.21967773139476776,0.215576171875,0.22246094048023224,0.21724853515625,34.417486345767976,0.41137987659312786,31,0.0002815573770491803,1000.0,-430.2180422902377,2,-0.037395489192567764,12.292040431499482,90.81168603897095
nan,nan,65536,0.07355492716742447,0.22724609076976776,0.22377929091453552,0.21835938096046448,0.224853515625,0.2235595703125,34.48695247173309,0.41807263446971776,32,0.0002809426229508196,1000.0,-445.24471680787076,2,-0.0446011644351529,10.80703870356083,93.19981813430786
nan,nan,67584,0.0379015394304588,0.11874999850988388,0.11650390923023224,0.11435546725988388,0.12309570610523224,0.11817626953125,34.14069223403931,0.46470433813519774,33,0.00028032786885245903,1000.0,-462.4485418066422,2,-0.04600385601661401,21.12816015034914,95.47697424888611
nan,nan,69632,0.048049842547334264,0.154296875,0.15439453721046448,0.14443358778953552,0.152099609375,0.15130615234375,34.328263664245604,0.448230820056051,34,0.0002797131147540983,1000.0,-455.8680573118921,2,-0.05194669257325586,17.70782603174448,97.6778838634491
