eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_10,train/weight_step_11,train/weight_step_12,train/weight_step_13,train/weight_step_14,train/weight_step_15,train/weight_step_2,train/weight_step_3,train/weight_step_4,train/weight_step_5,train/weight_step_6,train/weight_step_7,train/weight_step_8,train/weight_step_9,wall_time
nan,nan,20480,0.010307506209392159,0.00888671912252903,0.00869140587747097,0.02187499962747097,0.02192382887005806,0.02260742150247097,0.026611328125,0.03325195237994194,0.03652343899011612,0.00839843787252903,0.01059570349752903,0.008105468936264515,0.010009765625,0.013867187313735485,0.012500000186264515,0.015332031063735485,0.01972656324505806,0.017431640625,68.3358188867569,10,0.00029446721311475406,111.05555555555556,190.40248426126732,18,-0.004239623437752016,16.659209825843572,0.05960508808493614,0.06113777682185173,0.06632880866527557,0.06379871070384979,0.06289132684469223,0.062029819935560226,0.06729569286108017,0.06308584660291672,0.060770850628614426,0.061717111617326736,0.06186198443174362,0.06281104683876038,0.06233673542737961,0.06014767289161682,0.05961710587143898,0.06456437706947327,46.755773067474365
201.3324051375919,7.754296692895935,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.19414496421814
nan,nan,22528,0.01503996235805971,0.02348632737994194,0.02285156212747097,0.05014648288488388,0.04033203050494194,0.03828125074505806,0.03647460788488388,0.04775390774011612,0.05615234375,0.02275390550494194,0.02851562574505806,0.02773437462747097,0.02387695387005806,0.02817382849752903,0.03188476711511612,0.03603515774011612,0.03671874850988388,0.0344482421875,68.29265594482422,11,0.0002938524590163934,114.05555555555556,195.67075709277822,18,-0.00370784018014092,2.4081843845546245,0.05855787545442581,0.06029995158314705,0.06669855862855911,0.06383200734853745,0.06190994381904602,0.06254447996616364,0.0675901249051094,0.0643632709980011,0.061224617063999176,0.06039383262395859,0.06321582943201065,0.06106259673833847,0.06285260617733002,0.059636782854795456,0.06057792529463768,0.06523957848548889,52.853662967681885
nan,nan,24576,0.010142555777929375,0.01689453050494194,0.021240234375,0.01064453087747097,0.014208984561264515,0.015576171688735485,0.0166015625,0.01601562462747097,0.013916015625,0.01816406287252903,0.01479492150247097,0.01357421837747097,0.01743164099752903,0.01840820349752903,0.01767578162252903,0.017333984375,0.01157226599752903,0.0158782958984375,68.2836730003357,12,0.00029323770491803276,92.17391304347827,164.55232068428285,23,-0.003639528635540046,29.970642241835595,0.058480650186538696,0.05994872376322746,0.06657437980175018,0.063681960105896,0.062176063656806946,0.06236503645777702,0.06756869703531265,0.06378395110368729,0.06120783090591431,0.06024997681379318,0.06333670765161514,0.06106606125831604,0.06338278204202652,0.060120660811662674,0.06066097691655159,0.06539563089609146,57.49199080467224
nan,nan,26624,0.011599557378031023,0.01669921912252903,0.01938476599752903,0.02490234375,0.02290039137005806,0.02456054650247097,0.02504882775247097,0.028076171875,0.02675781212747097,0.01909179612994194,0.01958007737994194,0.02001953125,0.02177734300494194,0.02089843712747097,0.02460937574505806,0.02460937574505806,0.02358398400247097,0.02265625,68.35831582546234,13,0.0002926229508196721,105.3157894736842,189.10682906482475,19,-0.004566749595687725,3.4166439060121774,0.05826173350214958,0.06014992296695709,0.06609173119068146,0.06370966136455536,0.06222778558731079,0.06166789308190346,0.06792557239532471,0.06356984376907349,0.061586081981658936,0.06001012399792671,0.06445883959531784,0.060665857046842575,0.06246846914291382,0.0602889284491539,0.06213914975523949,0.06477832049131393,62.139829874038696
nan,nan,28672,0.013722324777882022,0.01220703125,0.01025390625,0.029296875,0.03852539137005806,0.04560546949505806,0.04824218899011612,0.04965820163488388,0.05473632737994194,0.010302734561264515,0.014111327938735485,0.013671875,0.01904296875,0.018798828125,0.02294921875,0.029296875,0.03544921800494194,0.02825927734375,68.30322563648224,14,0.00029200819672131145,109.52631578947368,194.37619130903434,19,-0.005242924796766602,23.01719150543213,0.05848989263176918,0.059645313769578934,0.06613469868898392,0.06476221233606339,0.06256818026304245,0.061601586639881134,0.06856350600719452,0.06459270417690277,0.0602998286485672,0.05981988087296486,0.06366980075836182,0.06101692095398903,0.062494855374097824,0.05991513282060623,0.06177949905395508,0.06464593857526779,66.82343101501465
nan,nan,30720,0.010489009056254873,0.006884765811264515,0.00732421875,0.02744140662252903,0.02255859412252903,0.02202148362994194,0.01723632775247097,0.01806640625,0.01523437537252903,0.00888671912252903,0.01132812537252903,0.01591796800494194,0.015625,0.01235351525247097,0.01689453050494194,0.02290039137005806,0.02485351637005806,0.016595458984375,68.30712027549744,15,0.0002913934426229508,113.94444444444444,183.0425828576994,18,-0.003885542321950197,48.46578592956066,0.05801554396748543,0.06026444956660271,0.06665418297052383,0.0648157149553299,0.06299614161252975,0.06151349097490311,0.0680321455001831,0.06493929773569107,0.0602104589343071,0.05972723290324211,0.06342404335737228,0.06063998490571976,0.06241614371538162,0.0601273775100708,0.061799559742212296,0.06442424654960632,71.79014682769775
179.1656852633511,7.165195041906145,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.00220513343811
nan,nan,32768,0.013837738839538361,0.02651367150247097,0.02812499925494194,0.03041992150247097,0.03164062649011612,0.029541015625,0.02900390699505806,0.03315429762005806,0.0439453125,0.02333984337747097,0.02504882775247097,0.02817382849752903,0.02597656287252903,0.02763671800494194,0.03256835788488388,0.02827148512005806,0.03076171875,0.029632568359375,68.3606288433075,16,0.00029077868852459015,104.52631578947368,194.40027096046637,19,-0.005119953426765278,3.6227109909057615,0.05940898507833481,0.060188181698322296,0.06723359227180481,0.06372807174921036,0.06151591241359711,0.06176292896270752,0.06863155215978622,0.06472055613994598,0.062222644686698914,0.0597352497279644,0.06433644145727158,0.05872611328959465,0.06181884929537773,0.061708465218544006,0.0603180006146431,0.0639444962143898,77.67253804206848
nan,nan,34816,0.01272248418226809,0.013232422061264515,0.013232422061264515,0.02167968824505806,0.03237304836511612,0.02998046949505806,0.03061523474752903,0.03017578087747097,0.02944335900247097,0.01284179650247097,0.013378906063735485,0.01328125037252903,0.0146484375,0.01801757887005806,0.02358398400247097,0.02153320237994194,0.02041015587747097,0.0211517333984375,68.35639297962189,17,0.00029016393442622945,104.3,172.54385271462948,20,-0.004412746263551526,64.02896454036235,0.060263875871896744,0.06015956029295921,0.06665847450494766,0.06385175883769989,0.06168970838189125,0.06156622990965843,0.06854082643985748,0.06457047164440155,0.06234461069107056,0.059573642909526825,0.06444141268730164,0.05838744342327118,0.06182778254151344,0.06203913688659668,0.060297515243291855,0.0637875571846962,82.46659588813782
