eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.464027150113543,0.598583996295929,0.548535168170929,0.30864256620407104,0.15468749403953552,0.4026123046875,2.5426656050978638,13.687725998061069,0.01,35.90508141517639,1,0.0003,1000.0,-454.52685886150084,2,-1.5775707382315887,12.338232912123203,1.8116459846496582
,,4096,0.0262856427783845,0.12587890028953552,0.17812499403953552,0.18764647841453552,0.16391602158546448,0.1638916015625,1.60995663870126,9.08174535036087,0.01,34.15720204114914,2,0.0002,1000.0,-645.7293709845578,2,-0.1721592082758434,17.816975079476833,3.5124809741973877
-589.762544349445,22.085793463684087,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.7143800258636475
nan,nan,6144,0.015298209156026133,0.10322265326976776,0.13261719048023224,0.11733398586511612,0.09189452975988388,0.11126708984375,2.1360669650137423,11.165978471934796,0.01,34.12546076774597,3,0.0001,1000.0,-545.9122160327937,2,-0.14021468448918312,17.146420277655125,8.435978889465332
