eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/intra_vf_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.014547076429516892,0.03193359449505806,0.03647460788488388,0.03706054762005806,0.037353515625,0.03530273586511612,0.03662109375,0.03281249850988388,0.03691406175494194,0.03555908203125,68.15291013717652,0.5026482519693672,1,0.0003,1000.0,-490.6477598456707,2,-0.10300978255545487,27.024814230203628,8.58380389213562
,,4096,0.02103150728617038,0.04648437350988388,0.05781250074505806,0.05624999850988388,0.05253906175494194,0.0595703125,0.062255859375,0.06513671576976776,0.0615234375,0.057696533203125,68.25144309997559,0.5073433754965663,2,0.00023999999999999998,1000.0,-550.3022094869368,2,-0.14506025989539922,12.709552216529847,16.775509119033813
-321.4251930190427,144.05050824516655,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.616814136505127
nan,nan,6144,0.021754262898321032,0.05170898512005806,0.04628906399011612,0.06025390699505806,0.05815429612994194,0.06284179538488388,0.06499023735523224,0.064453125,0.06572265923023224,0.0593017578125,68.23863065242767,0.5258123179897666,3,0.00017999999999999998,1000.0,-555.9116544970399,2,-0.10704101888113655,11.281879986822606,34.722238063812256
nan,nan,8192,0.01350163346833142,0.02841796912252903,0.02958984300494194,0.03378906100988388,0.030029296875,0.029052734375,0.03310547024011612,0.02851562574505806,0.033935546875,0.030804443359375,68.06180353164673,0.5357297973707318,4,0.00011999999999999999,1000.0,-477.4877772277242,2,-0.08390836890030187,14.84239415973425,42.87467384338379
-394.4715616335288,100.41145127496303,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.63387608528137
nan,nan,10240,0.010293936908783507,0.015185547061264515,0.02041015587747097,0.01665038987994194,0.02280273474752903,0.01689453050494194,0.02260742150247097,0.02250976487994194,0.02651367150247097,0.02044677734375,68.37521374225616,0.5321738422848284,5,5.999999999999998e-05,1000.0,-518.7604984554572,2,-0.04293208623421378,14.540916033089161,59.46694993972778
