eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.22947906224580947,0.14506836235523224,0.35673826932907104,0.53076171875,0.517382800579071,0.38748779296875,10.378087720274925,61.20647297501564,34.42371244430542,10,0.00029446721311475406,1000.0,-413.38603282512787,2,-1.944411436468363,19.747829136252403,23.77047300338745
-286.2603425226088,11.816982889281519,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.271495819091797
nan,nan,22528,0.2568771281192312,0.15478515625,0.3890136778354645,0.533740222454071,0.52099609375,0.3996337890625,10.271876421570777,54.50148338675499,34.56545211076737,11,0.0002938524590163934,1000.0,-407.23750060326023,2,-2.0094953161664306,13.858348116278648,29.26870894432068
nan,nan,24576,0.3558732425008202,0.16616210341453552,0.4214843809604645,0.579296886920929,0.5774902105331421,0.4361083984375,11.160467560589314,63.474446737766264,34.61876457929611,12,0.00029323770491803276,1000.0,-461.26120258437635,2,-1.973168670013547,11.344256876409053,31.337580680847168
nan,nan,26624,0.4022016345028533,0.163330078125,0.43437498807907104,0.617919921875,0.612548828125,0.45704345703125,11.460660223662853,67.27343389987945,34.66535139083862,13,0.0002926229508196721,1000.0,-557.1128417176624,2,-2.196168901771307,13.454919922351838,33.42889094352722
nan,nan,28672,0.4600870944617782,0.1640625,0.440673828125,0.6062988042831421,0.611572265625,0.45565185546875,11.251245413720607,64.94306099414825,34.64338465929031,14,0.00029200819672131145,1000.0,-349.3307698302623,2,-1.8212354889139533,16.036286206543444,35.5167670249939
nan,nan,30720,0.49318286455236376,0.17265625298023224,0.431640625,0.639697253704071,0.6363769769668579,0.4700927734375,12.189502945542335,62.914005023241046,34.85153132677078,15,0.0002913934426229508,1000.0,-496.4975431744979,2,-2.440293937548995,15.388716250658035,37.60885572433472
-317.20148244483346,31.54827294889318,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.121020793914795
nan,nan,32768,4.487254173713154,0.16000977158546448,0.543749988079071,0.8004394769668579,0.837939441204071,0.58553466796875,15.87442605495453,86.16576817035676,39.27266416549683,16,0.00029077868852459015,1000.0,-443.0144994943589,2,-3.933289110288024,16.764622341096402,43.135305881500244
nan,nan,34816,1.3857502901286352,0.12729492783546448,0.443603515625,0.6553710699081421,0.74267578125,0.492236328125,14.938833129405975,86.8053408741951,35.86014642715454,17,0.00029016393442622945,1000.0,-351.19274774718747,2,-0.7068071201443672,9.262233213335275,45.23250889778137
