eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.05144269817974419,0.055419921875,0.13735350966453552,0.19384765625,0.18833008408546448,0.14373779296875,1.5911529110480842,8.569444887062128,34.10172064304352,1,0.0003,1000.0,-454.52685886150084,2,-0.35574054950338907,12.32045674622059,1.813162088394165
,,4096,0.06476380082895047,0.02500000037252903,0.18666991591453552,0.28803712129592896,0.2506347596645355,0.18758544921875,4.5749197117984295,25.14000989496708,34.12774243354797,2,0.0002,1000.0,-479.8937820442516,2,-0.8493349779397249,32.00821325778961,3.6896231174468994
-244.69968936126799,75.9668824982723,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.841039180755615
nan,nan,6144,0.05604996436741203,0.01630859449505806,0.16708984971046448,0.26249998807907104,0.21767577528953552,0.1658935546875,5.037979867309332,26.15530459880829,34.11601943969727,3,0.0001,1000.0,-445.4545336610395,2,-0.7931376109831035,17.465869665145874,8.708518981933594
