eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.019865111860781326,0.05131835862994194,0.05292968824505806,0.0517578125,0.05839843675494194,0.05800781399011612,0.05742187425494194,0.06088867038488388,0.0537109375,0.05555419921875,68.22216625213623,1,0.0003,1000.0,-388.6974355067765,2,-0.01019370086287381,13.089904735982419,2.4572160243988037
,,4096,0.017127002635970712,0.03627929836511612,0.03901367262005806,0.04013671725988388,0.03720702975988388,0.041259765625,0.04047851637005806,0.04423828050494194,0.04335937649011612,0.04024658203125,68.18950276374817,2,0.0002993852459016393,1000.0,-555.2274771409238,2,-0.013183380171540193,24.554671986401083,4.928850889205933
,,6144,0.028828514104679924,0.077880859375,0.08208008110523224,0.08095703274011612,0.08037109673023224,0.09042968600988388,0.08935546875,0.098876953125,0.09360351413488388,0.0866943359375,68.29584164619446,3,0.00029877049180327867,1000.0,-495.1673155942467,2,-0.017331853152427357,14.97036474943161,7.387934923171997
,,8192,0.04106420405150857,0.11474609375,0.13422851264476776,0.12226562201976776,0.12700195610523224,0.12539061903953552,0.13056640326976776,0.13349609076976776,0.13188476860523224,0.127447509765625,68.47793626785278,4,0.000298155737704918,1000.0,-416.3544835522081,2,-0.019046203009202144,13.538607646524905,9.847795009613037
,,10240,0.046165371143797526,0.13461914658546448,0.12690429389476776,0.14248046278953552,0.13530273735523224,0.151611328125,0.15751953423023224,0.15473632514476776,0.15268555283546448,0.144482421875,68.48170697689056,5,0.00029754098360655737,1000.0,-403.0305116698505,2,-0.02146713438560255,10.923639699816704,12.409332990646362
-349.7437670561684,66.28607224059178,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.241285800933838
nan,nan,12288,0.036705807250837094,0.10849609225988388,0.10791015625,0.11020507663488388,0.1025390625,0.10688476264476776,0.10981445014476776,0.11147461086511612,0.11386718600988388,0.10889892578125,68.44439976215362,6,0.0002969262295081967,1000.0,-567.8220012906851,2,-0.019675054372055457,14.673595738410949,20.771984815597534
nan,nan,14336,4.351091061422631,0.580810546875,0.579638659954071,0.590039074420929,0.584667980670929,0.5975586175918579,0.589111328125,0.593212902545929,0.587695300579071,0.587841796875,161.07776443958284,7,0.00029631147540983607,1000.0,-481.00229621263884,2,0.02130500321800355,10.675343142449856,23.40938091278076
nan,nan,16384,0.09974075716127118,0.22700195014476776,0.213134765625,0.21513672173023224,0.201416015625,0.20795898139476776,0.2001953125,0.20698241889476776,0.19482421875,0.208331298828125,68.86195757389069,8,0.00029569672131147536,1000.0,-471.77585787806026,2,-0.008937815789249726,14.432354494929314,25.941545009613037
nan,nan,18432,0.06015442952848389,0.17661133408546448,0.16538086533546448,0.15629883110523224,0.16606445610523224,0.15458984673023224,0.14790038764476776,0.146240234375,0.14736327528953552,0.15755615234375,68.71794059276581,9,0.0002950819672131147,1000.0,-495.25410869924485,2,-0.014497573112021201,19.386112317442894,28.511695861816406
nan,nan,20480,0.8873292491734901,0.457275390625,0.44013673067092896,0.431396484375,0.41650390625,0.4115234315395355,0.3975585997104645,0.3939453065395355,0.39111328125,0.417431640625,75.45878965854645,10,0.00029446721311475406,1000.0,-511.7791878660203,2,0.008624553986010142,15.112817591428756,31.138434886932373
-273.0287175914258,69.28269187280468,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.16101574897766
nan,nan,22528,0.6880640338364173,0.3763183653354645,0.35673826932907104,0.3478027284145355,0.3316894471645355,0.31669920682907104,0.32568359375,0.3309570252895355,0.3350585997104645,0.340118408203125,74.1813372373581,11,0.0002938524590163934,1000.0,-396.9436764283223,2,-0.0018186304601840674,16.575823560357094,39.727972745895386
nan,nan,24576,0.03730426026704663,0.12319336086511612,0.1142578125,0.10185547173023224,0.1064453125,0.09516601264476776,0.10722656548023224,0.10595703125,0.100830078125,0.106866455078125,68.33664681911469,12,0.00029323770491803276,1000.0,-458.796486747263,2,-0.017805147568287792,19.260916057229043,42.29966378211975
nan,nan,26624,0.04025448144129769,0.13115234673023224,0.11884765326976776,0.11508788913488388,0.11386718600988388,0.11777343600988388,0.11445312201976776,0.10942383110523224,0.121826171875,0.117803955078125,68.40516066551208,13,0.0002926229508196721,1000.0,-288.57680199782266,2,-0.01864286156487651,14.98896277397871,44.883081912994385
nan,nan,28672,0.3877008289855439,0.3768066465854645,0.34687501192092896,0.3492675721645355,0.3291992247104645,0.33955079317092896,0.33515626192092896,0.3313964903354645,0.33295899629592896,0.3426513671875,71.3360969543457,14,0.00029200819672131145,1000.0,-428.08967012159235,2,-0.008033344781142659,16.393171598017215,47.49399185180664
nan,nan,30720,0.06333821555163013,0.206787109375,0.17695312201976776,0.16411133110523224,0.14580078423023224,0.151123046875,0.15639647841453552,0.15180663764476776,0.15678711235523224,0.163720703125,68.6017728805542,15,0.0002913934426229508,1000.0,-309.65078864139167,2,-0.018954500381369144,20.879920774698256,50.103394746780396
