eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/weight_step_0,train/weight_step_1,train/weight_step_2,train/weight_step_3,train/weight_step_4,train/weight_step_5,train/weight_step_6,train/weight_step_7,wall_time
,,2048,0.014635882060611038,0.03334961086511612,0.03388671949505806,0.03388671949505806,0.03759765625,0.040771484375,0.0400390625,0.04360351711511612,0.03569335862994194,0.037353515625,68.18169164657593,1,0.0003,1000.0,-388.6974355067765,2,-0.011494602262973785,13.089900115132332,0.12407048791646957,0.12667106091976166,0.12234195321798325,0.12532959878444672,0.12569035589694977,0.12908053398132324,0.12186717987060547,0.12494879215955734,4.897847890853882
,,4096,0.01584013647734537,0.03129882737994194,0.03413086012005806,0.03007812425494194,0.03378906100988388,0.04130859300494194,0.03754882887005806,0.03515625,0.04233398288488388,0.03570556640625,68.17572410106659,2,0.0002993852459016393,1000.0,-509.0089433999883,2,-0.014530924992868677,22.962519788742064,0.1236848384141922,0.12717251479625702,0.12032020092010498,0.1263502836227417,0.1252683699131012,0.12966793775558472,0.12173273414373398,0.1258031725883484,10.356225967407227
,,6144,0.029355240552831674,0.08124999701976776,0.08261718600988388,0.08706054836511612,0.07729492336511612,0.08925781399011612,0.09028320014476776,0.09833984076976776,0.09116210788488388,0.087158203125,68.3285019159317,3,0.00029877049180327867,1000.0,-481.03027114926624,2,-0.02318011535098776,9.666284182667733,0.12542474269866943,0.1262965053319931,0.11782891303300858,0.12524327635765076,0.12286422401666641,0.1311465948820114,0.12388276308774948,0.1273130178451538,15.99638295173645
,,8192,0.018379860997811193,0.03691406175494194,0.04775390774011612,0.04291992262005806,0.04819335788488388,0.04575195163488388,0.048095703125,0.05439453199505806,0.05302734300494194,0.04713134765625,68.25270366668701,4,0.000298155737704918,1000.0,-465.2513138531392,2,-0.019713988037256058,16.639440500736235,0.1242857426404953,0.12545263767242432,0.11888681352138519,0.12492187321186066,0.12334029376506805,0.13160686194896698,0.12327026575803757,0.12823550403118134,19.78961992263794
,,10240,0.020561792879379936,0.05502929538488388,0.05810546875,0.05605468899011612,0.0498046875,0.05771484225988388,0.05283202975988388,0.06074218824505806,0.06181640550494194,0.056512451171875,68.23109848499298,5,0.00029754098360655737,1000.0,-561.2864092600248,2,-0.021895517318625934,17.120300067961217,0.12392698228359222,0.12551738321781158,0.11794881522655487,0.12542976438999176,0.12327444553375244,0.13103003799915314,0.1232868880033493,0.12958568334579468,24.059802770614624
-351.457229071542,62.80159296979622,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.696446895599365
nan,nan,12288,0.02711664994894818,0.07343749701976776,0.08134765923023224,0.08090820163488388,0.07744140923023224,0.08173827826976776,0.08647461235523224,0.08525390923023224,0.0927734375,0.082421875,68.35099363327026,6,0.0002969262295081967,1000.0,-523.453754660395,2,-0.02468771337007638,14.110058967769145,0.12308133393526077,0.12518125772476196,0.1171271950006485,0.12625651061534882,0.12222016602754593,0.13180656731128693,0.1243061050772667,0.130020871758461,38.26728582382202
nan,nan,14336,0.028473966585079325,0.08085937798023224,0.08242187649011612,0.07841797173023224,0.08095703274011612,0.08574219048023224,0.081787109375,0.08686523139476776,0.08349609375,0.082568359375,68.50213408470154,7,0.00029631147540983607,1000.0,-525.1127235291067,2,-0.025498203322058544,13.233472149074078,0.12336859852075577,0.12533695995807648,0.11704808473587036,0.12477675080299377,0.1225317195057869,0.13275118172168732,0.12292218208312988,0.1312645673751831,43.679184913635254
nan,nan,16384,0.033545276078803,0.09321288764476776,0.09487304836511612,0.09614257514476776,0.091796875,0.10385742038488388,0.11752929538488388,0.11298827826976776,0.1171875,0.103448486328125,68.36364052295684,8,0.00029569672131147536,1000.0,-429.7090838555661,2,-0.028374697687104343,12.915276682376861,0.12491077184677124,0.12135857343673706,0.11560974270105362,0.12497936189174652,0.12245427072048187,0.13471320271492004,0.12397444248199463,0.13199961185455322,47.834096908569336
nan,nan,18432,0.03450171539116127,0.09921874850988388,0.09921874850988388,0.09707031399011612,0.10820312798023224,0.10410156100988388,0.11020507663488388,0.128662109375,0.12192382663488388,0.108575439453125,68.49304594993592,9,0.0002950819672131147,1000.0,-405.3471855700237,2,-0.032374210879788735,15.436906439065933,0.12398499250411987,0.12241952121257782,0.11193698644638062,0.12565380334854126,0.12212198972702026,0.13672064244747162,0.12473394721746445,0.1324281394481659,51.44053673744202
