eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.02664842921658419,0.07524414360523224,0.07827148586511612,0.07988281548023224,0.08330078423023224,0.0791748046875,34.256394708156584,1,0.0003,1000.0,-473.0056137991439,2,-0.019525204107048923,16.96021352261305,1.4774000644683838
,,4096,0.023093159568088596,0.06352539360523224,0.06704101711511612,0.06718750298023224,0.059814453125,0.06439208984375,34.12226456403732,2,0.0002,1000.0,-400.26610411628354,2,-0.02256901403015945,12.419002823531628,2.994086742401123
-312.7267819594999,63.03641518094913,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.09716796875
nan,nan,6144,0.018873221652029315,0.05576171725988388,0.04965820163488388,0.05048828199505806,0.04584961012005806,0.050439453125,34.035432410240176,3,0.0001,1000.0,-505.8033107062592,2,-0.01750928691762965,17.402632492780686,7.615260124206543
