eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.08056922008308902,0.31782227754592896,0.330078125,0.21450194716453552,0.18740233778953552,0.164794921875,0.15126952528953552,0.15312500298023224,0.14443358778953552,0.3193359375,0.33710938692092896,0.33491212129592896,0.3279785215854645,0.3187011778354645,0.2837890684604645,0.25483399629592896,0.22329100966453552,0.253961181640625,0.3776794496166985,7.749555224971846,1.0,137.30996718406678,1,0.0003,1000.0,-518.9943273210756,2,-0.329189740835136,14.428157922625541,5.697308778762817
,,4096,0.07150366350269906,0.23593750596046448,0.25874024629592896,0.20224609971046448,0.17812499403953552,0.14321288466453552,0.12592773139476776,0.11201171576976776,0.113525390625,0.27949219942092896,0.32197266817092896,0.34208983182907104,0.36005860567092896,0.3301757872104645,0.29316407442092896,0.275390625,0.21743163466453552,0.2368438720703125,0.3673708834685385,7.633014953136444,1.0,137.60299129486083,2,0.0002993852459016393,1000.0,-568.1193974373507,2,-0.2277906108647585,19.60818531215191,11.383746862411499
,,6144,0.09538054437998653,0.38408201932907104,0.39111328125,0.1826171875,0.166748046875,0.13124999403953552,0.10981445014476776,0.09462890774011612,0.09995117038488388,0.41850584745407104,0.4320312440395355,0.4334960877895355,0.42534178495407104,0.40507811307907104,0.35869139432907104,0.2923339903354645,0.22236327826976776,0.2842529296875,0.4695585273206234,10.213249944150448,1.0,137.93994121551515,3,0.00029877049180327867,1000.0,-638.2971859411848,2,-0.3821272308472544,18.83220365345478,17.053306818008423
,,8192,0.10433346148438431,0.39228516817092896,0.40156251192092896,0.20751953125,0.19150391221046448,0.13666991889476776,0.11269531399011612,0.09389648586511612,0.09282226860523224,0.43461912870407104,0.45869141817092896,0.47211915254592896,0.46967774629592896,0.42802733182907104,0.3589843809604645,0.2737793028354645,0.23842772841453552,0.297705078125,0.48576344177126884,10.36414245069027,1.0,137.75119786262513,4,0.000298155737704918,1000.0,-747.9949135826935,2,-0.3807955930940807,17.745556488633156,22.796228647232056
,,10240,0.10666153512320306,0.3876953125,0.43437498807907104,0.22426757216453552,0.20268554985523224,0.14594726264476776,0.09951172024011612,0.08339843899011612,0.09165038913488388,0.4266113340854645,0.46416014432907104,0.47998046875,0.48320311307907104,0.4327148497104645,0.37641602754592896,0.3037109375,0.24531249701976776,0.3051025390625,0.504976446274668,12.163105741143227,1.0,137.72745461463927,5,0.00029754098360655737,1000.0,-669.9344565593133,2,-0.41574821644462645,10.275561901926995,28.553977727890015
-599.8115678782318,0.6477618751916697,10240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.14211392402649
nan,nan,12288,0.1168653511465891,0.463623046875,0.46967774629592896,0.216064453125,0.19111327826976776,0.13271483778953552,0.10883788764476776,0.083251953125,0.09165038913488388,0.4649902284145355,0.46435546875,0.514111340045929,0.507080078125,0.4580078125,0.39433592557907104,0.3038085997104645,0.24819335341453552,0.319488525390625,0.5332266665995121,23.693538549542428,1.0,138.17193446159362,6,0.0002969262295081967,1000.0,-594.7697680476391,2,-0.45608059503138065,6.321031109150499,46.06435680389404
nan,nan,14336,0.12035142189415637,0.505859375,0.4708496034145355,0.20029297471046448,0.16508789360523224,0.123046875,0.08999023586511612,0.081787109375,0.089599609375,0.473876953125,0.49360352754592896,0.5096679925918579,0.5086425542831421,0.4403320252895355,0.3721679747104645,0.30351561307907104,0.24628905951976776,0.3171630859375,0.5363154676742852,28.228661516308783,1.0,137.85810513496398,7,0.00029631147540983607,1000.0,-598.5266664038024,2,-0.4481688785366714,7.163021513493732,51.7599778175354
nan,nan,16384,0.11084329993027495,0.5045410394668579,0.46660155057907104,0.18061523139476776,0.14829102158546448,0.12099609524011612,0.07915039360523224,0.06718750298023224,0.072021484375,0.46064454317092896,0.45625001192092896,0.48676759004592896,0.49980467557907104,0.42792969942092896,0.37333983182907104,0.2750488221645355,0.21430663764476776,0.302093505859375,0.5324837692081928,28.300260457396508,1.0,138.0105604171753,8,0.00029569672131147536,1000.0,-598.5093048757235,2,-0.45055666407570244,7.924330111732706,57.56448292732239
nan,nan,18432,0.12424535646096047,0.512890636920929,0.519775390625,0.17641600966453552,0.15517577528953552,0.12944336235523224,0.09189452975988388,0.08510742336511612,0.08349609375,0.5068359375,0.5096679925918579,0.510449230670929,0.489501953125,0.4454589784145355,0.3787597715854645,0.2771972715854645,0.21030274033546448,0.3176483154296875,0.5374034045264124,28.14984075129032,1.0,138.0877540588379,9,0.0002950819672131147,1000.0,-593.8087995173919,2,-0.47559460885822774,8.490704737370834,63.12893486022949
nan,nan,20480,0.12352338881701144,0.531542956829071,0.5074707269668579,0.17460937798023224,0.16162109375,0.123779296875,0.10029296576976776,0.08544921875,0.08881835639476776,0.511474609375,0.4881347715854645,0.5177246332168579,0.4881347715854645,0.44560545682907104,0.3671875,0.27006834745407104,0.19721679389476776,0.3161956787109375,0.5575693314895034,28.541216471791266,1.0,137.9761679649353,10,0.00029446721311475406,1000.0,-591.026366359598,2,-0.5232961085624993,9.088665407616645,68.73827767372131
-616.5203917571072,8.417998090743342,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.18452191352844
nan,nan,22528,0.10474568466288474,0.521240234375,0.4715332090854645,0.17768554389476776,0.16909179091453552,0.13852539658546448,0.10893554985523224,0.104736328125,0.09829101711511612,0.4766601622104645,0.4635253846645355,0.4505859315395355,0.427001953125,0.38935548067092896,0.336181640625,0.24267578125,0.19296875596046448,0.2980621337890625,0.5350900864228606,14.984878148138524,1.0,137.81770701408385,11,0.0002938524590163934,1000.0,-576.1803379999966,2,-0.4639585081487894,13.09613852649927,86.03806209564209
nan,nan,24576,0.10301759067424428,0.49462890625,0.4437499940395355,0.18354491889476776,0.16762694716453552,0.1494140625,0.13427734375,0.10976562649011612,0.10712890326976776,0.45122069120407104,0.4359374940395355,0.42387694120407104,0.43994140625,0.38422852754592896,0.3173828125,0.24692383408546448,0.20351561903953552,0.29332275390625,0.5286096534691751,14.745041671395303,1.0,137.72547521591187,12,0.00029323770491803276,1000.0,-420.6550140085709,2,-0.4631131156347692,11.610161808133125,91.89128088951111
nan,nan,26624,0.10944525298054941,0.555371105670929,0.511425793170929,0.15781250596046448,0.14541015028953552,0.10317382961511612,0.08183594048023224,0.079345703125,0.08881835639476776,0.4701171815395355,0.47856444120407104,0.47724610567092896,0.46406251192092896,0.40922850370407104,0.3097167909145355,0.22822265326976776,0.174560546875,0.2959320068359375,0.5336376877501607,17.920788541436195,1.0,138.10352516174316,13,0.0002926229508196721,1000.0,-487.3572453846517,2,-0.47169764204882086,11.161427422240376,97.63330578804016
nan,nan,28672,0.11314990111495718,0.5185546875,0.5062500238418579,0.17324218153953552,0.151123046875,0.133544921875,0.10317382961511612,0.09160156548023224,0.09453125298023224,0.488525390625,0.4701171815395355,0.473388671875,0.4576660096645355,0.3858398497104645,0.32499998807907104,0.24208983778953552,0.19521483778953552,0.300616455078125,0.5294795388355851,14.00783564299345,1.0,137.90645484924318,14,0.00029200819672131145,1000.0,-632.5021624059139,2,-0.47785100494511423,14.730055882036686,103.33807587623596
nan,nan,30720,0.11292082746367668,0.544189453125,0.49970704317092896,0.15415039658546448,0.13950195908546448,0.11577148735523224,0.10126952826976776,0.09438476711511612,0.09536132961511612,0.4930664002895355,0.48193359375,0.4642578065395355,0.45683592557907104,0.4049316346645355,0.3175292909145355,0.25092774629592896,0.20805664360523224,0.3013671875,0.5174822434782982,14.475579603016376,1.0,138.16399488449096,15,0.0002913934426229508,1000.0,-711.172408102343,2,-0.47541676214896145,18.348577250540256,109.25208497047424
-604.7500896763898,2.689919493280712,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120.97996091842651
nan,nan,32768,0.1298403970657091,0.6207031011581421,0.5748046636581421,0.15576171875,0.13051757216453552,0.10483398288488388,0.079833984375,0.07177734375,0.07573242485523224,0.538378894329071,0.4940429627895355,0.4854492247104645,0.4522949159145355,0.3873535096645355,0.3310546875,0.22084960341453552,0.18710938096046448,0.3069061279296875,0.5481404681690037,19.12102174758911,1.0,138.24890904426576,16,0.00029077868852459015,1000.0,-609.0133138296098,2,-0.4879743474535644,14.740018315240741,126.900399684906
nan,nan,34816,0.11335455110402108,0.517773449420929,0.51318359375,0.17377929389476776,0.13691405951976776,0.10483398288488388,0.07675781100988388,0.06787109375,0.06743164360523224,0.4895996153354645,0.5023437738418579,0.4876464903354645,0.434326171875,0.40791016817092896,0.3411621153354645,0.25834959745407104,0.20766600966453552,0.2992218017578125,0.5360021251253784,25.574046152830125,1.0,137.97356309890748,17,0.00029016393442622945,1000.0,-578.9069431604198,2,-0.47670292370021344,12.72526843212545,132.6817889213562
nan,nan,36864,0.12287074756095535,0.605712890625,0.540087878704071,0.18764647841453552,0.134033203125,0.10029296576976776,0.08212890475988388,0.07407226413488388,0.08002929389476776,0.5091797113418579,0.488525390625,0.464111328125,0.46074217557907104,0.41459959745407104,0.32426756620407104,0.2655273377895355,0.19711914658546448,0.3080047607421875,0.5482595026493072,28.28785026371479,1.0,138.2205488204956,18,0.00028954918032786885,1000.0,-578.7683463254396,2,-0.49535920610651374,12.359567213431001,138.4581480026245
nan,nan,38912,0.12654565487391664,0.557910144329071,0.5506347417831421,0.16665038466453552,0.1240234375,0.091552734375,0.067138671875,0.05986328050494194,0.06689453125,0.530468761920929,0.5042480230331421,0.48588865995407104,0.45917969942092896,0.4083007872104645,0.32373046875,0.2662109434604645,0.225341796875,0.3055023193359375,0.5182980519719422,22.942947006225587,1.0,138.2459698200226,19,0.0002889344262295082,1000.0,-542.8330485161254,2,-0.45001374604180455,11.688455883599818,144.40719985961914
nan,nan,40960,0.14130521117494937,0.614990234375,0.5958007574081421,0.16411133110523224,0.13642577826976776,0.09599609673023224,0.07255859673023224,0.06748046725988388,0.07553710788488388,0.5428222417831421,0.5137695074081421,0.49492186307907104,0.4691406190395355,0.42314451932907104,0.3680175840854645,0.290771484375,0.21503905951976776,0.321282958984375,0.5359005111269652,21.951090720295905,1.0,138.3873818874359,20,0.00028831967213114755,1000.0,-524.5343872678789,2,-0.5105032184161246,11.956816314347089,150.3079798221588
-592.8267616749714,3.4440727762270047,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,162.11431074142456
nan,nan,43008,0.14432315070953336,0.5909179449081421,0.5709472894668579,0.18828125298023224,0.134765625,0.11098632961511612,0.09160156548023224,0.07797851413488388,0.08476562798023224,0.571826159954071,0.540234386920929,0.519287109375,0.498779296875,0.4261230528354645,0.36127930879592896,0.28583985567092896,0.23129883408546448,0.3303070068359375,0.5558973015286028,22.77940213382244,1.0,138.24940361976624,21,0.00028770491803278684,1000.0,-620.8124604409171,3,-0.5360390860587358,18.15589871555567,167.8578097820282
