eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
,,2048,0.22021121901707374,0.511425793170929,0.46259766817092896,0.25849610567092896,0.12651367485523224,0.33975830078125,2.2910895786939363,12.333001069068269,34.9160094499588,1,0.0003,1000.0,-454.52685886150084,2,-1.5545732911574306,12.341094449162483,1.8295960426330566
,,4096,0.07838411180491675,0.3365722596645355,0.35527342557907104,0.22197265923023224,0.0732421875,0.24676513671875,3.9291410237550735,22.052115941047667,34.38394854068756,2,0.00023999999999999998,1000.0,-516.2543589584094,2,-1.6775867626070977,14.913450309634209,4.1315531730651855
-548.0810626003416,37.29007027546168,4096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.685451984405518
nan,nan,6144,0.21652300786736306,0.55810546875,0.549853503704071,0.29541015625,0.08779297024011612,0.37279052734375,5.663191220164299,32.33710623383522,34.91721812486649,3,0.00017999999999999998,1000.0,-531.1300262877016,2,-2.961886969488114,10.34370345249772,9.442764043807983
nan,nan,8192,0.7513580403603555,0.733837902545929,0.704150378704071,0.3707031309604645,0.06904296576976776,0.46943359375,7.551252975314855,42.86690848469734,37.39863238334656,4,0.00011999999999999999,1000.0,-577.6842269133059,2,-4.013831934146583,11.817229384183884,11.469724893569946
-565.1330019467189,10.737036952622091,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.244335889816284
nan,nan,10240,0.44251967416130356,0.647167980670929,0.6551269292831421,0.36079102754592896,0.06313476711511612,0.43155517578125,6.7711496591568,43.68362189233303,35.72559456825256,5,5.999999999999998e-05,1000.0,-608.7525405980936,2,-2.675060883257538,7.645257424190641,17.72333288192749
