eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,71680,0.024304322504031008,0.08803711086511612,0.06689453125,0.05966796725988388,0.063720703125,0.069580078125,0.009907881841354538,0.07507349774241448,10.0,17.179387587308884,35,0.00027909836065573767,104.0,237.86281951464125,20,-0.015269387697844649,2.1258423352614044,73.4357008934021
242.71713516683462,4.299382259142986,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.86933493614197
nan,nan,73728,0.027839117761322994,0.09189452975988388,0.08754882961511612,0.07246093451976776,0.08085937798023224,0.08319091796875,0.010847709902736823,0.07442906060023233,10.0,17.040017622709275,36,0.000278483606557377,108.26315789473684,244.42942691596497,19,-0.01857256868879631,2.8005144143477083,76.05410981178284
nan,nan,75776,0.01383120103055262,0.04111327975988388,0.03349609300494194,0.02529296837747097,0.02553710900247097,0.03135986328125,0.01003840308985673,0.08314605767372996,10.0,17.180539035797118,37,0.00027786885245901637,108.77777777777777,241.35447431559533,18,-0.00872945455412264,28.30138720870018,78.11470699310303
nan,nan,77824,0.00944503783903201,0.02207031287252903,0.01416015625,0.01840820349752903,0.02099609375,0.01890869140625,0.007624185635359026,0.04336127853603102,10.0,17.062829744815826,38,0.0002772540983606557,104.35,209.11330194385118,20,-0.007126848999541835,85.3243273973465,80.22346591949463
nan,nan,79872,0.016127737226634055,0.03530273586511612,0.04130859300494194,0.03935546800494194,0.04379882663488388,0.03994140625,0.007562295648676809,0.047224869742058216,10.0,17.05402740240097,39,0.00027663934426229507,131.0625,287.2937021670935,16,-0.011347342468434362,35.19280597865581,82.32070803642273
nan,nan,81920,0.019422927845880622,0.06708984076976776,0.04912109300494194,0.04638671875,0.05097656324505806,0.0533935546875,0.007568250541226007,0.04467324650613591,10.0,17.102469664812087,40,0.0002760245901639344,120.70588235294117,281.4528085441595,17,-0.015087379995384254,19.515125221014024,84.46397113800049
330.9122471685374,25.908144558597723,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.99297785758972
nan,nan,83968,0.01887963777844561,0.039306640625,0.04926757887005806,0.04970703274011612,0.06025390699505806,0.0496337890625,0.0066041343452525325,0.0357504352577962,10.0,17.027855718135832,41,0.00027540983606557377,116.23529411764706,278.17832621100564,17,-0.018861914712397267,21.239389449357986,87.12545990943909
nan,nan,86016,0.028263042494654656,0.11162109673023224,0.08559570461511612,0.072021484375,0.07333984225988388,0.08564453125,0.010912852715409826,0.08786771241575479,10.0,17.17714744210243,42,0.0002747950819672131,114.55555555555556,277.361941245124,18,-0.019229143667325845,122.33927830457688,89.19773197174072
nan,nan,88064,0.0198544675942685,0.05209960788488388,0.050537109375,0.048828125,0.0634765625,0.0537353515625,0.006383726163039683,0.03789916617388371,10.0,17.056521916389464,43,0.0002741803278688524,141.5,344.62064042421855,14,-0.01250669125947752,15.863195097446441,91.43558287620544
nan,nan,90112,0.015063301492045867,0.03242187574505806,0.03286132961511612,0.03505859524011612,0.04204101487994194,0.035595703125,0.0043927979648287875,0.027612027918803506,10.0,17.162200218439104,44,0.00027356557377049176,143.8,336.5073963089708,15,-0.011399466898728861,41.46946872472763,93.41238903999329
437.77962218269056,67.20637193088315,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94.08888387680054
nan,nan,92160,0.021889107690367383,0.08124999701976776,0.057373046875,0.05219726637005806,0.05375976487994194,0.06114501953125,0.005217148299561813,0.037625086909974924,10.0,17.153906989097596,45,0.0002729508196721311,142.35714285714286,339.3425235671501,14,-0.016826448504252765,47.1325982183218,96.26396322250366
nan,nan,94208,0.026673400761501397,0.07924804836511612,0.07968749850988388,0.07709960639476776,0.07773437350988388,0.0784423828125,0.007065041991882026,0.05125668643158861,10.0,17.181996703147888,46,0.00027233606557377046,141.8,347.9099122457127,15,-0.01812258310837933,42.7583565980196,98.40726399421692
nan,nan,96256,0.022919888407341205,0.06772460788488388,0.06020507961511612,0.06137695163488388,0.06630859524011612,0.06390380859375,0.00495268239028519,0.02649793851596769,10.0,17.12582328915596,47,0.0002717213114754098,179.27272727272728,469.3035045532515,11,-0.016592091031452583,36.287723895907405,100.53342318534851
nan,nan,98304,0.02600840420127497,0.08203125,0.08344726264476776,0.06533203274011612,0.07265625149011612,0.07586669921875,0.008343766833422705,0.04739151485846378,10.0,17.151406133174895,48,0.00027110655737704915,172.5,437.16200582300036,12,-0.01885021567977674,32.545376139879224,102.68765592575073
nan,nan,100352,0.019900531820894685,0.05092773586511612,0.05341796949505806,0.04790038987994194,0.05888671800494194,0.052783203125,0.0054250265617156405,0.033605670783435924,10.0,17.15778604745865,49,0.0002704918032786885,193.4,512.8048620738796,10,-0.018649477310282235,86.81239777207375,104.75504088401794
1259.0917605197478,712.2783909303142,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106.81584310531616
nan,nan,102400,0.029426476360094968,0.09931640326976776,0.07900390774011612,0.08554687350988388,0.09589843451976776,0.08994140625,0.006675424837158062,0.05094422922702506,10.0,17.11102711558342,50,0.00026987704918032785,226.77777777777777,582.4168046756032,9,-0.021521339485479983,282.1818182229996,108.78575897216797
nan,nan,104448,0.023791455292666797,0.062255859375,0.06582031399011612,0.06259765475988388,0.066650390625,0.0643310546875,0.0055075627024052665,0.03755305956001394,10.0,17.19125121831894,51,0.00026926229508196715,203.3,556.5662757795487,10,-0.015555482972922618,91.38428245782852,110.82694101333618
nan,nan,106496,0.015455622909212253,0.04033203050494194,0.030517578125,0.035400390625,0.04697265475988388,0.0383056640625,0.005253247746441048,0.032327799609629435,10.0,17.062174832820894,52,0.00026864754098360655,171.84615384615384,431.3150921859627,13,-0.01135124440988875,334.73038086891177,112.8719789981842
nan,nan,108544,0.018144060600752708,0.0390625,0.03945312649011612,0.04750976711511612,0.06430663913488388,0.0475830078125,0.0037527434527873994,0.027678484257194214,10.0,17.045636743307114,53,0.0002680327868852459,249.75,661.8782658128265,8,-0.015356009649622138,239.97593936920165,114.98362708091736
nan,nan,110592,0.030292961391387506,0.1005859375,0.08232422173023224,0.0751953125,0.08984375,0.0869873046875,0.005472586185351247,0.04011274339281954,10.0,17.119334822893144,54,0.00026741803278688525,275.42857142857144,794.4239366205827,7,-0.017286336934739667,182.2595378637314,117.08708810806274
672.9717500969278,63.59096377586284,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117.96369814872742
nan,nan,112640,0.03828405007516267,0.11430664360523224,0.10634765774011612,0.105224609375,0.125,0.1127197265625,0.0058511831397481725,0.0390360624238383,10.0,17.15787943005562,55,0.0002668032786885246,209.3,626.3762691015376,10,-0.01874067707831273,87.59003753066062,120.03905892372131
nan,nan,114688,0.028136143624578835,0.07583007961511612,0.07358398288488388,0.07563476264476776,0.09916992485523224,0.0810546875,0.004367188811011146,0.03381889802403748,10.0,17.201089829206467,56,0.0002661885245901639,261.875,752.1534132191547,8,-0.017860120681689295,278.5822091221809,122.13484001159668
nan,nan,116736,0.03791367775775143,0.092041015625,0.09726562350988388,0.11894531548023224,0.14946289360523224,0.1144287109375,0.005848951802909142,0.03967762925894931,10.0,17.265639448165892,57,0.00026557377049180324,229.88888888888889,704.3186274083434,9,-0.01886764527662308,123.59367436170578,124.4559760093689
nan,nan,118784,0.051311125794018156,0.15107421576976776,0.12612304091453552,0.13862304389476776,0.15781250596046448,0.143408203125,0.0043300695429934425,0.026035682621295565,10.0,17.168435710668565,58,0.0002649590163934426,236.125,710.7314608467602,8,-0.02290423609993013,57.58619673252106,126.64505910873413
nan,nan,120832,0.04477312578528654,0.13935546576976776,0.13188476860523224,0.12163086235523224,0.15024414658546448,0.13577880859375,0.007821914138185093,0.06375830544857308,10.0,17.060002946853636,59,0.00026434426229508194,293.8,868.3363140767091,5,-0.01635625879462168,148.01072272360324,128.77998995780945
