eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,8.858862828503515,0.5320800542831421,0.525341808795929,0.5245116949081421,0.5328124761581421,0.538818359375,0.544482409954071,0.549511730670929,0.5589843988418579,0.5179687738418579,0.518603503704071,0.508544921875,0.508593738079071,0.508007824420929,0.5152343511581421,0.5120605230331421,0.5177246332168579,0.525830078125,1489.9101159572601,10,0.00029446721311475406,1000.0,-670.9980526014826,2,-0.15390213809732814,14.005087304674088,57.947097063064575
-604.626244068282,25.442778451091513,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.69352912902832
nan,nan,22528,13.171716840782029,0.8460448980331421,0.84716796875,0.869433581829071,0.874218761920929,0.878662109375,0.885498046875,0.889892578125,0.89404296875,0.8502441644668579,0.846875011920929,0.8480468988418579,0.853271484375,0.853222668170929,0.8560546636581421,0.860888659954071,0.867138683795929,0.8637939453125,666.942794084549,11,0.0002938524590163934,1000.0,-831.3637989903076,2,0.06664863727637567,7.300419604871422,74.0943329334259
nan,nan,24576,7.437590625810844,0.703076183795929,0.7001953125,0.723095715045929,0.723828136920929,0.7320801019668579,0.749560534954071,0.7549804449081421,0.7613769769668579,0.6963866949081421,0.6949707269668579,0.691113293170929,0.6993163824081421,0.6953125,0.709277331829071,0.709228515625,0.722216784954071,0.7166259765625,737.5887595653534,12,0.00029323770491803276,1000.0,-510.09629815664624,2,-0.04012991302151932,8.544509457051754,78.50330805778503
nan,nan,26624,11.898356977954972,0.889453113079071,0.891845703125,0.9049316644668579,0.910400390625,0.916455090045929,0.911376953125,0.913037121295929,0.913769543170929,0.9007323980331421,0.8985351324081421,0.902539074420929,0.898974597454071,0.903759777545929,0.904492199420929,0.9019531011581421,0.901806652545929,0.90400390625,796.4241694450378,13,0.0002926229508196721,1000.0,-477.271311677909,2,0.07165402141108643,6.955282202735543,83.28663492202759
nan,nan,28672,13.481223003892229,0.924365222454071,0.927539050579071,0.93994140625,0.9419921636581421,0.946240246295929,0.948486328125,0.950439453125,0.953906238079071,0.92724609375,0.927001953125,0.9278320074081421,0.930468738079071,0.9288574457168579,0.9302734136581421,0.93212890625,0.9365234375,0.93582763671875,1708.0462060451507,14,0.00029200819672131145,1000.0,-399.6395831244379,2,0.08007553580537205,5.886578942462802,87.98925495147705
nan,nan,30720,9.987027251394466,0.881103515625,0.8727051019668579,0.876708984375,0.8770996332168579,0.890332043170929,0.8995605707168579,0.908203125,0.921142578125,0.866015613079071,0.8539062738418579,0.8497070074081421,0.849365234375,0.853076159954071,0.859814465045929,0.860302746295929,0.8623046875,0.873834228515625,1234.710384607315,15,0.0002913934426229508,1000.0,-471.20291438559974,2,0.032830705621745435,6.2152505037374794,92.77993202209473
-538.4957361653574,2.643805533649069,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.86763000488281
nan,nan,32768,11.919927193902549,0.8731933832168579,0.867871105670929,0.8827148675918579,0.8857421875,0.8895508050918579,0.891650378704071,0.8922363519668579,0.887744128704071,0.8731445074081421,0.8736816644668579,0.877148449420929,0.874462902545929,0.873828113079071,0.879345715045929,0.877001941204071,0.879101574420929,0.879901123046875,822.6016672134399,16,0.00029077868852459015,1000.0,-492.45214331639215,2,0.05932552872982342,6.163863922376185,109.76472496986389
nan,nan,34816,17.848854591806592,0.96435546875,0.9656738042831421,0.974853515625,0.9757324457168579,0.975781261920929,0.978271484375,0.976513683795929,0.9781738519668579,0.963916003704071,0.967333972454071,0.968554675579071,0.9701172113418579,0.9732910394668579,0.973095715045929,0.9732910394668579,0.9745117425918579,0.9720916748046875,4629.531112003327,17,0.00029016393442622945,1000.0,-443.05517069705576,2,0.09360704090213404,6.238857153162826,114.30079889297485
