eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
,,8192,0.0,0.0,17.388413667678833,0.9203626863658428,1,0.0003,1000.5,-353.5461150621053,8,4.365391018986702,10.626776731014251,2.7114694118499756,2.7114694118499756,2.7114694118499756,2.7114694118499756,1.896477222442627
-313.7680087782686,110.13133192344722,8192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.217554330825806
nan,nan,16384,0.0,0.0,17.425286412239075,0.8862613562494517,2,0.00023999999999999998,1001.0,-354.13169945067466,8,4.332117792963982,17.33199828863144,3.4833149909973145,3.4833149909973145,3.4833149909973145,3.4833149909973145,7.063265085220337
-252.8489214187579,85.9551727270122,16384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.294397115707397
nan,nan,24576,0.0,0.0,17.35246241092682,0.8803830042481422,3,0.00017999999999999998,1001.0,-326.8346177497522,8,4.32986526787281,10.40938655436039,4.197793483734131,4.197793483734131,4.197793483734131,4.197793483734131,13.136192083358765
-316.46737815481856,49.6419588261341,24576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.380250215530396
nan,nan,32768,0.0,0.0,17.402984428405762,0.8668337874114513,4,0.00011999999999999999,1001.0,-323.8690861510504,8,4.339619764685631,9.373425671458245,4.590289115905762,4.590289115905762,4.590289115905762,4.590289115905762,18.28061008453369
-275.20727889438,57.917995405646046,32768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.484414100646973
nan,nan,40960,0.0,0.0,17.37731078863144,0.8640565384179354,5,5.999999999999998e-05,1001.0,-355.6199535621313,8,4.323399317264557,9.65100845694542,5.079446792602539,5.079446792602539,5.079446792602539,5.079446792602539,23.369229078292847
-265.36646471271325,101.8464339955648,40960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.628023147583008
