eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,20480,0.02762806210830604,0.06352539360523224,0.06298828125,0.08681640774011612,0.09121093899011612,0.09824218600988388,0.09355469048023224,0.09331054985523224,0.09267578274011612,0.064453125,0.06552734225988388,0.07143554836511612,0.07548828423023224,0.07558593899011612,0.09150390326976776,0.08388672024011612,0.08837890625,0.0811614990234375,136.69582109451295,10,0.00029446721311475406,1000.0,-380.6826570002955,2,-0.018776176666142418,12.022225308418275,86.30487704277039
-324.01259419391397,35.556015817357796,20480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103.88582611083984
nan,nan,22528,0.029635625132505082,0.06137695163488388,0.05986328050494194,0.09873046725988388,0.103759765625,0.10468749701976776,0.10444335639476776,0.12275390326976776,0.11552734673023224,0.06748046725988388,0.06977538764476776,0.074951171875,0.08515624701976776,0.08642578125,0.08901367336511612,0.08979491889476776,0.09467773139476776,0.089276123046875,136.98241968154906,11,0.0002938524590163934,1000.0,-382.67094008089185,2,-0.01912487545341719,10.601133212447166,110.9996120929718
nan,nan,24576,0.02211472882772796,0.04194336012005806,0.04287109524011612,0.07290039211511612,0.06582031399011612,0.06806640326976776,0.06918945163488388,0.07304687798023224,0.07426758110523224,0.04736328125,0.05366211012005806,0.05112304538488388,0.0595703125,0.05341796949505806,0.06391601264476776,0.06245117262005806,0.06621094048023224,0.06036376953125,136.60593700408936,12,0.00029323770491803276,1000.0,-400.8383124250217,2,-0.01750602511456236,13.827820935100316,117.73628902435303
nan,nan,26624,0.01922354808120872,0.033935546875,0.03701172024011612,0.05727539211511612,0.05771484225988388,0.05644531175494194,0.05712890625,0.06166992336511612,0.06279297173023224,0.04160156100988388,0.043212890625,0.039794921875,0.04135742038488388,0.04526367038488388,0.05170898512005806,0.05317382887005806,0.05278320237994194,0.049554443359375,136.21755418777465,13,0.0002926229508196721,1000.0,-290.33034870408295,2,-0.015900248292018658,23.234659868478776,124.49733304977417
nan,nan,28672,0.014534174470463767,0.02231445349752903,0.02656250074505806,0.03769531100988388,0.04082031175494194,0.03896484524011612,0.043212890625,0.0400390625,0.047119140625,0.02749023400247097,0.02197265625,0.02553710900247097,0.03334961086511612,0.03110351599752903,0.031005859375,0.03354492038488388,0.03432617336511612,0.033441162109375,136.5291001319885,14,0.00029200819672131145,1000.0,-430.18171948847294,2,-0.013174816116224975,40.357402068376544,131.70791220664978
nan,nan,30720,0.03162416646373458,0.08237304538488388,0.08256836235523224,0.10747070610523224,0.10419921576976776,0.12099609524011612,0.10971679538488388,0.11723633110523224,0.11420898139476776,0.07465820014476776,0.079833984375,0.08061523735523224,0.08403320610523224,0.08769531548023224,0.09824218600988388,0.09848632663488388,0.09541015326976776,0.0961090087890625,136.41129784584047,15,0.0002913934426229508,1000.0,-366.1457156042149,2,-0.01961215723422356,10.520381999015807,138.68855905532837
-238.71285522073077,93.78537035140728,30720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,156.3442223072052
nan,nan,32768,0.022946590354513317,0.04916992038488388,0.04975586012005806,0.07587890326976776,0.072509765625,0.06635741889476776,0.075927734375,0.070556640625,0.07680664211511612,0.05141601711511612,0.04731445387005806,0.05766601487994194,0.05288086086511612,0.06181640550494194,0.06450195610523224,0.06953124701976776,0.06494140625,0.062939453125,136.5174641609192,16,0.00029077868852459015,1000.0,-313.28865059702184,2,-0.01947266353527084,14.08809167444706,163.52229595184326
nan,nan,34816,0.029777010295219952,0.06186523288488388,0.05942382663488388,0.09140624850988388,0.10346679389476776,0.10483398288488388,0.10932616889476776,0.11147461086511612,0.10878906399011612,0.06840820610523224,0.07089843600988388,0.07167968899011612,0.08149413764476776,0.08505859225988388,0.08974609524011612,0.09462890774011612,0.09589843451976776,0.08802490234375,137.08881940841675,17,0.00029016393442622945,1000.0,-224.27198409393299,2,-0.020751550755812788,13.201647354662418,170.23070001602173
