step,train/approx_kl,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
8192,0.012827927974285558,0.176025390625,17.401014441996814,1,0.0003,1000.5,-353.5461150621053,8,-0.02794797306014516,5.771781501546502,5.174079895019531
16384,0.011598309787223116,0.16356201171875,17.385952016711236,2,0.000225,1001.0,-324.3393973067306,8,-0.03709983993339847,6.972978831455111,10.303972959518433
24576,0.01110449871775927,0.15753173828125,17.46764418706298,3,0.00015,1001.0,-355.89240853963406,8,-0.037054002793956896,8.891197610273958,15.462342977523804
32768,0.008479416535556084,0.11595458984375,17.484671854972838,4,7.5e-05,1001.0,-305.93669390442517,8,-0.033778683174023175,6.71528507694602,20.60420274734497
